country,founded,id,industry,linkedin_url,locality,name,region,size,website
albania,2003,gemakler-shpk,consumer goods,linkedin.com/company/gemakler-shpk,tirana,gemakler shpk,tirane,51-200,gemakler.al
albania,"",akdağlar-madencilik,"",linkedin.com/company/akdağlar-madencilik,"",akdağlar madencilik,"",51-200,akdaglar.com.tr
albania,2013,eco-market-albania,retail,linkedin.com/company/eco-market-albania,tirana,eco market albania,tirane,51-200,ecomarket.al
albania,2009,appdec,computer software,linkedin.com/company/appdec,"",appdec | application development center,"",11-50,appdec.com
albania,"",infratransproject-shpk,civil engineering,linkedin.com/company/infratransproject-shpk,"",infratransproject shpk,"",11-50,itp.al
albania,2013,evitashpk,pharmaceuticals,linkedin.com/company/evitashpk,"",evita shpk,tirane,51-200,evitaalbania.com
albania,2017,webart-al,information technology and services,linkedin.com/company/webart-al,tirana,webart.al,tirane,1-10,webart.al
albania,"",center-children-today,non-profit organization management,linkedin.com/company/center-children-today,"",center children today,"",1-10,"www,femijetsot.org"
albania,2009,vcinvest,real estate,linkedin.com/company/vcinvest,tirana,vcinvest,tirane,1-10,vancleve.org
albania,"",fdh-kosovë,"",linkedin.com/company/fdh-kosovë,"",fdh kosovë,"",1-10,""
albania,2009,gogel-publicis,marketing and advertising,linkedin.com/company/gogel-publicis,tirana,gogel publicis,tirane,11-50,gogel.al
albania,1998,communication-progress,information technology and services,linkedin.com/company/communication-progress,tirana,communication progress,tirane,51-200,commprog.com
albania,2017,imovlo-shpk,telecommunications,linkedin.com/company/imovlo-shpk,vlore,imovlo shpk,vlore,11-50,imovlo.com
albania,2013,age-call,telecommunications,linkedin.com/company/age-call,tirana,age call,tirane,51-200,age-group.al
albania,1997,children's-human-rights-centre-of-albania---crca,civic & social organization,linkedin.com/company/children's-human-rights-centre-of-albania---crca,tirana,children's human rights centre of albania - crca,tirane,11-50,crca.al
albania,2004,tpksolutions,information technology and services,linkedin.com/company/tpksolutions,"",tpksolutions,"",11-50,tpksolutions.com
albania,2008,igeotech,information technology and services,linkedin.com/company/igeotech,tirana,illyria geotechnologies shpk,tirane,51-200,""
albania,1992,llazo,construction,linkedin.com/company/llazo,lushnje,llazo,fier,51-200,llazo.al
albania,2017,dukat-water,food & beverages,linkedin.com/company/dukat-water,orikum,uji dukat,vlore,11-50,ujidukat.al
albania,2015,baraz-official,accounting,linkedin.com/company/baraz-official,tirana,baraz,tirane,1-10,nap.al
albania,2013,prodata-investments,capital markets,linkedin.com/company/prodata-investments,selite,prodata investments,tirane,201-500,""
albania,1999,bphomeinvestment,real estate,linkedin.com/company/bphomeinvestment,"",bp home sh.p.k,"",51-200,bp-home.com
albania,2009,swiss-approval-albania,mechanical or industrial engineering,linkedin.com/company/swiss-approval-albania,tirana,swiss approval albania,tirane,51-200,swissapproval.al
albania,2000,american-chamber-of-commerce-in-albania,public policy,linkedin.com/company/american-chamber-of-commerce-in-albania,tirana,american chamber of commerce in albania,tirane,1-10,amcham.com.al
albania,"",skeyndor-albania,cosmetics,linkedin.com/company/skeyndor-albania,tirana,skeyndor albania,tirane,1-10,skeyndor.al
albania,2014,projambo,information technology and services,linkedin.com/company/projambo,"",projambo,durres,11-50,projambo.com
