country,founded,id,industry,linkedin_url,locality,name,region,size,website
algeria,1978,indjaz,construction,linkedin.com/company/indjaz,"",indjaz,jijel,201-500,indjaz-dz.com
algeria,"",south-and-north-algeria,marketing and advertising,linkedin.com/company/south-and-north-algeria,"",south and north algeria,algiers,1-10,southandnorthalgeria.com
algeria,2011,ibss,human resources,linkedin.com/company/ibss,algiers,ibss - integrated business support services,alger,51-200,ibss-dz.com
algeria,2005,centre-national-de-recherche-en-archéologie,think tanks,linkedin.com/company/centre-national-de-recherche-en-archéologie,algiers,centre national de recherche en archéologie,alger,51-200,cnra.dz
algeria,"",tw,"",linkedin.com/company/tw,"",tw,"",201-500,eurltw.com
algeria,2019,beauty-and-bio,cosmetics,linkedin.com/company/beauty-and-bio,bejaïa,beauty and bio,bejaia,1-10,beautyandbio.net
algeria,"",britishbusinessschool2018,professional training & coaching,linkedin.com/company/britishbusinessschool2018,draria,british business school,tipaza,1-10,""
algeria,2012,laboratoire-centre-d-expertise,mechanical or industrial engineering,linkedin.com/company/laboratoire-centre-d-expertise,oran,laboratoire centre d'expertise,oran,11-50,""
algeria,2016,farissi-international,media production,linkedin.com/company/farissi-international,chlef,farissi international,chlef,1-10,farissiprod.com
algeria,1982,universit-kasdi-merbah-ouargla-www-univ-ouargla-dz,higher education,linkedin.com/company/universit-kasdi-merbah-ouargla-www-univ-ouargla-dz,"",université kasdi merbah ouargla www.univ-ouargla.dz,"",10001+,univ-ouargla.dz
algeria,2007,al-manahidj-institute,research,linkedin.com/company/al-manahidj-institute,"",al-manahidj institute - algeria | معهد المناهج - الجزائر,algiers,11-50,manahidj.com
algeria,2008,ing-nieurs-conseils-associ-s-ica-,research,linkedin.com/company/ing-nieurs-conseils-associ-s-ica-,baba hassen,ingénieurs conseils associés (ica),alger,51-200,ica-algerie.com
algeria,"",association-scientifique-el-maarifa,"",linkedin.com/company/association-scientifique-el-maarifa,el harrach,association scientifique el-maarifa,algiers,11-50,""
algeria,2013,proxim-consulting,computer & network security,linkedin.com/company/proxim-consulting,algiers,proxim consulting,alger,11-50,""
algeria,"",aamalrct,construction,linkedin.com/company/aamalrct,cheraga,aamal  rct,alger,51-200,aamal-rct.com
algeria,"",ferme-pédagogique-d-alger-zéralda,farming,linkedin.com/company/ferme-pédagogique-d-alger-zéralda,"",ferme pédagogique d'alger ( zéralda ),algiers,11-50,""
algeria,1992,scpaaxxam,architecture & planning,linkedin.com/company/scpaaxxam,bejaïa,scpa axxam - société d'architectes,bejaia,11-50,scpaxxam.com
algeria,2011,afc-formation,professional training & coaching,linkedin.com/company/afc-formation,ben 'aknoun,afc formation,alger,1-10,afcformation.com
algeria,2019,sawla360,publishing,linkedin.com/company/sawla360,mascara,sawla360,mascara,1-10,sawla360.com
algeria,2012,great-network-solutions,information technology and services,linkedin.com/company/great-network-solutions,kouba,great network solutions,alger,1-10,dz-gns.com
algeria,2009,bibsci---biblioth-que-scientifique,information technology and services,linkedin.com/company/bibsci---biblioth-que-scientifique,algiers,bibsci - bibliothèque scientifique,alger,1-10,bibsci.com
algeria,1995,egitel,telecommunications,linkedin.com/company/egitel,ouled fayet,egitel,alger,11-50,egitel.com
algeria,"",eurl-modelco,"",linkedin.com/company/eurl-modelco,"",eurl modelco,"",11-50,""
algeria,2001,les-grands-crus-de-l-ouest,wine and spirits,linkedin.com/company/les-grands-crus-de-l-ouest,oran,société des grands crus de l'ouest,oran,51-200,""
algeria,2004,algeria-e-banking-services,information technology and services,linkedin.com/company/algeria-e-banking-services,baba hassen,algeria e-banking services,alger,51-200,aebs-tech.com
algeria,2017,baobeb-coworking-space,business supplies and equipment,linkedin.com/company/baobeb-coworking-space,algiers,baobeb coworking space,alger,1-10,""
algeria,1992,sarl-mbim,professional training & coaching,linkedin.com/company/sarl-mbim,cheraga,sarl mbim,alger,11-50,mbim-dz.net
algeria,1995,bby-production,arts and crafts,linkedin.com/company/bby-production,algiers,bby production,alger,11-50,bbyproduction.com
algeria,2006,sotak,public safety,linkedin.com/company/sotak,oran,sotak,oran,11-50,sotakdz.net
algeria,2003,ltech-aluminium,construction,linkedin.com/company/ltech-aluminium,"",l-tech aluminium & pvc,"",11-50,ltech-alu.com
algeria,2008,anabib-mosta,building materials,linkedin.com/company/anabib-mosta,fornaka,anabib-mosta,mostaganem,51-200,""
algeria,2015,sky-training-aviation,aviation & aerospace,linkedin.com/company/sky-training-aviation,boumerdas,sky training aviation fto,boumerdes,1-10,st-aviation.dz
algeria,2013,bahia-display,marketing and advertising,linkedin.com/company/bahia-display,bir el djir,bahia display,oran,11-50,bahiadisplay.com
