country,founded,id,industry,linkedin_url,locality,name,region,size,website
angola,2016,infototal,computer & network security,linkedin.com/company/infototal,"",infototal,luanda,11-50,""
angola,2007,fil-tubos-angola,building materials,linkedin.com/company/fil-tubos-angola,"",fil tubos angola,luanda,51-200,fil-angola.com
angola,"",ecomotor---ve-culos-e-equipamentos-lda,retail,linkedin.com/company/ecomotor---ve-culos-e-equipamentos-lda,"","ecomotor - veículos e equipamentos, lda","",11-50,azinor.com
angola,2013,setcom-telecomunicações,telecommunications,linkedin.com/company/setcom-telecomunicações,cabinda,setcom,cabinda,11-50,""
angola,"",sdgb-sgps,investment management,linkedin.com/company/sdgb-sgps,"","sdgb invest, sgps",luanda,1-10,sdgb.co.ao
angola,"",angola-drilling-company,"",linkedin.com/company/angola-drilling-company,"",angola drilling company,"",11-50,angoladrilling.com
angola,2015,apiex-angola,financial services,linkedin.com/company/apiex-angola,luanda,apiex angola,luanda,51-200,apiexangola.co.ao
angola,2011,isptec,higher education,linkedin.com/company/isptec,"",isptec - instituto superior politécnico de tecnologias e ciências,luanda,51-200,isptec.co.ao
angola,2018,sow-soluções-em-marketing-digital,marketing and advertising,linkedin.com/company/sow-soluções-em-marketing-digital,luanda,sow soluções em marketing digital,luanda,11-50,""
angola,2008,infrasat,telecommunications,linkedin.com/company/infrasat,"",infrasat,luanda,51-200,infrasat.co.ao
angola,2015,sba-angola,management consulting,linkedin.com/company/sba-angola,"",sba - small business advisory,luanda,11-50,sba-smallbusinessadvisory.com
angola,2018,stekargo-com,consumer goods,linkedin.com/company/stekargo-com,talatona,stekargo.com,luanda province,1-10,stekargo.com
angola,"",brafrikon-engenharia-e-obras-públicas-lda,construction,linkedin.com/company/brafrikon-engenharia-e-obras-públicas-lda,"",brafrikon engenharia e obras públicas lda,luanda,51-200,brafrikon.com
angola,2015,olimpobrand,graphic design,linkedin.com/company/olimpobrand,"",olimpo brand,luanda,1-10,olimpobrand.com
angola,2019,o-bonsai-angola,arts and crafts,linkedin.com/company/o-bonsai-angola,"",o bonsai,luanda,1-10,obonsai.co.ao
angola,2010,espiral-relojoaria,luxury goods & jewelry,linkedin.com/company/espiral-relojoaria,lobito,espiral relojoaria,benguela,11-50,espiralrelojoaria.com
angola,2013,bpal-group,facilities services,linkedin.com/company/bpal-group,luanda,bpal group,luanda,11-50,""
angola,2017,hrmangola,human resources,linkedin.com/company/hrmangola,"",hrm consulting,luanda,1-10,hrmconsulting.co.ao
angola,2020,7-online,information technology and services,linkedin.com/company/7-online,"",7online,luanda,1-10,7online.net
angola,2020,juventude-empregada,professional training & coaching,linkedin.com/company/juventude-empregada,angola,juventude empregada,huila,1-10,""
