country,founded,id,industry,linkedin_url,locality,name,region,size,website
argentina,2015,hidrotecwater,mechanical or industrial engineering,linkedin.com/company/hidrotecwater,pinamar,hidrotecwater,buenos aires,1-10,hidrotecwater.com
argentina,2002,desarrollopage,design,linkedin.com/company/desarrollopage,"",desarrollopage,buenos aires,1-10,desarrollopage.com.ar
argentina,1992,lopezhnos,wholesale,linkedin.com/company/lopezhnos,resistencia,grupo lopez hnos,chaco,51-200,lopezhnos.com.ar
argentina,1932,mll-propiedades,real estate,linkedin.com/company/mll-propiedades,"",mll propiedades,buenos aires,11-50,mll.com.ar
argentina,2014,ci-consultoría-y-auditoría-externa,management consulting,linkedin.com/company/ci-consultoría-y-auditoría-externa,roldan,ci - consultoría y auditoría externa,santa fe,1-10,""
argentina,2018,ferini-capital,venture capital & private equity,linkedin.com/company/ferini-capital,"",ferini capital,buenos aires,1-10,ferinicapital.com
argentina,2018,quinto-inversiones,financial services,linkedin.com/company/quinto-inversiones,"",quinto inversiones,buenos aires,11-50,quintoinversiones.com
argentina,2010,otraidea,marketing and advertising,linkedin.com/company/otraidea,"",otraidea,buenos aires,1-10,otraidea.com.ar
argentina,2006,matcomsa,telecommunications,linkedin.com/company/matcomsa,"",matcom,buenos aires,1-10,matcomsa.com.ar
argentina,2011,la-tribu-del-arte,performing arts,linkedin.com/company/la-tribu-del-arte,martinez,la tribu del arte,buenos aires,11-50,latribudelarte.com.ar
argentina,2009,neex,marketing and advertising,linkedin.com/company/neex,"",neex corp,buenos aires,1-10,neex.com.ar
argentina,"",drogueria-charata,"",linkedin.com/company/drogueria-charata,"",drogueria charata,"",1-10,drogueriacharata.com.ar
argentina,2004,solarpool,renewables & environment,linkedin.com/company/solarpool,"",solarpool,"",1-10,solarpool.com.ar
argentina,1945,vasile-y-cia,mechanical or industrial engineering,linkedin.com/company/vasile-y-cia,"",vasile y cia,buenos aires,51-200,vasile.com.ar
