country,founded,id,industry,linkedin_url,locality,name,region,size,website
australia,2008,who-in-the-zoo,staffing and recruiting,linkedin.com/company/who-in-the-zoo,"",who in the zoo,"",1-10,whointhezoo.com.au
australia,"",jh-construction-consultants-contrators,construction,linkedin.com/company/jh-construction-consultants-contrators,campbellfield,jh construction consultants & contrators,victoria,1-10,jhconsultants.com.au
australia,1975,mstransport,transportation/trucking/railroad,linkedin.com/company/mstransport,ringwood,m&s transport pty ltd,victoria,11-50,mstransport.com.au
australia,"",oi-cosmetic-studio,"health, wellness and fitness",linkedin.com/company/oi-cosmetic-studio,"",oi cosmetic studio,"",1-10,oicosmeticstudio.com.au
australia,2015,social-fields,marketing and advertising,linkedin.com/company/social-fields,melbourne,social fields,victoria,1-10,socialfields.co
australia,2005,applause-entertainment,events services,linkedin.com/company/applause-entertainment,"",applause entertainment,"",1-10,applause.com.au
australia,"",aspire-medispa,"health, wellness and fitness",linkedin.com/company/aspire-medispa,perth,aspire medispa,western australia,1-10,aspiremedispa.com.au
australia,"",alternative-dispute-resolution-services-pty-ltd,"",linkedin.com/company/alternative-dispute-resolution-services-pty-ltd,"",alternative dispute resolution services pty ltd,"",11-50,adrs.com.au
australia,"",in-clinic-physiotherapy,"health, wellness and fitness",linkedin.com/company/in-clinic-physiotherapy,mosman park,in clinic physiotherapy,western australia,1-10,inclinicphysiotherapy.com.au
australia,"",see-security,wholesale,linkedin.com/company/see-security,underwood,see security,tasmania,11-50,seesecurity.com.au
australia,"",sanctuary-magazine,"",linkedin.com/company/sanctuary-magazine,melbourne,sanctuary magazine,victoria,1-10,sanctuarymagazine.org.au
australia,1932,hastings-deering,machinery,linkedin.com/company/hastings-deering,brisbane,hastings deering,queensland,1001-5000,hastingsdeering.com.au
australia,"",aquamoves,"health, wellness and fitness",linkedin.com/company/aquamoves,shepparton,aquamoves,victoria,51-200,aquamoves.com.au
australia,2015,sgpconsulting,management consulting,linkedin.com/company/sgpconsulting,hawthorn,sgpconsulting,victoria,1-10,sgpconsulting.com.au
australia,"",classic-framing,"",linkedin.com/company/classic-framing,"",classic framing,"",1-10,classicframing.com.au
australia,2008,jesse-taylor-photography,photography,linkedin.com/company/jesse-taylor-photography,"",jesse taylor photography,"",1-10,jessetaylorphotography.com
australia,2018,cap-tech-com-au,defense & space,linkedin.com/company/cap-tech-com-au,kewdale,cap-tech (australia),western australia,1-10,cap-tech.com.au
australia,2017,exelicosolutionsaustraliaptyltd.,management consulting,linkedin.com/company/exelicosolutionsaustraliaptyltd.,melbourne,exelico solutions australia pty ltd.,victoria,1-10,exelico.com.au
australia,1997,south-west-alliance-of-rural-health-vic,information technology and services,linkedin.com/company/south-west-alliance-of-rural-health-vic,warrnambool,south west alliance of rural health (vic),victoria,51-200,""
australia,1969,new-college-unsw,higher education,linkedin.com/company/new-college-unsw,"","new college, unsw","",1-10,""
australia,2002,australian-biotechnologies,medical devices,linkedin.com/company/australian-biotechnologies,"",australian biotechnologies,new south wales,51-200,ausbiotech.com.au
australia,2008,housing-choices-australia,non-profit organization management,linkedin.com/company/housing-choices-australia,melbourne,housing choices australia,victoria,51-200,housingchoices.org.au
australia,2017,blueoceanlaw,law practice,linkedin.com/company/blueoceanlaw,"",blue ocean law group℠ [100% australian owned + operated] 蓝色海洋法律集团,"",1-10,blueocean.law
australia,1986,small-business-mentoring-service,professional training & coaching,linkedin.com/company/small-business-mentoring-service,ringwood,small business mentoring service,victoria,51-200,sbms.org.au
australia,2018,sük-workwear,retail,linkedin.com/company/sük-workwear,carlton,sük workwear,victoria,1-10,sukworkwear.com.au
australia,"",elite-hub-sites,information technology and services,linkedin.com/company/elite-hub-sites,"",elite hub sites,"",1-10,elitehubsites.com
australia,2016,phonelabs,e-learning,linkedin.com/company/phonelabs,adelaide,phonelabs,south australia,1-10,phonelabs.co
australia,2004,squeezecreative,design,linkedin.com/company/squeezecreative,"",squeeze creative,"",1-10,squeezecreative.com.au
australia,2010,hazell-bros---lund,construction,linkedin.com/company/hazell-bros---lund,gold coast,hazell bros - lund,queensland,11-50,""
australia,2009,tdg-business-services-pty-ltd,accounting,linkedin.com/company/tdg-business-services-pty-ltd,"",tdg business services,"",11-50,tdgbs.com.au
australia,2014,quality-domain-solutions,internet,linkedin.com/company/quality-domain-solutions,runaway bay,quality domain solutions,queensland,1-10,qualitydomainsolutions.com.au
australia,"",shipway-realty,real estate,linkedin.com/company/shipway-realty,"",shipway realty,"",11-50,shipway.com.au
australia,"",barossa-bowland,entertainment,linkedin.com/company/barossa-bowland,tanunda,barossa bowland,south australia,11-50,barossabowland.com
australia,"",healthily,"health, wellness and fitness",linkedin.com/company/healthily,melbourne,healthily,victoria,11-50,healthilysolutions.com.au
australia,"",short-black-cafe,hospitality,linkedin.com/company/short-black-cafe,camberwell,short black cafe,victoria,1-10,shortblackcafe.com.au
australia,2016,digital-first-australia,information technology and services,linkedin.com/company/digital-first-australia,melbourne,digital first australia,victoria,1-10,digital-first.com.au
australia,"",sydney-airport-chauffeur,transportation/trucking/railroad,linkedin.com/company/sydney-airport-chauffeur,"",sydney airport chauffeur,"",1-10,sydneyairportchauffeur.com.au
australia,2003,la-tortilleria,design,linkedin.com/company/la-tortilleria,"",la tortilleria,"",11-50,latortilleria.com
australia,"",meteor-car-&-truck-rentals,retail,linkedin.com/company/meteor-car-&-truck-rentals,"",meteor car & truck rentals,"",1-10,""
