country,founded,id,industry,linkedin_url,locality,name,region,size,website
austria,"",exterstahl,"",linkedin.com/company/exterstahl,"",exterstahl,"",11-50,exterstahl.com
austria,1987,eccon-gmbh,mechanical or industrial engineering,linkedin.com/company/eccon-gmbh,rankweil,eccon gmbh,vorarlberg,1-10,eccon.biz
austria,2003,407communication,marketing and advertising,linkedin.com/company/407communication,"",agency4e7,"",11-50,agency4e7.com
austria,"",fruxtechnologiesgmbh,information technology and services,linkedin.com/company/fruxtechnologiesgmbh,leonding,frux technologies gmbh,upper austria,11-50,""
austria,1956,forster-group,mining & metals,linkedin.com/company/forster-group,ybbs,forster,niederosterreich,501-1000,""
austria,1963,delfabrokolarik,wholesale,linkedin.com/company/delfabrokolarik,graz,del fabro kolarik gmbh,steiermark,201-500,delfabrokolarik.at
austria,2016,blocklancer,computer software,linkedin.com/company/blocklancer,innsbruck,blocklancer,tyrol,1-10,blocklancer.net
austria,2011,finderly,information technology and services,linkedin.com/company/finderly,vienna,shpock app | finderly gmbh,vienna,51-200,shpock.com
austria,2015,match-maker-ventures,venture capital & private equity,linkedin.com/company/match-maker-ventures,"",match-maker ventures,vienna,11-50,match-maker.ventures
austria,"",wifi-oö-gmbh,education management,linkedin.com/company/wifi-oö-gmbh,linz,wifi oö gmbh,upper austria,51-200,wifi.at
austria,2010,4-elements-academy,sports,linkedin.com/company/4-elements-academy,tirol,4 elements urban fitness studio,styria,1-10,4elementsacademy.at
austria,1994,musis---museen-und-sammlungen-in-der-steiermark,museums and institutions,linkedin.com/company/musis---museen-und-sammlungen-in-der-steiermark,graz,musis - steirischer museumsverband / styrian museum organisation,styria,1-10,musis.at
austria,"",nikoll-at,information technology and services,linkedin.com/company/nikoll-at,wien,nikoll.at,vienna,1-10,nikoll.at
austria,"",söllner-edv-beratung,computer software,linkedin.com/company/söllner-edv-beratung,mattsee,söllner edv-beratung,salzburg,1-10,soellner-edv.at
austria,2020,jb-licht-gmbh,electrical/electronic manufacturing,linkedin.com/company/jb-licht-gmbh,klagenfurt,jb-licht gmbh,karnten,1-10,jb-licht.at
austria,"",comtrack,"",linkedin.com/company/comtrack,"",comtrack,"",11-50,comtrack.at
austria,2010,starksms-systems,marketing and advertising,linkedin.com/company/starksms-systems,vienna,starksms systems,wien,1-10,starksms.com
austria,2005,wolf21,internet,linkedin.com/company/wolf21,wien,wolf21,vienna,1-10,wolf21.com
austria,"",4jobs-personalmanagement-gmbh-,staffing and recruiting,linkedin.com/company/4jobs-personalmanagement-gmbh-,"",4jobs personalmanagement gmbh.,"",1-10,4jobs.at
austria,2007,parksideinteractive,information technology and services,linkedin.com/company/parksideinteractive,graz,parkside®,styria,51-200,parkside-interactive.com
austria,"",clever&smart-marketing-communication-services,marketing and advertising,linkedin.com/company/clever&smart-marketing-communication-services,"",clever&smart marketing communication services,"",1-10,""
austria,"",seiringer-umweltservice-gmbh,"",linkedin.com/company/seiringer-umweltservice-gmbh,"",seiringer umweltservice gmbh,"",1-10,seiringer.at
austria,2013,sonible,computer software,linkedin.com/company/sonible,graz,sonible,steiermark,11-50,sonible.com
austria,2014,savonarola-gmbh,architecture & planning,linkedin.com/company/savonarola-gmbh,feldkirchen an der donau,savonarola gmbh,oberosterreich,1-10,savonarola.at
austria,2015,tab-the-alternative-board-österreich,management consulting,linkedin.com/company/tab-the-alternative-board-österreich,wien,tab the alternative board österreich,vienna,11-50,tab-austria.com
austria,"",mühlbauer,"",linkedin.com/company/mühlbauer,"",mühlbauer,"",11-50,muehlbauer.at
austria,1988,goeweil,machinery,linkedin.com/company/goeweil,"",göweil maschinenbau gmbh,upper austria,51-200,goeweil.com
austria,"",wachernig-steuerberatung,"",linkedin.com/company/wachernig-steuerberatung,"",wachernig steuerberatung,"",1-10,wachernig.com
austria,1989,automationx,industrial automation,linkedin.com/company/automationx,graz,automationx,steiermark,51-200,automationx.com
austria,"",walter-werkzeuge,retail,linkedin.com/company/walter-werkzeuge,anif,walter werkzeuge,salzburg,11-50,walter-werkzeuge.com
austria,2005,yfu-austria,education management,linkedin.com/company/yfu-austria,"",yfu austria,vienna,1-10,yfu.at
austria,"",kunsthandel,"",linkedin.com/company/kunsthandel,"",kunsthandel,"",51-200,kunsthandel-pichler.at
austria,2009,parrot-solutions,marketing and advertising,linkedin.com/company/parrot-solutions,vienna,parrot solutions,vienna,1-10,parrot-solutions.com
austria,1998,monster-worldwide-austria-gmbh,internet,linkedin.com/company/monster-worldwide-austria-gmbh,wien,monster worldwide austria gmbh,vienna,11-50,monster.at
austria,1994,easy-software-gmbh,information technology and services,linkedin.com/company/easy-software-gmbh,"",easy software gmbh,salzburg,1-10,easy-austria.at
austria,1996,ecr-austria,consumer goods,linkedin.com/company/ecr-austria,"",ecr austria,vienna,1-10,ecr.digital
austria,"",ct-pen,information technology and services,linkedin.com/company/ct-pen,"",ct-pen,"",1-10,ct-pen.com
austria,1994,bosfor-reisen,"leisure, travel & tourism",linkedin.com/company/bosfor-reisen,wien,bosfor reisen,vienna,1-10,bosfor.at
austria,2009,sar-anlagenbau-gmbh,electrical/electronic manufacturing,linkedin.com/company/sar-anlagenbau-gmbh,mauer bei amstetten,sar anlagenbau gmbh,niederosterreich,51-200,sar-anlagenbau.at
