country,founded,id,industry,linkedin_url,locality,name,region,size,website
azerbaijan,2011,baku-school-of-business-and-economics,education management,linkedin.com/company/baku-school-of-business-and-economics,baku,baku school of business and economics,baki,1-10,bsbe.az
azerbaijan,2010,terasoft.az,information technology and services,linkedin.com/company/terasoft.az,baku,terasoft.az,baki,1-10,software.az
azerbaijan,2011,international-logistics-systems,logistics and supply chain,linkedin.com/company/international-logistics-systems,baku,international logistics systems,baki,11-50,ils.az
azerbaijan,2008,coaching-and-consulting-mmc,professional training & coaching,linkedin.com/company/coaching-and-consulting-mmc,baku,coaching and consulting mmc,baki,1-10,cac.az
azerbaijan,2016,bukhalternative,management consulting,linkedin.com/company/bukhalternative,"",bukhalternative advisory company,baki,1-10,bukhalternative.com
azerbaijan,2014,protect-az-llc-fire-and-safety-systems,public safety,linkedin.com/company/protect-az-llc-fire-and-safety-systems,baku,protect.az llc fire and safety systems,baki,51-200,protect.az
azerbaijan,2017,azfar-sport-events-promotion,sports,linkedin.com/company/azfar-sport-events-promotion,baku,azfar sport events and promotion,baki,11-50,asep.az
azerbaijan,2010,focus-az,marketing and advertising,linkedin.com/company/focus-az,baku,focus digital (baku),baki,1-10,focus.az
azerbaijan,1994,arash-medical-company,medical devices,linkedin.com/company/arash-medical-company,baku,arash medical company llc,baki,51-200,arash.az
azerbaijan,2020,azem-group-inc,farming,linkedin.com/company/azem-group-inc,baku,mini meyvəli,baki,1-10,""
azerbaijan,2019,mcgroup-az,management consulting,linkedin.com/company/mcgroup-az,baku,mc group llc,baki,11-50,mcgroup.az
azerbaijan,2019,horizongroupbaku,financial services,linkedin.com/company/horizongroupbaku,baku,horizon consulting & support services,baki,11-50,horizongroup.az
azerbaijan,2015,ganja-internatonal-hospital,medical practice,linkedin.com/company/ganja-internatonal-hospital,"",ganja international hospital,"",11-50,gbx.az
azerbaijan,2015,brandup-digital-agency-azerbaijan,marketing and advertising,linkedin.com/company/brandup-digital-agency-azerbaijan,baku,brandup digital agency,baki,11-50,brandup.az
azerbaijan,2017,smartmediaaz,marketing and advertising,linkedin.com/company/smartmediaaz,"",smart media,baki,1-10,smartmedia.az
azerbaijan,"",kamaz-az,"",linkedin.com/company/kamaz-az,"",kamaz az,"",1-10,kamaz.az
azerbaijan,2018,matrix-training-center,information technology and services,linkedin.com/company/matrix-training-center,baku,matrix technologies,baki,1-10,""
azerbaijan,2010,bağçam-uşaq-bağçaları-şəbəkəsi,education management,linkedin.com/company/bağçam-uşaq-bağçaları-şəbəkəsi,narimanov,bağçam uşaq bağçaları şəbəkəsi,saatli,51-200,bagcam.az
