country,founded,id,industry,linkedin_url,locality,name,region,size,website
bahamas,1978,nai-lowes-realty,real estate,linkedin.com/company/nai-lowes-realty,dunmore town,island real estate,harbour island,1-10,harbourislandrealty.com
bahamas,"",star106.5fm,broadcast media,linkedin.com/company/star106.5fm,"",star106.5fm,"",1-10,star106fm.com
bahamas,2005,glinton-sweeting-o'brien,law practice,linkedin.com/company/glinton-sweeting-o'brien,nassau,glinton | sweeting | o'brien,new providence,11-50,gsolegal.com
bahamas,2012,delaney-partners,law practice,linkedin.com/company/delaney-partners,nassau,delaney partners,new providence,11-50,delaneypartners.com
bahamas,2014,center-for-sustainable-development,renewables & environment,linkedin.com/company/center-for-sustainable-development,"",center for sustainable development,"",51-200,csdbahamas.org
bahamas,1993,rossignole-international,management consulting,linkedin.com/company/rossignole-international,"",rossignole international,"",1-10,rossignoleinternational.com
bahamas,1987,adworks-bahamas,marketing and advertising,linkedin.com/company/adworks-bahamas,nassau,adworks multimedia,new providence,1-10,adworksbahamas.com
bahamas,1990,the-signman-co.-ltd.,graphic design,linkedin.com/company/the-signman-co.-ltd.,nassau,the signman co. ltd.,new providence,11-50,signmanbahamas.com
bahamas,"",simplified-lending,information services,linkedin.com/company/simplified-lending,nassau,simplified lending,new providence,1-10,rpbfc.com
bahamas,1998,canned-soul-productions-llc,marketing and advertising,linkedin.com/company/canned-soul-productions-llc,"",canned soul productions llc,"",51-200,canned-soul.com
bahamas,2003,freeport-ship-services,maritime,linkedin.com/company/freeport-ship-services,"",freeport ship services,"",11-50,freeportshipservices.com
bahamas,2014,walkerstrachan,executive office,linkedin.com/company/walkerstrachan,nassau,walker strachan,new providence,1-10,walkerstrachan.com
