country,founded,id,industry,linkedin_url,locality,name,region,size,website
bahrain,"",miracle-graphics,media production,linkedin.com/company/miracle-graphics,"",miracle graphics,"",11-50,miracle.com.bh
bahrain,2010,hani-suites-&-spa,hospitality,linkedin.com/company/hani-suites-&-spa,seef,hani hotels (hani suites & spa + hani royal hotel),manama,51-200,hanisuites.com
bahrain,2012,international-security-services-s-p-c,security and investigations,linkedin.com/company/international-security-services-s-p-c,"",international security services s.p.c,manama,201-500,issbh.com
bahrain,"",bahrain-business-incubator-centre,management consulting,linkedin.com/company/bahrain-business-incubator-centre,"",bahrain business incubator centre,muharraq,11-50,bbicbahrain.com
bahrain,1960,yateem-oxygen,oil & energy,linkedin.com/company/yateem-oxygen,"",yateem oxygen,"",201-500,yateemoxygen.com
bahrain,"",worldlinks-advisors,financial services,linkedin.com/company/worldlinks-advisors,manama,worldlinks advisors,al manamah,1-10,worldlinksadvisors.com
bahrain,1978,gulf-computer-services,information technology and services,linkedin.com/company/gulf-computer-services,"",gulf computer services,manama,11-50,gulfcomputerservices.com
bahrain,2009,hera-real-estate-co-w-l-l,real estate,linkedin.com/company/hera-real-estate-co-w-l-l,seef,hera real estate co w.l.l,manama,11-50,hera-realestate.com
bahrain,"",bahrain-switchgear-&-lighting-industries-w-l-l-,electrical/electronic manufacturing,linkedin.com/company/bahrain-switchgear-&-lighting-industries-w-l-l-,"",bahrain switchgear & lighting industries w.l.l.,"",11-50,bahrainswitchgear.com
bahrain,"",dr-ammar-alekri-dental-center,cosmetics,linkedin.com/company/dr-ammar-alekri-dental-center,tubli,dr. ammar alekri dental center,manama,11-50,alekri.com
bahrain,"",global-banking-corporation-b-s-c-,investment banking,linkedin.com/company/global-banking-corporation-b-s-c-,"",global banking corporation b.s.c.,manama,1-10,gbcorponline.com
bahrain,"",international-islamic-financial-market,telecommunications,linkedin.com/company/international-islamic-financial-market,"",international islamic financial market,manama,11-50,iifm.net
bahrain,1973,delmon-readymix,building materials,linkedin.com/company/delmon-readymix,salmabad,delmon readymix,"",201-500,delmonreadymix.com
bahrain,"",mm-fakhro-accounting,accounting,linkedin.com/company/mm-fakhro-accounting,manama,mm fakhro accounting,al manamah,1-10,mmfakhro.net
bahrain,"",mba-fakhro,"",linkedin.com/company/mba-fakhro,"",mba fakhro,"",11-50,mbafakhro.com
bahrain,"",nstarmediabh,design,linkedin.com/company/nstarmediabh,manama,northstar media,al manamah,1-10,nstarmedia.com
bahrain,2010,jobs4bahrainis,staffing and recruiting,linkedin.com/company/jobs4bahrainis,manama,jobs4bahrainis,al manamah,1-10,jobs4bahrainis.com
bahrain,1998,silver-star-global-w.l.l.,management consulting,linkedin.com/company/silver-star-global-w.l.l.,manama,silver star global w.l.l.,manama,11-50,ssg.ms
bahrain,"",aradous-hotel,hospitality,linkedin.com/company/aradous-hotel,"",aradous hotel,manama,1-10,aradoushotel.com
bahrain,1982,al-eqtesad-carpentry-&-trading,furniture,linkedin.com/company/al-eqtesad-carpentry-&-trading,al buday`,al eqtesad carpentry & trading,al mintaqah ash shamaliyah,11-50,aleqtesad.com
bahrain,"",al-kooheji-technical-services,government relations,linkedin.com/company/al-kooheji-technical-services,"",al kooheji technical services,manama,1-10,""
bahrain,"",al-waraqoon-w.l.l.,graphic design,linkedin.com/company/al-waraqoon-w.l.l.,"",al waraqoon w.l.l.,"",11-50,alwaraqoon.com
bahrain,2011,3dspeaking,professional training & coaching,linkedin.com/company/3dspeaking,manama,3d speaking,al manamah,1-10,3dspeaking.com
bahrain,"",oryx-insurance-services-w-l-l-,insurance,linkedin.com/company/oryx-insurance-services-w-l-l-,"",oryx insurance services w.l.l.,manama,11-50,oryx.com.bh
bahrain,2019,diggersme,construction,linkedin.com/company/diggersme,manama,diggers middle east,manama,11-50,diggersme.com
bahrain,2016,gtcbahrain,construction,linkedin.com/company/gtcbahrain,manama,great tower construction establishment,manama,11-50,gtcbahrain.com
bahrain,"",virtus-veritas-et-ingenium-w.l.l,oil & energy,linkedin.com/company/virtus-veritas-et-ingenium-w.l.l,"",virtus veritas et ingenium w.l.l,"",11-50,vvi.cc
