country,founded,id,industry,linkedin_url,locality,name,region,size,website
bangladesh,2015,spark-bangladesh,fund-raising,linkedin.com/company/spark-bangladesh,"",spark* bangladesh,dhaka,1-10,""
bangladesh,2014,shopybuzz,retail,linkedin.com/company/shopybuzz,"",shopybuzz,dhaka,1-10,shopybuzz.com
bangladesh,2012,prime-net-ltd,computer & network security,linkedin.com/company/prime-net-ltd,dhaka,prime net ltd,dhaka,11-50,primenetbd.com
bangladesh,2017,viontech,computer software,linkedin.com/company/viontech,dhaka,viontech,dhaka,1-10,viontech.org
bangladesh,2011,rocketmfs,financial services,linkedin.com/company/rocketmfs,"",rocket(mfs),dhaka,1001-5000,""
bangladesh,"",shadhinwifi-com,computer networking,linkedin.com/company/shadhinwifi-com,dhaka,shadhinwifi.com,dhaka,11-50,shadhinwifi.com
bangladesh,1988,americanchamberofcommerceinbangladesh,international trade and development,linkedin.com/company/americanchamberofcommerceinbangladesh,dhaka,american chamber of commerce in bangladesh,dhaka,1-10,amchambd.org
bangladesh,2017,edusoc-bangladesh,facilities services,linkedin.com/company/edusoc-bangladesh,"",edusoc bangladesh,dhaka,1-10,""
bangladesh,"",catalyticschool,e-learning,linkedin.com/company/catalyticschool,"",catalytic school,chittagong,51-200,catalyticschool.blogspot.com
bangladesh,1986,mohammadigroup,apparel & fashion,linkedin.com/company/mohammadigroup,"",mohammadi group,dhaka,10001+,mohammadigroup.com
bangladesh,1991,anandaniketan-school,education management,linkedin.com/company/anandaniketan-school,sylhet,anandaniketan school,sylhet,51-200,anandaniketan.info
bangladesh,2008,osource-bangladesh,computer software,linkedin.com/company/osource-bangladesh,dhaka,osource bangladesh limited,dhaka,11-50,osourcebd.com
bangladesh,"",nsu-ethics-club,public safety,linkedin.com/company/nsu-ethics-club,"",nsu ethics club,dhaka,201-500,""
bangladesh,2020,dpecbd,non-profit organization management,linkedin.com/company/dpecbd,"",daffodil polytechnic electrical club,dhaka,501-1000,""
bangladesh,"",sharif-pharmaceuticals-limited,think tanks,linkedin.com/company/sharif-pharmaceuticals-limited,dhaka,sharif pharmaceuticals limited,dhaka,51-200,sharifpharma.com
bangladesh,2003,diamond-eng,machinery,linkedin.com/company/diamond-eng,mirpur,diamond engineering,lakshmipur,11-50,""
bangladesh,"",kare-group,consumer services,linkedin.com/company/kare-group,dhaka,kare group,dhaka,1-10,karegroup.net
bangladesh,2009,hasan-chambers,legal services,linkedin.com/company/hasan-chambers,"",hasan chambers,dhaka,11-50,hasanchambers.com
bangladesh,2004,prime-asia-limited,industrial automation,linkedin.com/company/prime-asia-limited,"",prime asia limited,dhaka,51-200,primeasiabd.com
bangladesh,"",clipping-solutions,design,linkedin.com/company/clipping-solutions,"",clipping solutions,rangpur division,51-200,""
bangladesh,2007,royal-machineries-corporation,machinery,linkedin.com/company/royal-machineries-corporation,"",royal machinery corporation ltd.,dhaka,51-200,rmclbd.com
bangladesh,2017,reaverse,media production,linkedin.com/company/reaverse,dhaka,reaverse,dhaka,1-10,""
bangladesh,2018,semestree,consumer services,linkedin.com/company/semestree,dhaka,semestree,dhaka,1-10,""
bangladesh,2018,innerloopbd,computer & network security,linkedin.com/company/innerloopbd,dhaka,inner loop,dhaka,1-10,""
bangladesh,2001,alliance-financial-services-limited,investment banking,linkedin.com/company/alliance-financial-services-limited,"",alliance financial services limited,dhaka,11-50,allfin.org
