country,founded,id,industry,linkedin_url,locality,name,region,size,website
belarus,2019,firstner,education management,linkedin.com/company/firstner,minsk,firstner,minsk,1-10,firstner.by
belarus,2011,legaltax-belarus,legal services,linkedin.com/company/legaltax-belarus,minsk,legaltax belarus,minsk,1-10,legaltax.by
belarus,2013,zaochka-by,e-learning,linkedin.com/company/zaochka-by,minsk,zaochka.by,minsk city,1-10,zaochka.by
belarus,2011,study-zone-minsk,education management,linkedin.com/company/study-zone-minsk,"",study zone minsk,minsk,11-50,studyzone.by
belarus,2010,nineseven,information technology and services,linkedin.com/company/nineseven,minsk,nineseven,minsk,11-50,nineseven.pro
belarus,2011,театр-взаимодействия-мусташ,events services,linkedin.com/company/театр-взаимодействия-мусташ,"","","",1-10,mousta.by
belarus,2018,bgamingofficial,gambling & casinos,linkedin.com/company/bgamingofficial,minsk,bgaming,minsk,11-50,bgaming.com
belarus,"",allstars-by-минск,"",linkedin.com/company/allstars-by-минск,"",allstars.by минск,"",11-50,allstars.by
belarus,2011,factorltd,computer & network security,linkedin.com/company/factorltd,minsk,factor ltd. - профессиональные it-услуги,minsk city,11-50,factor-ltd.by
belarus,2009,arfby,recreational facilities and services,linkedin.com/company/arfby,"",федерация приключенческих гонок (arf),minsk,1-10,arf.by
belarus,1992,npp-belsoft,computer networking,linkedin.com/company/npp-belsoft,minsk,npp belsoft,minsk city,51-200,belsoft.by
belarus,2005,link-assistant-com,internet,linkedin.com/company/link-assistant-com,minsk,link-assistant.com,minsk city,11-50,""
belarus,2013,etereshop,design,linkedin.com/company/etereshop,"",etereshop (light solutions etere),brest,51-200,etereshop.com
belarus,2005,monolit-group,real estate,linkedin.com/company/monolit-group,"",monolit group,minsk,201-500,monolitgroup.by
belarus,2012,sportler,sports,linkedin.com/company/sportler,minsk,sportler,minsk,1-10,sportler.by
belarus,2017,phpdev,information technology and services,linkedin.com/company/phpdev,minsk,phpdev.org,minsk,1-10,phpdev.org
belarus,1998,monorakurs,architecture & planning,linkedin.com/company/monorakurs,"",monorakurs,minsk,51-200,monorakurs.by
belarus,2012,moone-technologies,computer software,linkedin.com/company/moone-technologies,"",moonetech,"",11-50,moonetech.com
belarus,2013,high-torque-software,information technology and services,linkedin.com/company/high-torque-software,"",high torque software,minsk,11-50,hightorquesoftware.com
belarus,2017,arrm-io,information technology and services,linkedin.com/company/arrm-io,minsk,arrm.io technology,minsk,11-50,arrm.io
belarus,2005,irsen-computers,computer hardware,linkedin.com/company/irsen-computers,minsk,irsen computers,minsk city,11-50,irsen.by
belarus,2012,hackspace-llc,computer hardware,linkedin.com/company/hackspace-llc,minsk,hackspace llc,minsk,11-50,hackspace.by
belarus,2012,call-tracking-belarus,marketing and advertising,linkedin.com/company/call-tracking-belarus,minsk,call-tracking.by,minsk,1-10,call-tracking.by
belarus,1996,shate-m-plus,automotive,linkedin.com/company/shate-m-plus,"",shate-m plus,minsk,1001-5000,shate-m.by
belarus,2017,apm2-studio,information technology and services,linkedin.com/company/apm2-studio,minsk,apm2 studio,minsk,11-50,apm2.studio
