country,founded,id,industry,linkedin_url,locality,name,region,size,website
belgium,"",young-boys,"",linkedin.com/company/young-boys,koekelberg,young boys,flemish brabant province,11-50,""
belgium,2004,tribal-art,fine art,linkedin.com/company/tribal-art,brussels,philippe laeremans tribal art,brussels hoofdstedelijk gewest,1-10,philippelaeremans.be
belgium,"",pro-league,sports,linkedin.com/company/pro-league,"",pro league,"",1-10,proleague.be
belgium,"",ka-zottegem,education management,linkedin.com/company/ka-zottegem,zottegem,ka zottegem,oost-vlaanderen,11-50,kaz.be
belgium,"",razon,computer software,linkedin.com/company/razon,antwerpen,razon,flanders,11-50,""
belgium,"",le-bouchon-gourmand,"",linkedin.com/company/le-bouchon-gourmand,verviers,le bouchon gourmand,wallonia,1-10,""
belgium,1929,cimenteries-cbr-cementbedrijven-n-v-,building materials,linkedin.com/company/cimenteries-cbr-cementbedrijven-n-v-,brussels,cbr_cement,brussels capital,501-1000,cbr.be
belgium,"",spp-belgium,computer & network security,linkedin.com/company/spp-belgium,"",spp belgium,"",1-10,sppbelgium.com
belgium,2006,secondroom,fine art,linkedin.com/company/secondroom,antwerpen,secondroom,flanders,1-10,secondroom.be
belgium,2011,black-zebra,human resources,linkedin.com/company/black-zebra,houthalen,black zebra,flanders,1-10,blackzebra.be
belgium,"",veys-nv,automotive,linkedin.com/company/veys-nv,"",veys nv,"",11-50,veys.be
belgium,"",lloydspharma-group,"health, wellness and fitness",linkedin.com/company/lloydspharma-group,wavre,lloydspharma group,brabant wallon,11-50,""
belgium,"",kak-media,music,linkedin.com/company/kak-media,"",kak media,"",1-10,kak-media.com
belgium,"",ayem,construction,linkedin.com/company/ayem,genk,ayem,flanders,1-10,""
belgium,"",matteus,banking,linkedin.com/company/matteus,brugge,matteus,west-vlaanderen,11-50,""
belgium,"",detail-car,"",linkedin.com/company/detail-car,"",detail car,"",11-50,detailcar.be
belgium,"",gab's,computer software,linkedin.com/company/gab's,anderlecht,gab's,brussels capital,11-50,gabs.be
belgium,"",nyk-line-benelux-b.v.,maritime,linkedin.com/company/nyk-line-benelux-b.v.,beveren,nyk line (benelux) b.v.,flanders,1-10,""
belgium,2004,bureau-d-études-bgs,construction,linkedin.com/company/bureau-d-études-bgs,namur,bureau d'études bgs,wallonia,11-50,bgns.be
belgium,"",colour-technics,"",linkedin.com/company/colour-technics,antwerpen,colour technics,flanders,1-10,""
belgium,"",gravibeton-sa,building materials,linkedin.com/company/gravibeton-sa,flemalle,gravibeton sa,liège province,1-10,""
belgium,"",wics,management consulting,linkedin.com/company/wics,antwerp,wics,antwerpen,11-50,wicsconnect.com
belgium,"",v.d.b.-frozen-food-production,food production,linkedin.com/company/v.d.b.-frozen-food-production,dendermonde,v.d.b. frozen food production,flanders,1-10,""
belgium,2019,ensō-brasschaat,mental health care,linkedin.com/company/ensō-brasschaat,brasschaat,ensō brasschaat,antwerpen,11-50,enso.be
belgium,"",bestpcservice,"",linkedin.com/company/bestpcservice,gent,bestpcservice,oost-vlaanderen,1-10,""
belgium,"",retro-café,restaurants,linkedin.com/company/retro-café,antwerp,retro café,antwerpen,11-50,retrocafe.be
belgium,2014,vidsome,marketing and advertising,linkedin.com/company/vidsome,ghent,vidsome,east flanders province,1-10,vidsome.com
belgium,1991,de-lijn,transportation/trucking/railroad,linkedin.com/company/de-lijn,"",de lijn,"",1001-5000,""
belgium,"",institut-albatros-asbl,civic & social organization,linkedin.com/company/institut-albatros-asbl,"",institut albatros asbl,"",11-50,""
belgium,"",eevm,restaurants,linkedin.com/company/eevm,arendonk,eevm,flanders,11-50,""
belgium,"",info-computers,"",linkedin.com/company/info-computers,aalter,info computers,flanders,11-50,""
belgium,2006,passion-for-work,human resources,linkedin.com/company/passion-for-work,antwerp,passion for work,antwerpen,11-50,passionforwork.net
belgium,1976,vangilskeukens,construction,linkedin.com/company/vangilskeukens,weelde,van gils keukens,antwerpen,11-50,keukensvangils.be
belgium,"",bouwhandel-de-decker,construction,linkedin.com/company/bouwhandel-de-decker,duffel,bouwhandel de decker,antwerpen,1-10,ddd.be
belgium,"",solid-system-solutions,industrial automation,linkedin.com/company/solid-system-solutions,"",solid system solutions,"",11-50,s3.be
belgium,2000,cu.be-solutions,internet,linkedin.com/company/cu.be-solutions,zaventem,cu.be solutions,flanders,11-50,cu.be
belgium,2014,qaviaar-bvba,information technology and services,linkedin.com/company/qaviaar-bvba,antwerp,qaviaar,antwerpen,1-10,qaviaar.be
belgium,"",groupement-informatique,"",linkedin.com/company/groupement-informatique,liege,groupement informatique,liege,11-50,""
belgium,"",miko-trading,"",linkedin.com/company/miko-trading,antwerpen,miko trading,flanders,1-10,""
belgium,"",attari,food & beverages,linkedin.com/company/attari,antwerpen,attari,flanders,11-50,""
belgium,1985,dc-lighting,events services,linkedin.com/company/dc-lighting,aalter,dc lighting,oost-vlaanderen,1-10,dclighting.be
belgium,2003,softwareone-belux,information technology and services,linkedin.com/company/softwareone-belux,brussels,comparex belgium,brussels capital,51-200,comparex.be
belgium,"",exilis,management consulting,linkedin.com/company/exilis,amay,exilis,liege,11-50,""
belgium,2004,accompan.e,information technology and services,linkedin.com/company/accompan.e,leuven,accompan.e,vlaams-brabant,1-10,accompane.com
belgium,2002,regions4,international affairs,linkedin.com/company/regions4,"",nrg4sd,flanders,1-10,nrg4sd.org
belgium,"",academics-for-development-belgium,non-profit organization management,linkedin.com/company/academics-for-development-belgium,antwerp,academics for development belgium,antwerpen,51-200,""
belgium,"",ciferama,"",linkedin.com/company/ciferama,herstal,ciferama,liege,1-10,""
belgium,2013,copiviono,music,linkedin.com/company/copiviono,herent,copiviono vof,flanders,1-10,copiviono.be
belgium,"",food-lovers-market,"",linkedin.com/company/food-lovers-market,kontich,food lovers market,flanders,501-1000,""
belgium,"",l'o-a-la-bouche,restaurants,linkedin.com/company/l'o-a-la-bouche,namur,l'o a la bouche,wallonia,51-200,loalabouche.be
belgium,"",trendy-tex,"",linkedin.com/company/trendy-tex,uccle,trendy tex,brussels capital,1-10,""
belgium,"",pelucas,banking,linkedin.com/company/pelucas,genk,pelucas,flanders,11-50,""
belgium,2014,isense-it,information technology and services,linkedin.com/company/isense-it,herzele,isense it,flanders,1-10,isenseit.eu
belgium,"",clefs-pour-la-jeunesse-asbl---leefsleutels-vzw,professional training & coaching,linkedin.com/company/clefs-pour-la-jeunesse-asbl---leefsleutels-vzw,"",clefs pour la jeunesse asbl - leefsleutels vzw,"",1-10,""
belgium,1996,centre-de-bien-etre-et-formations-eva-janosek,"health, wellness and fitness",linkedin.com/company/centre-de-bien-etre-et-formations-eva-janosek,"",centre de bien-etre et formations eva janosek,"",1-10,tiendao-coaching.com
belgium,"",whos-in,events services,linkedin.com/company/whos-in,"",whos-in,"",1-10,whos-in.eu
belgium,"",zhi-yang,restaurants,linkedin.com/company/zhi-yang,peruwelz,"zhi, yang",hainaut,1-10,""
belgium,"",fmg-international,"",linkedin.com/company/fmg-international,essen,fmg international,antwerpen,1-10,""
belgium,"",kras-architecten,architecture & planning,linkedin.com/company/kras-architecten,gent,kras architecten,oost-vlaanderen,11-50,krasarchitecten.be
belgium,"",vadamon,machinery,linkedin.com/company/vadamon,zele,vadamon,oost-vlaanderen,11-50,""
belgium,"",anete,insurance,linkedin.com/company/anete,overpelt,anete,flanders,11-50,""
belgium,2011,somersault18-24,graphic design,linkedin.com/company/somersault18-24,diest,somersault18:24,flanders,1-10,somersault1824.com
belgium,2012,buyle-legal,law practice,linkedin.com/company/buyle-legal,brussels,buyle legal,brussels hoofdstedelijk gewest,51-200,buylelegal.eu
belgium,1998,orqua,information technology and services,linkedin.com/company/orqua,"",orqua,"",11-50,orqua.be
belgium,2011,ideclick-sprl,information technology and services,linkedin.com/company/ideclick-sprl,harze,ideclick sprl,liege,1-10,ideclick.com
belgium,"",vanbreda-huysmans,insurance,linkedin.com/company/vanbreda-huysmans,mechelen,vanbreda huysmans,antwerpen,1-10,""
belgium,"",feedomatic,mining & metals,linkedin.com/company/feedomatic,deinze,feedomatic,flanders,1-10,feedomatic.be
belgium,"",constructie-bruynooghe,machinery,linkedin.com/company/constructie-bruynooghe,staden,constructie bruynooghe,west-vlaanderen,1-10,""
belgium,"",vlanmédia,marketing and advertising,linkedin.com/company/vlanmédia,brussels,vlan média,brussels hoofdstedelijk gewest,51-200,""
belgium,2008,zionmedia,internet,linkedin.com/company/zionmedia,"",zionmedia,"",1-10,zionmedia.be
belgium,"",statsnet-sprl,information technology and services,linkedin.com/company/statsnet-sprl,"",statsnet sprl,"",1-10,stats.net
belgium,"",centre-d'art-contemporain,"",linkedin.com/company/centre-d'art-contemporain,verviers,centre d'art contemporain,wallonia,11-50,""
belgium,"",lwv,defense & space,linkedin.com/company/lwv,grobbendonk,lwv,flanders,11-50,""
belgium,"",triamant,hospital & health care,linkedin.com/company/triamant,turnhout,triamant,antwerpen,51-200,triamant.be
belgium,"",gerry,"",linkedin.com/company/gerry,"",gerry,"",11-50,""
belgium,2017,dc-j-création,entertainment,linkedin.com/company/dc-j-création,"",dc&j création,liege,1-10,""
belgium,"",pmigest,"",linkedin.com/company/pmigest,hollogne,pmigest,luxembourg province,1-10,pmigest.be
belgium,2016,twitec,information technology and services,linkedin.com/company/twitec,"",twitec,"",1-10,twitec.be
belgium,"",restaurant-stef,restaurants,linkedin.com/company/restaurant-stef,tremelo,restaurant stef,flanders,1-10,restaurantstef.be
