country,founded,id,industry,linkedin_url,locality,name,region,size,website
belize,2014,qsnetworks-llc,information technology and services,linkedin.com/company/qsnetworks-llc,"","qsnetworks, llc","",1-10,qsnetworks.com
belize,"",seven-seas-resort,hospitality,linkedin.com/company/seven-seas-resort,"",seven seas resort,"",11-50,sevenseasresort.com
belize,2015,6-point-partners-inc,farming,linkedin.com/company/6-point-partners-inc,silk grass,6 point partners inc,stann creek,1-10,corridgeree.com
belize,1997,ib-travel,events services,linkedin.com/company/ib-travel,"",ib travel,"",1-10,ibtravel.be
belize,1892,hofius-ltd-,retail,linkedin.com/company/hofius-ltd-,belize city,hofius ltd.,belize,11-50,hofiusbelize.com
belize,2016,marinea,maritime,linkedin.com/company/marinea,belize,marinea,belize,1-10,marinea.org
belize,2013,kanarya-international,outsourcing/offshoring,linkedin.com/company/kanarya-international,san pedro,kanarya international,belize,1-10,kanaryainternational.com
belize,"",belize-insurance-center,insurance,linkedin.com/company/belize-insurance-center,"",belize insurance center,"",11-50,belizeinsurance.com
belize,2015,alves-&-co--trust-ltd-,legal services,linkedin.com/company/alves-&-co--trust-ltd-,belize,alves & co. trust ltd.,belize,1-10,alvescotrust.com
belize,2014,la-sirene-resort-and-spa,real estate,linkedin.com/company/la-sirene-resort-and-spa,san pedro town,la sirene resort and spa,belize district,11-50,lasirene.bz
belize,"",belize-national-library,"",linkedin.com/company/belize-national-library,"",belize national library,"",51-200,bnlsis.org
belize,2004,seven-star-fx-ltd,financial services,linkedin.com/company/seven-star-fx-ltd,belize,seven star fx ltd.,belize,51-200,sevenstarfx.com
belize,2010,mgcash-media-ltd-,marketing and advertising,linkedin.com/company/mgcash-media-ltd-,belize city,mgcash media ltd.,belize,1-10,mgcash.com
