country,founded,id,industry,linkedin_url,locality,name,region,size,website
bermuda,"",adelaide-veterinary-clinic,veterinary,linkedin.com/company/adelaide-veterinary-clinic,"",adelaide veterinary clinic,southampton,11-50,adelaidevets.co.uk
bermuda,1950,argusglobalgroup,financial services,linkedin.com/company/argusglobalgroup,"",argus global group,hamilton,201-500,argus.bm
bermuda,"",east-african-holdings-ltd-,consumer goods,linkedin.com/company/east-african-holdings-ltd-,"",east african holdings ltd.,"",11-50,""
bermuda,1991,ignition-managed-services,information technology and services,linkedin.com/company/ignition-managed-services,"",ignition managed services,pembroke,51-200,ignitionmsp.com
bermuda,"",stratwicks-limited,pharmaceuticals,linkedin.com/company/stratwicks-limited,"",stratwicks limited,warwick,11-50,stratwickspharmacy.co.uk
bermuda,2018,hxrotech,computer software,linkedin.com/company/hxrotech,"",hxro,hamilton,11-50,hxro.io
bermuda,"",pacificmidstreamlimited,oil & energy,linkedin.com/company/pacificmidstreamlimited,"",pacific midstream limited,hamilton,11-50,""
bermuda,2009,ptix,events services,linkedin.com/company/ptix,"",ptix.bm,hamilton,1-10,ptix.bm
bermuda,"",tes-ltd.-bermuda-,construction,linkedin.com/company/tes-ltd.-bermuda-,"",tes ltd. (bermuda),"",11-50,tes.bm
bermuda,2017,viva-networkltd,financial services,linkedin.com/company/viva-networkltd,"",viva network,paget,11-50,vivanetwork.org
bermuda,"",revamp-uk-limited,furniture,linkedin.com/company/revamp-uk-limited,"",revamp-uk limited,hamilton,1-10,""
