country,founded,id,industry,linkedin_url,locality,name,region,size,website
bolivia,1981,empresa-constructora-el-horcón,civil engineering,linkedin.com/company/empresa-constructora-el-horcón,santa cruz de la sierra,empresa constructora el horcón,santa cruz,11-50,constructoraelhorcon.com
bolivia,1999,focaliza-srl.,market research,linkedin.com/company/focaliza-srl.,santa cruz de la sierra,focaliza inteligencia de mercado,santa cruz,11-50,focaliza.com.bo
bolivia,2018,baqsn-abogados,law practice,linkedin.com/company/baqsn-abogados,la paz,baqsn abogados,la paz,11-50,baqsn.com
bolivia,2014,jardinde-com,internet,linkedin.com/company/jardinde-com,la paz,jardinde.com,la paz,11-50,jardindecasas.com
bolivia,2004,bearsoft,information technology and services,linkedin.com/company/bearsoft,la paz,bearsoft,la paz,1-10,bearsoft.com.bo
bolivia,"",megalabs-bolivia,pharmaceuticals,linkedin.com/company/megalabs-bolivia,cruz,megalabs bolivia,santa cruz,51-200,megalabs.com.bo
bolivia,2017,gp-bol-service,computer networking,linkedin.com/company/gp-bol-service,cruz,gp-bol service,santa cruz,1-10,""
bolivia,2019,deugarte,logistics and supply chain,linkedin.com/company/deugarte,santa cruz de la sierra,deugarte despachantes de aduana,santa cruz,11-50,de-ugarte.com
bolivia,2011,grupo-sigma-bolivia,research,linkedin.com/company/grupo-sigma-bolivia,santa cruz de la sierra,grupo sigma bolivia,santa cruz,1-10,grupo-sigma.com
bolivia,1988,nexsys-de-bolivia,information technology and services,linkedin.com/company/nexsys-de-bolivia,cruz,nexsys de bolivia,santa cruz,501-1000,""
bolivia,2017,brand-makers---bolivia,marketing and advertising,linkedin.com/company/brand-makers---bolivia,santa cruz de la sierra,brand makers - bolivia,santa cruz,1-10,brandmakers.com.bo
bolivia,2013,ingenio-sucroalcoholero-agua-s-a-,food production,linkedin.com/company/ingenio-sucroalcoholero-agua-s-a-,santa cruz de la sierra,ingenio sucroalcoholero aguaí s.a.,santa cruz,201-500,aguai.com.bo
bolivia,1973,transturin,"leisure, travel & tourism",linkedin.com/company/transturin,la paz,transturin,la paz,51-200,transturin.com
bolivia,2013,casas-y-cosas,retail,linkedin.com/company/casas-y-cosas,cruz,casas y cosas,santa cruz,1-10,casasycosasbolivia.com
bolivia,2002,manjar-de-oro,food & beverages,linkedin.com/company/manjar-de-oro,cruz,manjar de oro,santa cruz,11-50,manjardeoro.com
bolivia,1997,ypfb-andina-s-a,oil & energy,linkedin.com/company/ypfb-andina-s-a,"",ypfb andina s.a.,santa cruz,201-500,ypfb-andina.com.bo
bolivia,"",grupoibgsrl,management consulting,linkedin.com/company/grupoibgsrl,la paz,grupo ibg srl,la paz,11-50,grupoibg.com
bolivia,2012,fundación-iuris-tantum,philanthropy,linkedin.com/company/fundación-iuris-tantum,santa cruz de la sierra,fundación iuris tantum,santa cruz,1-10,iuristantum.org
bolivia,1993,prodimsa,wholesale,linkedin.com/company/prodimsa,santa cruz de la sierra,prodimsa,santa cruz,11-50,prodimsa.com
bolivia,2013,ecojet-s-a-,airlines/aviation,linkedin.com/company/ecojet-s-a-,cercado,ecojet s.a.,tarija,201-500,ecojet.bo
bolivia,2010,casa-de-tursimo,"leisure, travel & tourism",linkedin.com/company/casa-de-tursimo,sucre,casa de tursimo,chuquisaca,1-10,casadeturismo.com.bo
bolivia,2009,lysoft,internet,linkedin.com/company/lysoft,cochabamba,lysoft,cochabamba,11-50,lysoftbo.com
bolivia,"",ypfb-petroandina-sam,"",linkedin.com/company/ypfb-petroandina-sam,"",ypfb petroandina sam,"",51-200,ypfbpetroandina.com.bo
bolivia,2013,cemter-srl-,outsourcing/offshoring,linkedin.com/company/cemter-srl-,santa cruz de la sierra,cemter,santa cruz,51-200,cemter.com.bo
bolivia,2013,holograma-srl,human resources,linkedin.com/company/holograma-srl,la paz,holograma srl,la paz,1-10,experienciaholograma.com
bolivia,2016,genea-wealth-management,individual & family services,linkedin.com/company/genea-wealth-management,santa cruz de la sierra,genea wealth management,santa cruz,1-10,geneawm.com
bolivia,"",altezzo,building materials,linkedin.com/company/altezzo,"",altezzo,"",1-10,altezzo.com
bolivia,1915,cainco,consumer services,linkedin.com/company/cainco,santa cruz de la sierra,cainco,santa cruz,51-200,cainco.org.bo
bolivia,"",academia-tahuichi,"",linkedin.com/company/academia-tahuichi,"",academia tahuichi,"",11-50,tahuichi.com.bo
bolivia,2007,bancodedesarrolloproductivo,banking,linkedin.com/company/bancodedesarrolloproductivo,la paz,banco de desarrollo productivo sam,la paz,11-50,""
bolivia,"",feppa-san-ignacio,"",linkedin.com/company/feppa-san-ignacio,"",feppa san ignacio,"",11-50,colsanignacio.org
bolivia,"",roll-out-agency,marketing and advertising,linkedin.com/company/roll-out-agency,sucre,roll out agency,chuquisaca,11-50,rolloutagency.com
bolivia,"",atimex-bolivia-srl,"",linkedin.com/company/atimex-bolivia-srl,"",atimex bolivia srl,"",11-50,atimexgroup.com.bo
bolivia,1996,sintesissa,information technology and services,linkedin.com/company/sintesissa,"",sintesis,"",201-500,sintesis.com.bo
bolivia,"",novaet,telecommunications,linkedin.com/company/novaet,"",novaet,"",11-50,novaet.com
bolivia,2020,pickappinfo,internet,linkedin.com/company/pickappinfo,"",pickapp,la paz,1-10,pickapp.info
