country,founded,id,industry,linkedin_url,locality,name,region,size,website
bosnia and herzegovina,"",reunion-doo,"",linkedin.com/company/reunion-doo,"",reunion doo,"",1-10,""
bosnia and herzegovina,"",opcina-travnik,information technology and services,linkedin.com/company/opcina-travnik,"",opcina travnik,"",11-50,opcinatravnik.com.ba
bosnia and herzegovina,"",kt-global-net-d.o.o.,internet,linkedin.com/company/kt-global-net-d.o.o.,"",kt global net d.o.o.,"",1-10,globalnet.ba
bosnia and herzegovina,2007,zada-pharmaceuticals,pharmaceuticals,linkedin.com/company/zada-pharmaceuticals,lukavac,zada pharmaceuticals,federation of bosnia and herzegovina,51-200,bipharm.ba
bosnia and herzegovina,"",una-aqua-centar,"leisure, travel & tourism",linkedin.com/company/una-aqua-centar,"",una aqua centar,"",1-10,una-aqua.com
bosnia and herzegovina,"",tips-doo,accounting,linkedin.com/company/tips-doo,mostar,tips doo,federation of b&h,1-10,tips-mostar.com
bosnia and herzegovina,2018,balkanestate,real estate,linkedin.com/company/balkanestate,novi grad,balkan estate,federation of bosnia and herzegovina,1-10,balkanestate.ba
bosnia and herzegovina,"",unicredit-bank-ad-banjaluka,banking,linkedin.com/company/unicredit-bank-ad-banjaluka,banja luka,unicredit bank a.d. banjaluka,srspka,201-500,unicreditbank-bl.ba
bosnia and herzegovina,2017,supersoft,information technology and services,linkedin.com/company/supersoft,mostar,supersoft,federation of b&h,1-10,superbusinessgroup.com
bosnia and herzegovina,"",mammut-industries-d-o-o,oil & energy,linkedin.com/company/mammut-industries-d-o-o,"",mammut industries d.o.o,"",1-10,mammut-boilers.com
bosnia and herzegovina,2020,onlineakademija,e-learning,linkedin.com/company/onlineakademija,sarajevo,online akademija,federation of b&h,11-50,oak.ba
bosnia and herzegovina,2011,yellotech,information technology and services,linkedin.com/company/yellotech,srpska,yellotech,republika srpska,1-10,yellotech.com
bosnia and herzegovina,"",katmar,design,linkedin.com/company/katmar,sarajevo,katmar,federation of bosnia and herzegovina,1-10,katmar.ba
bosnia and herzegovina,"",savez-sumero,"",linkedin.com/company/savez-sumero,"",savez sumero,"",1-10,sumero.ba
bosnia and herzegovina,2019,pixlbrain,information technology and services,linkedin.com/company/pixlbrain,sarajevo,pixlbrain,federation of bosnia and herzegovina,11-50,pixlbrain.ai
bosnia and herzegovina,2012,enit-d-o-o-,computer software,linkedin.com/company/enit-d-o-o-,sarajevo,enit,federation of b&h,11-50,enit.ba
bosnia and herzegovina,"",zavod-za-javno-zdravstvo-zeničko-dobojskog-kantona,alternative medicine,linkedin.com/company/zavod-za-javno-zdravstvo-zeničko-dobojskog-kantona,"",zavod za javno zdravstvo zeničko-dobojskog kantona,"",11-50,javnozdravstvo.ba
bosnia and herzegovina,2015,mostar-designs,information technology and services,linkedin.com/company/mostar-designs,"",mostar designs,"",11-50,mostardesigns.com
bosnia and herzegovina,2012,monolith-consulting---mnlth,information technology and services,linkedin.com/company/monolith-consulting---mnlth,"",monolith consulting / mnlth,"",1-10,mnlth.net
bosnia and herzegovina,2010,hdstudio-doo-tuzla,design,linkedin.com/company/hdstudio-doo-tuzla,"",hdstudio doo tuzla,"",1-10,hdstudio.ba
bosnia and herzegovina,2011,net-consulting---ethics-and-compliance-programs,information technology and services,linkedin.com/company/net-consulting---ethics-and-compliance-programs,"",net consulting - ethics and compliance programs,"",1-10,netconsulting.ba
bosnia and herzegovina,2020,orderit-app,information technology and services,linkedin.com/company/orderit-app,zenica,order-it,federation of b&h,1-10,""
bosnia and herzegovina,"",aneks-doo,telecommunications,linkedin.com/company/aneks-doo,srpska,blicnet,republika srpska,51-200,""
bosnia and herzegovina,2017,geopbyte,computer software,linkedin.com/company/geopbyte,sarajevo,geopbyte,federation of bosnia and herzegovina,1-10,geopbyte.co
bosnia and herzegovina,1882,универзитет-у-источном-сарајеву,higher education,linkedin.com/company/универзитет-у-источном-сарајеву,"","","",1-10,""
bosnia and herzegovina,"",ftm-doo,"",linkedin.com/company/ftm-doo,"",ftm doo,"",1-10,ftm-doo.com
bosnia and herzegovina,2005,natron-hayat-d-o-o-,paper & forest products,linkedin.com/company/natron-hayat-d-o-o-,maglaj,natron hayat d.o.o. maglaj,federation of bosnia and herzegovina,501-1000,natron-hayat.ba
bosnia and herzegovina,1998,utd-turist-98-d-o-o-,hospitality,linkedin.com/company/utd-turist-98-d-o-o-,jajce,utd turist 98 d.o.o.,federation of bosnia and herzegovina,11-50,hotel-turist98.com
