country,founded,id,industry,linkedin_url,locality,name,region,size,website
brazil,1997,natric-gestão-empresarial,management consulting,linkedin.com/company/natric-gestão-empresarial,"",natric gestão empresarial,"",1-10,natric.com.br
brazil,1984,mzbaraoconsultoria,financial services,linkedin.com/company/mzbaraoconsultoria,itapetininga,mz barão consultoria,sao paulo,11-50,consultoriamz.com.br
brazil,"",nordeste-engenharia-de-risco,"",linkedin.com/company/nordeste-engenharia-de-risco,"",nordeste engenharia de risco,"",51-200,nordestevistorias.com.br
brazil,2007,foccus-turismo-e-eventos,"leisure, travel & tourism",linkedin.com/company/foccus-turismo-e-eventos,salvador,foccus turismo e eventos,bahia,1-10,foccusturismo.com.br
brazil,"",pacific-blue,"",linkedin.com/company/pacific-blue,"",pacific blue,"",51-200,pacificblue.com.br
brazil,"",apsserj,"",linkedin.com/company/apsserj,"",apsserj,"",11-50,apsserj.com.br
brazil,2012,sougás-especialista-em-gás-e-aquecedores,mechanical or industrial engineering,linkedin.com/company/sougás-especialista-em-gás-e-aquecedores,"",sougás especialista em gás e aquecedores,"",11-50,sougas.com.br
brazil,"",mudanças-e-guarda-móveis-luzitar-ltda,transportation/trucking/railroad,linkedin.com/company/mudanças-e-guarda-móveis-luzitar-ltda,"",mudanças e guarda móveis luzitar ltda,"",11-50,luzitarmudancas.com.br
brazil,"",textil-nuovo-maggiore-ltda,textiles,linkedin.com/company/textil-nuovo-maggiore-ltda,"",textil nuovo maggiore ltda,"",11-50,tapetesmaggiore.com.br
brazil,2015,era-consultoria-ambiental,environmental services,linkedin.com/company/era-consultoria-ambiental,curitiba,era consultoria ambiental,parana,1-10,eraambiente.com.br
brazil,1984,porto-freire-engenharia,construction,linkedin.com/company/porto-freire-engenharia,"",porto freire engenharia,ceará,501-1000,portofreire.com.br
brazil,"",gesso-integral,"",linkedin.com/company/gesso-integral,"",gesso integral,"",11-50,gessointegral.com.br
brazil,"",mixfarma,"",linkedin.com/company/mixfarma,"",mixfarma,"",51-200,mixfarma.com.br
brazil,1991,geeks-b15,information technology and services,linkedin.com/company/geeks-b15,ribeirão preto,geeks sistemas para gestão,sao paulo,11-50,geekssistemas.com.br
brazil,"",sabores-do-sul-adega-&-emporium,retail,linkedin.com/company/sabores-do-sul-adega-&-emporium,sinop,sabores do sul adega & emporium,mato grosso,1-10,""
brazil,"",gc-bio-grupo-de-controle-biológico-em-doenças-de-plantas,farming,linkedin.com/company/gc-bio-grupo-de-controle-biológico-em-doenças-de-plantas,lavras,gc-bio (grupo de controle biológico em doenças de plantas),minas gerais,11-50,""
brazil,2015,oceanidealimentos,import and export,linkedin.com/company/oceanidealimentos,"",oceanide,sao paulo,1-10,""
brazil,"",ourofinoshop,building materials,linkedin.com/company/ourofinoshop,ribeirao pires,ouro fino shop,sao paulo,1-10,ourofinoshop.com.br
brazil,"",agicam-comercio-de-moldes-e-ferramentas,business supplies and equipment,linkedin.com/company/agicam-comercio-de-moldes-e-ferramentas,sao bernardo do campo,agicam comercio de moldes e ferramentas,sao paulo,11-50,agicam.com.br
brazil,"",companhia-da-luz-locacao-de-equipamentos,consumer services,linkedin.com/company/companhia-da-luz-locacao-de-equipamentos,rio de janeiro,companhia da luz locacao de equipamentos,rio de janeiro,11-50,companhiadaluz.com.br
brazil,2007,carpsi,human resources,linkedin.com/company/carpsi,"",carpsi,"",1-10,carpsi.com.br
brazil,"",primeiro-plantão,"health, wellness and fitness",linkedin.com/company/primeiro-plantão,"",primeiro plantão,santa catarina,1-10,primeiroplantao.com
brazil,2014,pereira-e-avelar-engenharia-e-consultoria-ltda,civil engineering,linkedin.com/company/pereira-e-avelar-engenharia-e-consultoria-ltda,"",pereira e avelar engenharia e consultoria ltda,"",1-10,""
brazil,2013,effizienz-excelencia-empresarial,management consulting,linkedin.com/company/effizienz-excelencia-empresarial,"",effizienz excelência empresarial,santa catarina,1-10,effizienz.com.br
brazil,2013,mechanicad-engenharia-e-projetos,mechanical or industrial engineering,linkedin.com/company/mechanicad-engenharia-e-projetos,uberlândia,mecanicad engenharia e projetos,minas gerais,1-10,""
brazil,2017,odontomat-produtos-odontológicos,medical devices,linkedin.com/company/odontomat-produtos-odontológicos,americana,odontomat produtos odontológicos,sao paulo,1-10,odontomat.com.br
brazil,"",holma-software,retail,linkedin.com/company/holma-software,marau,holma software,rio grande do sul,1-10,holma.com.br
brazil,2008,gramaglia-gonzález-architecture,architecture & planning,linkedin.com/company/gramaglia-gonzález-architecture,nova lima,gramaglia gonzález  architecture,minas gerais,1-10,gramagliagonzalez.com
brazil,"",redboneuva,research,linkedin.com/company/redboneuva,rio de janeiro,redbone uvabots,rio de janeiro,51-200,redbone.net.br
brazil,"",mercearia-do-animal-comercio-de-racoes,retail,linkedin.com/company/mercearia-do-animal-comercio-de-racoes,sao paulo,mercearia do animal comercio de racoes,sao paulo,11-50,merceariadoanimal.com.br
brazil,2016,simples-business-design,marketing and advertising,linkedin.com/company/simples-business-design,porto alegre,simples | inteligência em negócios,rio grande do sul,1-10,somossimples.com.br
brazil,2016,vilareal-consultoria-e-gestão-empresarial-ltda,management consulting,linkedin.com/company/vilareal-consultoria-e-gestão-empresarial-ltda,"",vilareal consultoria e gestão empresarial ltda,"",1-10,vilarealconsultoria.com.br
brazil,1971,unimed-grande-florianopolis,"health, wellness and fitness",linkedin.com/company/unimed-grande-florianopolis,"",unimed grande florianopolis,santa catarina,1001-5000,unimedflorianopolis.com.br
brazil,2017,conscientizarme,professional training & coaching,linkedin.com/company/conscientizarme,goiania,conscientizarme,goias,1-10,conscientizarme.com.br
brazil,"",elfensaneantes,chemicals,linkedin.com/company/elfensaneantes,mogi mirim,elfen saneantes e cosméticos,sao paulo,11-50,elfen.com.br
brazil,2018,seedsofscience,research,linkedin.com/company/seedsofscience,belo horizonte,sowing the seeds of science,minas gerais,1-10,""
brazil,"",pax-clinica-psiquiatrica,hospital & health care,linkedin.com/company/pax-clinica-psiquiatrica,aparecida de goiania,pax clinica psiquiatrica,goias,51-200,paxclinica.com.br
brazil,"",une-comunicacao,marketing and advertising,linkedin.com/company/une-comunicacao,presidente prudente,une comunicação,sao paulo,1-10,unecomunicacao.com
brazil,2008,plenodh,human resources,linkedin.com/company/plenodh,macae,pleno desenvolvimento humano,rio de janeiro,1-10,plenodh.com.br
brazil,2009,tesarac-cliente-oculto-consultoria-e-treinamento-ltda,management consulting,linkedin.com/company/tesarac-cliente-oculto-consultoria-e-treinamento-ltda,"",tesarac cliente oculto consultoria e treinamento ltda,"",1-10,tesarac.com.br
brazil,2017,invistacriptomoedas,internet,linkedin.com/company/invistacriptomoedas,belo horizonte,invista criptomoedas,minas gerais,1-10,invistacriptomoedas.com.br
brazil,2013,hantex-ltd,consumer goods,linkedin.com/company/hantex-ltd,sao paulo,hantex ltd,sao paulo,11-50,hantex.com.br
brazil,2000,fgadvogados,legal services,linkedin.com/company/fgadvogados,sao paulo,ferreira gomes advogados,sao paulo,1-10,""
brazil,2015,luckenconsultorialtda.,information services,linkedin.com/company/luckenconsultorialtda.,"",lucken consultoria ltda.,"",1-10,lucken.com.br
brazil,"",radio-santa-rosa,"",linkedin.com/company/radio-santa-rosa,"",radio santa rosa,"",51-200,radiosantarosa.com.br
