country,founded,id,industry,linkedin_url,locality,name,region,size,website
bulgaria,2007,basta-ltd-,computer software,linkedin.com/company/basta-ltd-,sofia,basta ltd.,sofia-capital,1-10,basta.bg
bulgaria,"",teda-mm,"",linkedin.com/company/teda-mm,"",teda-mm,"",11-50,teda-mm.com
bulgaria,2010,final-touch_2,construction,linkedin.com/company/final-touch_2,"",final touch,"",1-10,ft-bg.com
bulgaria,2006,rikaz-global-llc,staffing and recruiting,linkedin.com/company/rikaz-global-llc,"",www.bizjob.biz,"",11-50,bizjob.biz
bulgaria,"",gmbg-consult-eood,electrical/electronic manufacturing,linkedin.com/company/gmbg-consult-eood,"",gmbg-consult eood,"",1-10,gm-consult.at
bulgaria,"",geotrade-ivanov-ltd-,"",linkedin.com/company/geotrade-ivanov-ltd-,"",geotrade-ivanov ltd.,"",1-10,geotrade.bg
bulgaria,2008,armicomm-ltd.,marketing and advertising,linkedin.com/company/armicomm-ltd.,sofia,"armicomm, ltd.",sofia-capital,1-10,armicomm.com
bulgaria,2010,flystart-media,information technology and services,linkedin.com/company/flystart-media,"",flystart media,sofia,1-10,flystartmedia.bg
bulgaria,2013,digimouse-ltd,internet,linkedin.com/company/digimouse-ltd,blagoevgrad,digimouse ltd,blagoevgrad,1-10,digimouse.eu
bulgaria,1978,hotel-casino-cherno-more,hospitality,linkedin.com/company/hotel-casino-cherno-more,"","hotel & casino "cherno more"​",varna,201-500,chernomorebg.com
bulgaria,2011,wind-and-water,maritime,linkedin.com/company/wind-and-water,"",wind and water,sofia,1-10,vetrohodstvo.com
bulgaria,2007,edlanta--higher-education-abroad,education management,linkedin.com/company/edlanta--higher-education-abroad,"",edlanta - education abroad,sofia,11-50,edlanta.com
bulgaria,"",georgieva&partners,law practice,linkedin.com/company/georgieva&partners,"",georgieva&partners,"",1-10,georgievapartners.com
bulgaria,2004,cig-bulgaria-ltd-www.cigbg.com-,accounting,linkedin.com/company/cig-bulgaria-ltd-www.cigbg.com-,"",cig bulgaria ltd (www.cigbg.com),sofia,1-10,cigbg.com
