country,founded,id,industry,linkedin_url,locality,name,region,size,website
cambodia,2012,phnom-penh-bg-serviced-office,facilities services,linkedin.com/company/phnom-penh-bg-serviced-office,"",phnom penh bg serviced office,phnom penh,1-10,bgservicedoffice.com
cambodia,2014,i-finance-leasing,financial services,linkedin.com/company/i-finance-leasing,phnom penh,i-finance leasing,phnom penh,51-200,ifinanceplc.com
cambodia,2015,joonaak-co.-ltd,logistics and supply chain,linkedin.com/company/joonaak-co.-ltd,phnom penh,"joonaak delivery co., ltd",phnom penh,11-50,joonaak.com
cambodia,2013,mudra-angkor-boutique-hotel,hospitality,linkedin.com/company/mudra-angkor-boutique-hotel,"",mudra angkor boutique hotel,siem reap,1-10,mudraangkorhotel.com
cambodia,2019,upbringinghub,non-profit organization management,linkedin.com/company/upbringinghub,phnom penh,upbringinghub,phnom penh,1-10,upbringinghub.com
cambodia,"",modernity-holding-company-limited,venture capital & private equity,linkedin.com/company/modernity-holding-company-limited,phnom penh,modernity holding company limited,phnom penh,11-50,""
cambodia,1997,vbnk---an-institute-to-serve-facilitators-of-development,non-profit organization management,linkedin.com/company/vbnk---an-institute-to-serve-facilitators-of-development,phnom penh,vbnk - an institute to serve facilitators of development,phnom penh,11-50,vbnk.org
cambodia,2008,beyond-interiors,design,linkedin.com/company/beyond-interiors,"",beyond interiors,phnom penh,51-200,beyondinteriors.biz
cambodia,2002,angkor-w-group-of-restaurants,restaurants,linkedin.com/company/angkor-w-group-of-restaurants,"",angkor w group of restaurants,siem reap,201-500,restaurant-siemreap.com
cambodia,2008,smile-minimarts,retail,linkedin.com/company/smile-minimarts,phnum penh,smile mini marts,phnom penh,51-200,smileminimart.com
cambodia,"",v-two-k-trading,construction,linkedin.com/company/v-two-k-trading,phnom penh,v-two k trading,phnom penh,1-10,vtwoktrading.com
cambodia,2012,mulberry-boutique-hotel,hospitality,linkedin.com/company/mulberry-boutique-hotel,"",mulberry boutique hotel,siem reap,11-50,mulberry-boutiquehotel.com
cambodia,2012,mickaël-berteloot,photography,linkedin.com/company/mickaël-berteloot,"",mickaël berteloot photographie,phnom penh,1-10,mikeisfree.net
cambodia,"",bvmpetroleum,oil & energy,linkedin.com/company/bvmpetroleum,"","bright victory mekong petroleum import export co.,ltd",phnom penh,51-200,bvmpetroleum.com
cambodia,"",lees-food-services-ltd,food & beverages,linkedin.com/company/lees-food-services-ltd,"",lees food service ltd,phnom penh,51-200,""
cambodia,2005,apsara-holiday-hotel-siem-reap-angkor,hospitality,linkedin.com/company/apsara-holiday-hotel-siem-reap-angkor,"",apsara holiday hotel siem reap angkor,siem reap,51-200,apsaraholiday.com
cambodia,2015,ratanakiri-boutique-hotel,hospitality,linkedin.com/company/ratanakiri-boutique-hotel,"",ratanakiri-boutique hotel,ratanakiri,11-50,ratanakiri-boutiquehotel.com
cambodia,2020,chhayvann-co-ltd,human resources,linkedin.com/company/chhayvann-co-ltd,phnom penh,"chhayvann co.,ltd",phnom penh,1-10,""
cambodia,1981,aide-et-action-southeast-asia-china,non-profit organization management,linkedin.com/company/aide-et-action-southeast-asia-china,phnom penh,aide et action southeast asia & china,phnom penh,51-200,""
cambodia,1994,hattha-kaksekar-limited,financial services,linkedin.com/company/hattha-kaksekar-limited,phnum penh,hattha kaksekar limited,phnom penh,201-500,""
cambodia,"",rumdul,real estate,linkedin.com/company/rumdul,"",rumdul,phnom penh,11-50,""
cambodia,1996,cambodian-library-association,libraries,linkedin.com/company/cambodian-library-association,"",cambodian library association,phnom penh,51-200,cambodianlibrary.org
cambodia,2008,borama,computer software,linkedin.com/company/borama,"",borama consulting,"",51-200,borama.consulting
cambodia,2004,manich-enterprise,information technology and services,linkedin.com/company/manich-enterprise,"",manich enterprise,"",11-50,manich.asia
cambodia,2011,eurocham-cambodia,non-profit organization management,linkedin.com/company/eurocham-cambodia,phnom penh,eurocham cambodia,phnom penh,11-50,eurocham-cambodia.org
