country,founded,id,industry,linkedin_url,locality,name,region,size,website
canada,2017,national-organization-on-aging-and-longevity,public policy,linkedin.com/company/national-organization-on-aging-and-longevity,toronto,national organization on aging and longevity,ontario,1-10,noal.ca
canada,2020,jc-avocate,legal services,linkedin.com/company/jc-avocate,montréal,"lecours, hébert avocats inc.",quebec,1-10,lecourshebert.com
canada,2010,wai-products-ltd-,retail,linkedin.com/company/wai-products-ltd-,haliburton,wai products ltd.,ontario,1-10,waiproducts.com
canada,2002,aesp-inc.,mechanical or industrial engineering,linkedin.com/company/aesp-inc.,"",aesp inc.,"",11-50,aesp.ca
canada,2007,ambient-interiors,furniture,linkedin.com/company/ambient-interiors,vancouver,ambient / kitchens. bathrooms. interiors.,british columbia,1-10,ambientshowroom.com
canada,"",kelowna-yoga,"health, wellness and fitness",linkedin.com/company/kelowna-yoga,kelowna,kelowna yoga,british columbia,1-10,kelowna-yoga.ca
canada,2016,brightmarkinc,information technology and services,linkedin.com/company/brightmarkinc,markham,brightmark - salesforce consulting for financial services,ontario,11-50,brightmark.ca
canada,2009,why-not-apparel-inc.,apparel & fashion,linkedin.com/company/why-not-apparel-inc.,vancouver,why not apparel inc.,british columbia,1-10,""
canada,2015,cloudadvisors.ca,information technology and services,linkedin.com/company/cloudadvisors.ca,vancouver,cloudadvisors.ca,british columbia,1-10,""
canada,2015,humanisrx,hospital & health care,linkedin.com/company/humanisrx,markham,humanisrx,ontario,1-10,humanisrx.ca
canada,2013,ezmanip-solutions,biotechnology,linkedin.com/company/ezmanip-solutions,milton,ezmanip solutions,ontario,1-10,ezmanip.com
canada,2005,is-event-solutions,events services,linkedin.com/company/is-event-solutions,montréal,is event solutions,quebec,1-10,iseventsolutions.com
canada,2010,champion-gym-canada,"health, wellness and fitness",linkedin.com/company/champion-gym-canada,grande prairie,champion gym canada,alberta,1-10,championgym.ca
canada,2007,dumont-nickel,mining & metals,linkedin.com/company/dumont-nickel,amos,dumont nickel,quebec,1-10,""
canada,1994,therrien-couture-avocats-s-e-n-c-r-l-,law practice,linkedin.com/company/therrien-couture-avocats-s-e-n-c-r-l-,"",therrien couture avocats s.e.n.c.r.l.,"",51-200,therriencouture.com
canada,"",red-apple-marketing-international-inc.,telecommunications,linkedin.com/company/red-apple-marketing-international-inc.,"",red apple marketing international inc.,"",1001-5000,""
canada,2015,hub-town-brewing-company-inc,consumer goods,linkedin.com/company/hub-town-brewing-company-inc,okotoks,hub town brewing company inc.,alberta,1-10,hubtownbrewing.com
canada,2017,schemazone,management consulting,linkedin.com/company/schemazone,toronto,schemazone,ontario,11-50,schemazone.com
canada,1996,gascom---impression,graphic design,linkedin.com/company/gascom---impression,drummondville,gascom - solutions d'impression,quebec,1-10,gascom.ca
canada,2000,west-end-driving-school,consumer services,linkedin.com/company/west-end-driving-school,vancouver,west end driving school,british columbia,1-10,westenddrivingschool.com
canada,1977,cargill-limited-prairie-malt,food production,linkedin.com/company/cargill-limited-prairie-malt,biggar,cargill limited-prairie malt,saskatchewan,51-200,""
