country,founded,id,industry,linkedin_url,locality,name,region,size,website
chile,"",comercializadora-distribuidora-y-servicios-comdiser-s-a,investment banking,linkedin.com/company/comercializadora-distribuidora-y-servicios-comdiser-s-a,temuco,comercializadora distribuidora y servicios comdiser s a,araucania,1-10,""
chile,1992,servicios-portuarios-reloncavi-ltda.,logistics and supply chain,linkedin.com/company/servicios-portuarios-reloncavi-ltda.,puerto montt,servicios portuarios reloncavi ltda.,los lagos region,501-1000,reloncavi.cl
chile,"",restorantes-vanessa-ayllen-asociados-ltda,internet,linkedin.com/company/restorantes-vanessa-ayllen-asociados-ltda,viña del mar,restorantes vanessa ayllen asociados ltda,valparaiso,11-50,""
chile,"",construcciones-teknos-limitada,construction,linkedin.com/company/construcciones-teknos-limitada,"",construcciones teknos limitada,"",1-10,""
chile,2017,zion-up,marketing and advertising,linkedin.com/company/zion-up,viña del mar,zion up,valparaiso,1-10,zionup.cl
chile,2007,la-familia,marketing and advertising,linkedin.com/company/la-familia,santiago,la familia,santiago metropolitan,51-200,la-familia.cl
chile,2020,kellun-app,information technology and services,linkedin.com/company/kellun-app,las condes,kellun app,region metropolitana,1-10,kellun.org
chile,"",talynet-net,internet,linkedin.com/company/talynet-net,santiago,talynet.net,santiago metropolitan,1-10,talynet.net
chile,"",producciones-internacionales-sociedad-anonima,music,linkedin.com/company/producciones-internacionales-sociedad-anonima,santiago,producciones internacionales sociedad anonima,santiago metropolitan,1-10,""
chile,"",servicios-de-fumigacion-sin-plaga-ltda,veterinary,linkedin.com/company/servicios-de-fumigacion-sin-plaga-ltda,la cisterna,servicios de fumigacion sin plaga ltda,santiago metropolitan,1-10,fumigacionchile.cl
chile,2014,dell´oro-abogados,law practice,linkedin.com/company/dell´oro-abogados,san antonio,dell´oro abogados,valparaiso,11-50,delloroabogados.cl
chile,"",grupo-trust-chile,"",linkedin.com/company/grupo-trust-chile,concepcion,grupo trust chile,bio-bio,1-10,""
chile,"",alcaman-ltda.,machinery,linkedin.com/company/alcaman-ltda.,santiago,alcaman ltda.,santiago metropolitan,11-50,alcaman.cl
chile,2012,cusicanqui-films,motion pictures and film,linkedin.com/company/cusicanqui-films,"",cusicanqui films,"",1-10,cusicanquifilms.cl
chile,2017,ib-consultora-legal,law practice,linkedin.com/company/ib-consultora-legal,las condes,ib consultora legal,region metropolitana,1-10,ibconsultoralegal.cl
chile,2015,bullit,internet,linkedin.com/company/bullit,las condes,bullit,region metropolitana,11-50,bullit.me
chile,2013,implementa-ingeniería-y-construcciones-spa,construction,linkedin.com/company/implementa-ingeniería-y-construcciones-spa,"",implementa ingeniería y construcciones spa,"",11-50,implementaspa.cl
chile,"",soc-o-g-m-mecanica-integral-sociedad-anonima,machinery,linkedin.com/company/soc-o-g-m-mecanica-integral-sociedad-anonima,san bernardo,soc o g m mecanica integral sociedad anonima,santiago metropolitan,1-10,""
chile,2010,recmobil,entertainment,linkedin.com/company/recmobil,"",recmobil,"",1-10,recmobil.cl
chile,2018,cuenca-sostenible,civic & social organization,linkedin.com/company/cuenca-sostenible,los lagos,cuenca sostenible,los ríos region,1-10,""
