country,founded,id,industry,linkedin_url,locality,name,region,size,website
china,2008,qingdao-qingflex-hose-factory,international trade and development,linkedin.com/company/qingdao-qingflex-hose-factory,qingdao,qingdao qingflex hose factory,shandong,201-500,qingflex.cn
china,2004,上海顺舟智能科技股份有限公司,electrical/electronic manufacturing,linkedin.com/company/上海顺舟智能科技股份有限公司,"","","",201-500,shuncom.com
china,"",山东帝豪,"",linkedin.com/company/山东帝豪,"","","",1-10,sddhauto.com
china,2015,juneng,investment management,linkedin.com/company/juneng,shenzhen,juneng,guangdong,51-200,junengpower.net
china,2015,rail-international,transportation/trucking/railroad,linkedin.com/company/rail-international,"",crrc corporation limited,beijing,10001+,""
china,"",paradu,"",linkedin.com/company/paradu,"",paradu,"",11-50,paradubaby.com
china,2013,blackcelltech,consumer electronics,linkedin.com/company/blackcelltech,shenzhen,blackcelltech,guangdong,11-50,blackcelltech.com
china,"",厦门易维信息技术有限公司,"",linkedin.com/company/厦门易维信息技术有限公司,"","","",51-200,ewayteam.com
china,"",华信财富（北京）资产管理有限公司,"",linkedin.com/company/华信财富（北京）资产管理有限公司,"","hasun asset (beijing) management co.,ltd","",11-50,hasunasset.com
china,"",taizhou-huangyan-solidco-mould-co-ltd,"",linkedin.com/company/taizhou-huangyan-solidco-mould-co-ltd,"",taizhou huangyan solidco mould co. ltd,"",11-50,solidcomould.com
china,2010,乐天创研,information technology and services,linkedin.com/company/乐天创研,shanghai,（rakuten group）乐天创研（北京）科技有限公司,shanghai,11-50,""
china,2014,misero-biotechnology-co-ltd,cosmetics,linkedin.com/company/misero-biotechnology-co-ltd,xiamen,"misero biotechnology co., ltd.",fujian,51-200,miserobiotech.com
china,2009,h&w-international-electronics-limited,electrical/electronic manufacturing,linkedin.com/company/h&w-international-electronics-limited,shenzhen,"h&w internationals electronics （hk）co,.ltd",guangdong,201-500,hw-electronic.com
china,"",雪佛兰,"",linkedin.com/company/雪佛兰,"","","",501-1000,chevrolet.com.cn
china,"",hyoung-carbon-fiber-products-co-ltd,sporting goods,linkedin.com/company/hyoung-carbon-fiber-products-co-ltd,"","hyoung carbon fiber products co., ltd","",51-200,hyoungcarbon.com
china,"",37-interactive-entertainment-shanghai-technology-co.-ltd.,computer software,linkedin.com/company/37-interactive-entertainment-shanghai-technology-co.-ltd.,"","37 interactive entertainment (shanghai) technology co., ltd.",shanghai,11-50,37entertainment.net
china,2006,silent-ocean-limited,logistics and supply chain,linkedin.com/company/silent-ocean-limited,"",silent ocean limited,"",11-50,silentoceanlimited.com
china,2015,北京-一体跨界集团,marketing and advertising,linkedin.com/company/北京-一体跨界集团,"","","",11-50,yitikuajie.com
china,1946,weichai-power,machinery,linkedin.com/company/weichai-power,weifang,"weichai power co., ltd",shandong,10001+,weichai.com
china,2014,oyesee,security and investigations,linkedin.com/company/oyesee,guangzhou,oyesee security limited,guangdong,51-200,oyesee.com
china,"",宜宾市商业银行,"",linkedin.com/company/宜宾市商业银行,"","yibin city commercial bank, ltd.","",51-200,ybccb.com
china,2010,beijing-create-saga-technology-co-ltd,marketing and advertising,linkedin.com/company/beijing-create-saga-technology-co-ltd,"","beijing create saga technology co., ltd","",11-50,createsaga.com
china,"",自然堂,"",linkedin.com/company/自然堂,"","","",501-1000,chcedo.com
china,"",北方通用动力集团有限公司,"",linkedin.com/company/北方通用动力集团有限公司,"","","",51-200,ngpg.net
china,1998,blmudpump,oil & energy,linkedin.com/company/blmudpump,botou,botou bolu petroleum machinery factory,hebei,51-200,blmudpump.com
china,"",wuhan-jiacheng-biotechnology-co-ltd,hospital & health care,linkedin.com/company/wuhan-jiacheng-biotechnology-co-ltd,wuhan,"wuhan jiacheng biotechnology co,ltd",hubei,201-500,jcbio.com
china,"",infinity-for-trading-limited,"",linkedin.com/company/infinity-for-trading-limited,"",infinity for trading limited,"",1-10,infinitytrading.com
china,2000,tiajin-kelioil-engineering-material-technology,oil & energy,linkedin.com/company/tiajin-kelioil-engineering-material-technology,tianjin,"tianjin kelioil engineering material and technology co.,ltd",tianjin,51-200,kelioil.com
china,2012,hunting-able,staffing and recruiting,linkedin.com/company/hunting-able,jiang,hunting able,qinghai,11-50,huntingable.com
china,"",citysportwear-company,"",linkedin.com/company/citysportwear-company,"",citysportwear company,"",1-10,citysportwear.com
china,2018,北京新学说文化传媒有限公司,education management,linkedin.com/company/北京新学说文化传媒有限公司,"",global education solutions,"",11-50,xinxueshuo.cn
china,"",dongguan-shenglian-filter-manufacturing-co.-ltd.,"",linkedin.com/company/dongguan-shenglian-filter-manufacturing-co.-ltd.,sheng,"dongguan shenglian filter manufacturing co., ltd.",xizang,51-200,""
