country,founded,id,industry,linkedin_url,locality,name,region,size,website
colombia,2013,studioweb-&-marketing-s-a-s-,program development,linkedin.com/company/studioweb-&-marketing-s-a-s-,medellín,studioweb & marketing s.a.s.,antioquia,1-10,swm.com.co
colombia,2005,corporaci-n-tecnnova,management consulting,linkedin.com/company/corporaci-n-tecnnova,medellín,corporación tecnnova,antioquia,11-50,tecnnova.org
colombia,2007,sequoia-space,aviation & aerospace,linkedin.com/company/sequoia-space,"",sequoia space,cundinamarca,1-10,sequoiaspace.com
colombia,2019,evool,mental health care,linkedin.com/company/evool,"",evool,cundinamarca,1-10,evool.co
colombia,2012,yertx,telecommunications,linkedin.com/company/yertx,bogota,yertx,distrito especial,1-10,yertx.com
colombia,2017,gpr-consulting-legal,legal services,linkedin.com/company/gpr-consulting-legal,"",gpr consulting,bogota d.c.,1-10,gprconsult.com
colombia,"",scl-schwyn-cargo-logistics-s.a.,logistics and supply chain,linkedin.com/company/scl-schwyn-cargo-logistics-s.a.,"",scl schwyn cargo logistics s.a.,"",11-50,""
colombia,2012,arrobatecno,program development,linkedin.com/company/arrobatecno,medellín,arrobatecno,antioquia,11-50,arrobatecno.com
colombia,"",hospital-local-de-aguachica,"",linkedin.com/company/hospital-local-de-aguachica,"",hospital local de aguachica,"",51-200,hospitallocalaguachica.gov.co
colombia,2014,honesto-café,food & beverages,linkedin.com/company/honesto-café,medellin,honesto café,antioquia,1-10,honestocafe.com
colombia,1992,renal-medical-marketing-limitada,medical devices,linkedin.com/company/renal-medical-marketing-limitada,cota,renal medical marketing limitada,cundinamarca,51-200,renal-medical.com
colombia,2013,coromandel-sas,management consulting,linkedin.com/company/coromandel-sas,"",coromandel sas,bogota d.c.,1-10,coromandel.co
colombia,2013,naventura,"leisure, travel & tourism",linkedin.com/company/naventura,paicol,naventura,huila,1-10,naventura.co
colombia,2014,chef®-company,marketing and advertising,linkedin.com/company/chef®-company,envigado,chef® company,antioquia,51-200,chefcompany.co
colombia,2014,progresa,marketing and advertising,linkedin.com/company/progresa,pereira,progresa,risaralda,51-200,progresa.com.co
colombia,"",renoboy,"",linkedin.com/company/renoboy,"",renoboy,"",11-50,renoboy.com
colombia,2011,animalista,design,linkedin.com/company/animalista,medellín,animalista s.a.s,antioquia,11-50,animalista.com.co
colombia,2012,xquadracolombia,mining & metals,linkedin.com/company/xquadracolombia,medellín,xquadra colombia,antioquia,11-50,xquadra.co
colombia,2006,eiso-digital,information technology and services,linkedin.com/company/eiso-digital,cali,eiso - estrategia e innovación en soluciones web,valle del cauca,11-50,eiso.co
colombia,2001,ecoba-o-ltda,environmental services,linkedin.com/company/ecoba-o-ltda,"",ecobaño ltda,bogota d.c.,11-50,ecobano.com.co
colombia,"",velnec,"",linkedin.com/company/velnec,"",velnec,"",11-50,""
colombia,1992,industrias-wasvelt,machinery,linkedin.com/company/industrias-wasvelt,mosquera,industrias wasvelt,cundinamarca,51-200,wasvelt.com
colombia,2014,epmis-sas,professional training & coaching,linkedin.com/company/epmis-sas,neiva,epmis,huila,1-10,epmis.co
colombia,2010,goodleds,wholesale,linkedin.com/company/goodleds,"",goodleds,cundinamarca,1-10,goodleds.com
colombia,"",lab-siegfried,"",linkedin.com/company/lab-siegfried,"",lab. siegfried,"",11-50,""
colombia,"",yo-soy-hosting,information technology and services,linkedin.com/company/yo-soy-hosting,cali,yo soy hosting,valle del cauca,51-200,yosoyhosting.com
colombia,2017,engitech-llc,telecommunications,linkedin.com/company/engitech-llc,puerto rico,engitech llc,meta,11-50,engitechpr.com
colombia,"",intercontactcenter,"",linkedin.com/company/intercontactcenter,"",intercontactcenter,"",51-200,intercontactcenter.com
colombia,2012,seleectu,staffing and recruiting,linkedin.com/company/seleectu,"",seleectu,cundinamarca,1-10,seleectu.com
colombia,2010,life-plan,venture capital & private equity,linkedin.com/company/life-plan,"",life plan,"",1-10,lifeplan.com.co
colombia,"",asociaci-n-r-o-cali-asoriocali,environmental services,linkedin.com/company/asociaci-n-r-o-cali-asoriocali,cali,asociación río cali-asoriocali,valle del cauca,1-10,""
colombia,"",aire-net,"",linkedin.com/company/aire-net,"",aire net,"",11-50,airenet.com.co
colombia,2011,experia-marketing-de-experiencias,marketing and advertising,linkedin.com/company/experia-marketing-de-experiencias,envigado,experia • marketing de experiencias,antioquia,1-10,experia.com.co
colombia,2003,ugaturismo,"leisure, travel & tourism",linkedin.com/company/ugaturismo,bogota,uga turismo,distrito especial,11-50,ugaturismo.com
colombia,2013,webmisferio-com,program development,linkedin.com/company/webmisferio-com,tunja,webmisferio.com,boyaca,1-10,webmisferio.com
colombia,"",noova-negocios-electrónicos,information technology and services,linkedin.com/company/noova-negocios-electrónicos,"",noova negocios electrónicos,bogota d.c.,11-50,noova.com.co
colombia,2016,doulos-colombia,management consulting,linkedin.com/company/doulos-colombia,"",doulos colombia s.a.s.,bogota d.c.,1-10,douloscolombia.com
colombia,1995,homesentry,retail,linkedin.com/company/homesentry,"",home sentry,bogota d.c.,501-1000,homesentry.co
colombia,2014,biolam-colombia-s-a-s-,environmental services,linkedin.com/company/biolam-colombia-s-a-s-,barranquilla,biolam colombia s.a.s.,atlantico,1-10,biolamcolombia.com
colombia,"",gobernaciòn-del-tolima,government administration,linkedin.com/company/gobernaciòn-del-tolima,"",gobernaciòn del tolima,"",201-500,tolima.gov.co
colombia,1996,ie-grupo,electrical/electronic manufacturing,linkedin.com/company/ie-grupo,"",ie grupo,bogota d.c.,501-1000,iegrupo.co
colombia,2004,office-space-contractors,design,linkedin.com/company/office-space-contractors,puerto rico,office space contractors,meta,11-50,officespacepr.com
colombia,2017,learncryptofast,e-learning,linkedin.com/company/learncryptofast,medellín,learncryptofast,antioquia,1-10,learncryptofast.com
colombia,2017,genes-tech,computer software,linkedin.com/company/genes-tech,"",genesis tech,cundinamarca,1-10,genesistech.co
colombia,"",banco-agrario-de-colombia,graphic design,linkedin.com/company/banco-agrario-de-colombia,"",banco agrario de colombia,"",1001-5000,bancoagrario.gov.co
colombia,2002,ci-inversiones-derca-sas,defense & space,linkedin.com/company/ci-inversiones-derca-sas,"",ci inversiones derca sas,cundinamarca,501-1000,derca.com.co
colombia,"",corte-constitucional,"",linkedin.com/company/corte-constitucional,"",corte constitucional,"",201-500,corteconstitucional.gov.co
colombia,2011,producci-naparte,marketing and advertising,linkedin.com/company/producci-naparte,bogota,produccionaparte,distrito especial,11-50,produccionaparte.com
colombia,"",go-to-gongo,food & beverages,linkedin.com/company/go-to-gongo,"",go to gongo,"",1-10,gotogongo.com
colombia,1992,gradesa-sa-,environmental services,linkedin.com/company/gradesa-sa-,"",gradesa sa.,magdalena,201-500,gradesa.com
colombia,2007,universal-service-s-a-s-,human resources,linkedin.com/company/universal-service-s-a-s-,medellín,universal service s.a.s.,antioquia,501-1000,universalservice.com.co
colombia,"",mauricio-suarez,medical practice,linkedin.com/company/mauricio-suarez,bogota,mauricio suarez,distrito especial,1-10,mauriciosuarezcirugiaestetica.com
colombia,1991,clinicasanfranciscosa,medical devices,linkedin.com/company/clinicasanfranciscosa,tulua,clínica san francisco - tuluá,valle del cauca,501-1000,clinicasanfrancisco.com.co
colombia,1994,atunec-s.a.,food production,linkedin.com/company/atunec-s.a.,barranquilla,atunec s.a.,atlantico,51-200,atunec.com.co
colombia,"",it-management-solutions-ltda,information technology and services,linkedin.com/company/it-management-solutions-ltda,bogota,it management solutions ltda,distrito especial,1-10,""
colombia,"",cayses,telecommunications,linkedin.com/company/cayses,"",cayses,"",1-10,cayses.com
colombia,1988,festival-iberoamericano-de-teatro-de-bogot-,public relations and communications,linkedin.com/company/festival-iberoamericano-de-teatro-de-bogot-,"",festival iberoamericano de teatro de bogotá,"",201-500,festivaldeteatro.com.co
