country,industry,count
united kingdom,accounting,15143
netherlands,government administration,773
chile,machinery,407
italy,computer software,3286
south africa,motion pictures and film,127
canada,political organization,218
italy,legal services,1711
argentina,online media,211
switzerland,consumer electronics,161
qatar,construction,464
turkey,consumer goods,311
jersey,computer software,14
philippines,utilities,67
switzerland,renewables & environment,626
nicaragua,marketing and advertising,64
mexico,computer & network security,135
mexico,package/freight delivery,118
chile,judiciary,80
ireland,automotive,407
peru,supermarkets,37
armenia,package/freight delivery,6
india,wine and spirits,115
israel,apparel & fashion,65
south africa,airlines/aviation,163
myanmar,hospitality,69
ecuador,facilities services,27
slovenia,arts and crafts,25
canada,libraries,156
serbia,higher education,50
vietnam,computer networking,32
réunion,accounting,29
greenland,banking,1
slovenia,financial services,98
bulgaria,medical devices,41
taiwan,retail,45
botswana,human resources,15
réunion,events services,4
india,alternative dispute resolution,45
georgia,medical devices,12
seychelles,building materials,1
papua new guinea,design,4
zimbabwe,mechanical or industrial engineering,73
bangladesh,oil & energy,82
andorra,financial services,9
hong kong,hospital & health care,71
andorra,computer & network security,1
morocco,hospital & health care,22
ecuador,public safety,6
uzbekistan,internet,12
azerbaijan,non-profit organization management,29
jordan,semiconductors,1
anguilla,law practice,2
iraq,mining & metals,3
,aviation & aerospace,2723
,"glass, ceramics & concrete",1160
guernsey,,29
india,retail,6115
poland,investment management,176
bulgaria,computer software,515
france,government administration,2960
united arab emirates,luxury goods & jewelry,184
france,civic & social organization,5543
spain,electrical/electronic manufacturing,2212
lithuania,management consulting,120
mexico,libraries,16
united states,think tanks,2571
germany,human resources,1198
singapore,restaurants,112
iran,real estate,41
ecuador,higher education,120
portugal,online media,92
haiti,research,1
french guiana,government administration,9
south africa,civil engineering,522
colombia,events services,197
chile,professional training & coaching,439
nigeria,investment management,131
portugal,executive office,65
thailand,e-learning,35
paraguay,sports,12
senegal,media production,19
malta,human resources,27
italy,tobacco,128
croatia,maritime,61
swaziland,hospitality,8
slovenia,renewables & environment,44
swaziland,financial services,10
trinidad and tobago,luxury goods & jewelry,3
sri lanka,outsourcing/offshoring,49
san marino,international affairs,2
jordan,electrical/electronic manufacturing,62
turkey,computer & network security,203
india,law enforcement,59
qatar,oil & energy,104
chile,ranching,23
lithuania,sporting goods,16
lithuania,hospital & health care,46
vietnam,"health, wellness and fitness",123
tajikistan,education management,4
austria,civic & social organization,61
cayman islands,maritime,3
senegal,printing,12
bahrain,food & beverages,38
senegal,oil & energy,17
iran,luxury goods & jewelry,28
qatar,higher education,14
qatar,banking,19
paraguay,online media,9
