tot,country,filename
335,guernsey,guernsey_free_company_dataset.csv
231,aruba,aruba_free_company_dataset.csv
23449,finland,finland_free_company_dataset.csv
260935,australia,australia_free_company_dataset.csv
17628,greece,greece_free_company_dataset.csv
129,greenland,greenland_free_company_dataset.csv
36218,portugal,portugal_free_company_dataset.csv
14340,israel,israel_free_company_dataset.csv
12672,ukraine,ukraine_free_company_dataset.csv
17466,nigeria,nigeria_free_company_dataset.csv
546,netherlands antilles,netherlands antilles_free_company_dataset.csv
1618,angola,angola_free_company_dataset.csv
15,timor-leste,timor-leste_free_company_dataset.csv
1167,zambia,zambia_free_company_dataset.csv
47,cook islands,cook islands_free_company_dataset.csv
160,seychelles,seychelles_free_company_dataset.csv
510,bermuda,bermuda_free_company_dataset.csv
469,liechtenstein,liechtenstein_free_company_dataset.csv
17,vatican city,vatican city_free_company_dataset.csv
267,kosovo,kosovo_free_company_dataset.csv
560,uzbekistan,uzbekistan_free_company_dataset.csv
144,macau,macau_free_company_dataset.csv
4120,guatemala,guatemala_free_company_dataset.csv
1398,iraq,iraq_free_company_dataset.csv
40235,poland,poland_free_company_dataset.csv
2960,south korea,south korea_free_company_dataset.csv
18231,austria,austria_free_company_dataset.csv
1903,mauritius,mauritius_free_company_dataset.csv
398,fiji,fiji_free_company_dataset.csv
1809,kazakhstan,kazakhstan_free_company_dataset.csv
1242,nicaragua,nicaragua_free_company_dataset.csv
2857,kuwait,kuwait_free_company_dataset.csv
72,turkmenistan,turkmenistan_free_company_dataset.csv
57,anguilla,anguilla_free_company_dataset.csv
705,saint lucia,saint lucia_free_company_dataset.csv
100,niger,niger_free_company_dataset.csv
1464,albania,albania_free_company_dataset.csv
562,gibraltar,gibraltar_free_company_dataset.csv
303,mali,mali_free_company_dataset.csv
131,guam,guam_free_company_dataset.csv
2183,malta,malta_free_company_dataset.csv
1909,bosnia and herzegovina,bosnia and herzegovina_free_company_dataset.csv
8627,morocco,morocco_free_company_dataset.csv
5558,lebanon,lebanon_free_company_dataset.csv
13474,japan,japan_free_company_dataset.csv
32402,new zealand,new zealand_free_company_dataset.csv
56687,switzerland,switzerland_free_company_dataset.csv
822,moldova,moldova_free_company_dataset.csv
5190,luxembourg,luxembourg_free_company_dataset.csv
673,rwanda,rwanda_free_company_dataset.csv
10001,thailand,thailand_free_company_dataset.csv
34763,colombia,colombia_free_company_dataset.csv
383529,india,india_free_company_dataset.csv
4742,jordan,jordan_free_company_dataset.csv
28,micronesia,micronesia_free_company_dataset.csv
4938,tunisia,tunisia_free_company_dataset.csv
5338,costa rica,costa rica_free_company_dataset.csv
2469,bolivia,bolivia_free_company_dataset.csv
2292,tanzania,tanzania_free_company_dataset.csv
1946,myanmar,myanmar_free_company_dataset.csv
1656,ivory coast,ivory coast_free_company_dataset.csv
22447,czechia,czechia_free_company_dataset.csv
572,martinique,martinique_free_company_dataset.csv
301,guinea,guinea_free_company_dataset.csv
100,tajikistan,tajikistan_free_company_dataset.csv
59992,sweden,sweden_free_company_dataset.csv
1138,puerto rico,puerto rico_free_company_dataset.csv
18,svalbard and jan mayen,svalbard and jan mayen_free_company_dataset.csv
359,cayman islands,cayman islands_free_company_dataset.csv
39,mayotte,mayotte_free_company_dataset.csv
1080,trinidad and tobago,trinidad and tobago_free_company_dataset.csv
37520,indonesia,indonesia_free_company_dataset.csv
117,lesotho,lesotho_free_company_dataset.csv
1925,belarus,belarus_free_company_dataset.csv
4,falkland islands,falkland islands_free_company_dataset.csv
68658,south africa,south africa_free_company_dataset.csv
178,sierra leone,sierra leone_free_company_dataset.csv
2394,bahrain,bahrain_free_company_dataset.csv
3,saint martin,saint martin_free_company_dataset.csv
4274,ghana,ghana_free_company_dataset.csv
6381,serbia,serbia_free_company_dataset.csv
121,gambia,gambia_free_company_dataset.csv
11,antarctica,antarctica_free_company_dataset.csv
305508,brazil,brazil_free_company_dataset.csv
194,faroe islands,faroe islands_free_company_dataset.csv
58,åland islands,åland islands_free_company_dataset.csv
1766,jamaica,jamaica_free_company_dataset.csv
