founded,industry,count
1001,events services,1
1001,utilities,1
1002,publishing,1
1002,retail,1
1004,events services,1
1004,professional training & coaching,1
1004,staffing and recruiting,1
1004,sports,1
1004,"health, wellness and fitness",1
1005,government administration,1
1005,marketing and advertising,1
1005,information technology and services,1
1006,printing,1
1007,accounting,1
1008,financial services,1
1009,broadcast media,1
1009,market research,1
1009,public policy,1
1009,publishing,1
1009,capital markets,1
1010,utilities,1
1010,translation and localization,1
1011,professional training & coaching,1
1011,government administration,1
1012,real estate,1
1012,e-learning,1
1012,human resources,1
1012,mechanical or industrial engineering,1
1012,information services,1
1012,internet,1
1012,broadcast media,1
1012,design,1
1012,performing arts,1
1013,internet,1
1013,"leisure, travel & tourism",1
1013,public relations and communications,1
1013,human resources,1
1013,law practice,1
1014,"health, wellness and fitness",1
1014,marketing and advertising,1
1014,information technology and services,1
1014,utilities,1
1014,telecommunications,1
1014,professional training & coaching,1
1014,e-learning,1
1015,"leisure, travel & tourism",1
1015,media production,1
1015,mechanical or industrial engineering,1
1016,information technology and services,1
1016,research,1
1016,"leisure, travel & tourism",1
1016,professional training & coaching,1
1017,information technology and services,1
1017,"leisure, travel & tourism",1
1017,marketing and advertising,1
1017,media production,1
1018,computer software,1
1018,logistics and supply chain,1
1018,apparel & fashion,1
1018,non-profit organization management,1
1018,religious institutions,1
1018,"leisure, travel & tourism",1
1019,e-learning,1
1019,marketing and advertising,1
1019,real estate,1
1020,textiles,1
1020,computer & network security,1
1022,non-profit organization management,1
1024,automotive,1
1025,education management,1
1029,automotive,1
1030,education management,1
1030,non-profit organization management,1
1036,government administration,1
1036,building materials,1
1038,transportation/trucking/railroad,1
1040,food & beverages,1
1044,human resources,1
1048,religious institutions,1
1048,civic & social organization,1
1049,government administration,1
1050,religious institutions,1
1056,education management,1
1064,government administration,1
1066,legal services,1
1066,information technology and services,2
1066,museums and institutions,1
1066,public policy,1
1066,entertainment,1
1066,internet,1
1067,government administration,1
1067,hospitality,1
1069,non-profit organization management,1
1070,government administration,1
1070,construction,1
1070,aviation & aerospace,1
1071,real estate,1
1071,religious institutions,1
1072,religious institutions,1
1072,electrical/electronic manufacturing,1
1073,retail,1
1073,non-profit organization management,1
1075,religious institutions,1
1075,non-profit organization management,1
1075,defense & space,1
1077,hospitality,1
1077,government administration,1
1077,museums and institutions,1
1078,non-profit organization management,1
1079,government administration,1
1079,automotive,1
1079,religious institutions,1
1079,construction,1
1079,entertainment,1
1080,apparel & fashion,1
1080,hospitality,1
1080,museums and institutions,1
1081,military,1
1081,retail,1
1082,government administration,1
1082,non-profit organization management,1
1083,government administration,1
1083,"leisure, travel & tourism",1
1083,cosmetics,1
1083,computer software,1
1084,consumer goods,1
1085,government administration,1
1085,primary/secondary education,1
