founded,count
1001,2
1002,2
1004,5
1005,3
1006,1
1007,1
1008,1
1009,5
1010,2
1011,2
1012,9
1013,5
1014,7
1015,3
1016,4
1017,4
1018,6
1019,3
1020,2
1022,1
1024,1
1025,1
1029,1
1030,2
1036,2
1038,1
1040,1
1044,1
1048,2
1049,1
1050,1
1056,1
1064,1
1066,7
1067,2
1069,1
1070,3
1071,2
1072,2
1073,2
1075,3
1077,3
1078,1
1079,5
1080,3
1081,2
1082,2
1083,4
1084,1
1085,4
1086,5
1087,1
1088,4
1090,2
1091,2
1092,2
1093,2
1094,1
1095,1
1096,3
1098,1
1099,3
1100,7
1101,1
1102,1
1103,1
1104,1
1108,1
1110,1
1111,20
1113,2
1115,1
1118,1
1119,2
1120,3
1121,2
1123,1
1125,2
1128,1
1129,1
1130,1
1134,2
1135,2
1136,4
1140,1
1141,1
1142,1
1143,1
1144,1
1146,1
1147,1
1148,2
1150,2
1155,1
1156,1
1158,1
1159,1
1160,2
1163,1
1170,1
1172,1
1174,3
1175,3
1178,1
1180,6
1181,1
1184,1
1188,1
1189,1
1190,9
1191,3
1192,6
1193,5
1194,11
1195,5
1196,10
1197,5
1198,5
1200,7
1201,1
1204,2
1205,2
1208,2
1209,4
1210,3
1211,1
1212,6
1213,1
1214,1
1215,2
1216,3
1217,2
1218,4
1220,1
1221,1
1222,3
1224,2
1225,2
1227,1
1228,1
1229,1
1230,3
1233,1
1234,2
1237,2
1238,4
1240,3
1242,2
1243,1
1244,3
1245,2
1246,2
1247,4
1248,4
1249,2
1250,4
1252,2
1253,1
1254,1
1255,1
1257,2
1258,1
1259,2
1260,2
1263,3
1264,4
1265,2
1266,3
1267,2
1268,1
1270,1
1271,1
1272,2
1273,2
1275,2
1279,1
1280,1
1283,1
1284,2
1285,3
1286,3
1287,2
1288,2
1289,2
1290,4
1291,1
1293,1
1295,2
1296,1
1298,1
1299,3
1300,6
1302,1
1303,4
1306,2
1307,1
1309,2
1310,1
1312,2
1313,1
1314,1
1315,1
1317,5
1321,1
1322,2
1323,1
1325,6
1326,1
1327,6
1328,3
1330,1
1333,1
1334,2
1337,1
1338,2
1339,1
1340,2
1341,2
1342,1
1343,3
1344,1
1346,3
1347,2
1348,5
1349,2
1350,6
1352,3
1353,1
1354,2
1355,1
1356,2
1357,5
1358,1
1359,1
1360,2
1361,4
1363,6
1364,3
1365,5
1366,3
1367,4
1368,3
1370,2
1371,3
1372,3
1373,1
1374,3
1375,3
1376,4
1377,2
1378,2
1379,11
1380,4
1381,7
1382,7
1383,7
1384,7
1385,9
1386,7
1387,10
1388,19
1389,12
1390,12
1391,14
1392,10
1393,14
1394,18
1395,14
1396,17
1397,11
1398,9
1399,6
1400,4
1401,2
1402,1
1403,2
1404,1
1405,3
1406,1
1407,1
1408,4
1409,1
1410,3
1413,4
1414,1
1415,1
1416,2
1418,2
1419,1
1420,4
1421,1
1422,3
1423,3
1424,4
1425,9
1427,1
1428,5
1429,1
1430,6
1431,5
1432,4
1433,3
1434,2
1435,1
1436,1
1437,6
1438,5
1439,2
1440,3
1441,5
1442,3
1443,1
1445,3
1446,2
1447,1
1450,4
1451,3
1452,2
1453,3
1454,1
1457,7
1458,3
1459,1
1460,4
1461,1
1462,1
1463,3
1464,1
1465,2
1466,3
1467,1
1468,1
1470,2
1471,1
1472,4
1473,3
1474,1
1475,3
1476,1
1477,3
1478,2
1479,4
1480,1
1481,1
1482,3
1483,1
1484,2
1485,3
1488,4
1490,1
1491,1
1492,7
1495,2
1496,2
1497,1
1498,4
1499,4
1500,16
1501,4
1502,2
1503,1
1505,3
1506,4
1507,1
1508,1
1509,3
1510,1
1511,1
1512,5
1513,1
1514,4
1515,5
1516,3
1517,5
1518,3
1519,5
1520,2
1521,1
1523,1
1525,2
1526,7
1527,4
1528,2
1529,1
1530,8
1531,4
1532,5
1533,3
1534,6
1535,4
1536,4
1537,5
1538,9
1539,7
1540,11
1541,12
1542,8
1543,3
1545,7
1546,5
1547,2
1548,2
1549,5
1550,7
1551,4
1552,8
1553,9
1554,6
1555,2
1556,4
1557,4
1558,4
1559,9
1560,11
1561,5
1562,5
1563,5
1564,4
1565,7
1566,1
1567,4
1568,6
1569,3
1570,4
1571,4
1572,4
1573,3
1574,2
1575,6
1576,6
1577,1
1578,1
1579,9
1580,10
1581,3
1582,3
1583,9
1584,6
1585,9
1586,3
