country,size,count
afghanistan,1001-5000,32
afghanistan,11-50,427
afghanistan,1-10,640
afghanistan,51-200,204
afghanistan,201-500,93
afghanistan,5001-10000,7
afghanistan,501-1000,32
afghanistan,10001+,7
albania,201-500,102
albania,501-1000,25
albania,11-50,492
albania,1-10,608
albania,1001-5000,12
albania,51-200,217
albania,10001+,5
albania,5001-10000,3
algeria,1001-5000,75
algeria,1-10,1006
algeria,201-500,180
algeria,10001+,21
algeria,501-1000,87
algeria,11-50,836
algeria,51-200,458
algeria,5001-10000,13
american samoa,1-10,5
american samoa,51-200,4
american samoa,1001-5000,1
american samoa,201-500,2
american samoa,11-50,6
andorra,11-50,113
andorra,201-500,17
andorra,501-1000,9
andorra,51-200,36
andorra,1-10,217
andorra,10001+,1
andorra,1001-5000,2
angola,51-200,267
angola,201-500,136
angola,1-10,556
angola,501-1000,57
angola,11-50,548
angola,1001-5000,45
angola,5001-10000,7
angola,10001+,2
anguilla,1-10,36
anguilla,11-50,17
anguilla,51-200,3
anguilla,1001-5000,1
antarctica,11-50,3
antarctica,1-10,5
antarctica,201-500,1
antarctica,10001+,1
antarctica,51-200,1
antigua and barbuda,11-50,25
antigua and barbuda,51-200,21
antigua and barbuda,1-10,44
antigua and barbuda,501-1000,1
antigua and barbuda,201-500,5
argentina,501-1000,765
argentina,10001+,116
argentina,51-200,6049
argentina,201-500,1739
argentina,1001-5000,589
argentina,1-10,24726
argentina,5001-10000,105
argentina,11-50,15670
armenia,201-500,94
armenia,501-1000,38
armenia,1-10,912
armenia,11-50,746
armenia,51-200,212
armenia,1001-5000,28
armenia,10001+,6
armenia,5001-10000,2
aruba,501-1000,4
aruba,51-200,41
aruba,1-10,123
aruba,11-50,55
aruba,201-500,7
aruba,1001-5000,1
australia,10001+,324
australia,1-10,163101
australia,5001-10000,295
australia,501-1000,1803
australia,51-200,17943
australia,201-500,4629
australia,1001-5000,1587
australia,11-50,71253
austria,1001-5000,347
austria,1-10,8544
austria,11-50,5934
austria,201-500,744
austria,5001-10000,67
austria,501-1000,345
austria,51-200,2180
austria,10001+,70
azerbaijan,501-1000,78
azerbaijan,10001+,10
azerbaijan,1001-5000,58
azerbaijan,5001-10000,10
azerbaijan,201-500,156
azerbaijan,11-50,683
azerbaijan,1-10,693
azerbaijan,51-200,316
bahamas,11-50,171
bahamas,1-10,273
bahamas,51-200,77
bahamas,501-1000,9
bahamas,201-500,23
bahamas,10001+,1
bahamas,1001-5000,7
bahamas,5001-10000,1
bahrain,11-50,901
bahrain,201-500,157
bahrain,51-200,361
bahrain,1001-5000,57
bahrain,501-1000,72
bahrain,1-10,839
bahrain,10001+,3
bahrain,5001-10000,4
bangladesh,1-10,3480
bangladesh,1001-5000,432
bangladesh,51-200,1819
bangladesh,201-500,930
bangladesh,11-50,4414
bangladesh,501-1000,468
bangladesh,10001+,211
bangladesh,5001-10000,147
barbados,1-10,240
barbados,501-1000,4
barbados,51-200,57
barbados,201-500,21
barbados,11-50,123
barbados,10001+,1
barbados,1001-5000,4
barbados,5001-10000,2
belarus,201-500,86
belarus,11-50,786
belarus,1001-5000,44
belarus,1-10,663
belarus,501-1000,39
belarus,51-200,293
belarus,10001+,10
belarus,5001-10000,4
belgium,1-10,46363
belgium,10001+,157
belgium,51-200,9189
belgium,201-500,2071
belgium,5001-10000,115
belgium,501-1000,772
belgium,1001-5000,718
belgium,11-50,32132
belize,51-200,56
belize,1-10,190
belize,201-500,12
belize,11-50,163
belize,1001-5000,3
belize,501-1000,5
benin,11-50,121
benin,1-10,181
benin,51-200,40
benin,201-500,24
benin,501-1000,4
benin,5001-10000,2
benin,1001-5000,4
bermuda,1-10,241
bermuda,201-500,37
bermuda,11-50,154
bermuda,51-200,53
bermuda,1001-5000,18
bermuda,501-1000,6
bermuda,5001-10000,1
bhutan,51-200,31
bhutan,201-500,6
bhutan,11-50,58
bhutan,1-10,58
bhutan,501-1000,2
bhutan,1001-5000,1
bhutan,5001-10000,1
bolivia,501-1000,67
bolivia,1001-5000,45
bolivia,51-200,377
bolivia,5001-10000,5
bolivia,1-10,925
bolivia,11-50,868
bolivia,201-500,179
bolivia,10001+,3
bosnia and herzegovina,11-50,540
bosnia and herzegovina,1-10,931
bosnia and herzegovina,201-500,89
bosnia and herzegovina,10001+,2
