country,founded,id,industry,linkedin_url,locality,name,region,size,website
costa rica,1997,fundacionilam,museums and institutions,linkedin.com/company/fundacionilam,san josé,fundación ilam,san jose,1-10,ilam.org
costa rica,2007,gc-ingenería-consultores-electromecánicos,construction,linkedin.com/company/gc-ingenería-consultores-electromecánicos,calle blancos,gc ingeniería consultores electromecánicos,san jose,1-10,gcingenieriacr.com
costa rica,2018,kalkulus,accounting,linkedin.com/company/kalkulus,cartago,kalkulus,cartago,1-10,kalkulusapp.com
costa rica,"",rottelmec,"",linkedin.com/company/rottelmec,"",rottelmec,"",11-50,rottelmec.com
costa rica,1972,color-visión-comunicación-visual-exterior,marketing and advertising,linkedin.com/company/color-visión-comunicación-visual-exterior,escazu,color visión comunicación visual exterior,san jose,51-200,colorvision.co.cr
costa rica,2012,bpro-marketing,marketing and advertising,linkedin.com/company/bpro-marketing,san jose,bpro marketing,san jose,1-10,bpro.marketing
costa rica,1990,heliconia-del-caribe,farming,linkedin.com/company/heliconia-del-caribe,germania,heliconia del caribe,limon,11-50,heliconiadelcaribe.com
costa rica,2009,el-silencio-lodge-spa,hospitality,linkedin.com/company/el-silencio-lodge-spa,toro amarillo,el silencio lodge & spa,alajuela,51-200,elsilenciolodge.com
costa rica,1970,corporacion-electrica-osmin-vargas-sa,construction,linkedin.com/company/corporacion-electrica-osmin-vargas-sa,san josé,corporacion electrica osmin vargas sa,san jose,51-200,osminvargas.com
costa rica,2011,revista-diay,entertainment,linkedin.com/company/revista-diay,buenos aires,revista diay,alajuela,1-10,revistadiay.blogspot.com
costa rica,2010,grupo-motiva,e-learning,linkedin.com/company/grupo-motiva,heredia,grupo motiva,heredia,1-10,enriquecetupsicologia.com
costa rica,"",autostar-costa-rica,automotive,linkedin.com/company/autostar-costa-rica,la uruca,autostar costa rica,san jose,201-500,autostar.cr
costa rica,"",herrajescr-com,"",linkedin.com/company/herrajescr-com,"",herrajescr.com,"",1-10,herrajescr.com
