country,founded,id,industry,linkedin_url,locality,name,region,size,website
croatia,1993,moore-audit-zagreb,accounting,linkedin.com/company/moore-audit-zagreb,zagreb,moore audit zagreb,grad zagreb,11-50,audit.hr
croatia,1994,isd-informacijski-sustavi-d.o.o.,information technology and services,linkedin.com/company/isd-informacijski-sustavi-d.o.o.,zagreb,isd informacijski sustavi,grad zagreb,1-10,isd.hr
croatia,2013,impact-hub-zagreb,civic & social organization,linkedin.com/company/impact-hub-zagreb,zagreb,impact hub zagreb,grad zagreb,1-10,""
croatia,2013,zsem-poslovna-akademija,education management,linkedin.com/company/zsem-poslovna-akademija,zagreb,zšem - poslovna akademija,grad zagreb,1-10,zsemakademija.hr
croatia,"",kamini-hoyan,"",linkedin.com/company/kamini-hoyan,"",kamini hoyan,"",1-10,kaminihoyan.hr
croatia,2012,sad-it,information technology and services,linkedin.com/company/sad-it,zagreb,sad it,grad zagreb,1-10,sad-it.net
croatia,"",diagonal-d-o-o-,"",linkedin.com/company/diagonal-d-o-o-,"",diagonal d.o.o.,"",1-10,diagonal.hr
croatia,2015,nutrifit-d-o-o,chemicals,linkedin.com/company/nutrifit-d-o-o,zagreb,nutrifit d.o.o.,grad zagreb,11-50,nutrifit.hr
croatia,1992,c-lab,computer software,linkedin.com/company/c-lab,cakovec,c lab,medimurska,11-50,clab.hr
croatia,"",osjecka-pivovara-d-d-,information technology and services,linkedin.com/company/osjecka-pivovara-d-d-,"",osjecka pivovara d.d.,"",11-50,pivovara.hr
croatia,"",faculty-of-science-university-of-zagreb-department-of-chemistry,higher education,linkedin.com/company/faculty-of-science-university-of-zagreb-department-of-chemistry,"","faculty of science, university of zagreb, department of chemistry","",51-200,""
croatia,2014,akvilia-unio,"health, wellness and fitness",linkedin.com/company/akvilia-unio,zagreb,akvilia unio bio,grad zagreb,1-10,akvilia-unio.hr
croatia,"",megakor.eu,"health, wellness and fitness",linkedin.com/company/megakor.eu,zagreb,megakor.eu,grad zagreb,1001-5000,megakor.eu
croatia,"",samobor,non-profit organization management,linkedin.com/company/samobor,"",samobor,"",1-10,obrti-samobora.org
croatia,2006,dental-centre-dubravica,"health, wellness and fitness",linkedin.com/company/dental-centre-dubravica,"",dental centre dubravica,šibensko-kniniska,11-50,dcd.hr
croatia,2011,piasevoli-analytics,information technology and services,linkedin.com/company/piasevoli-analytics,zagreb,piasevoli analytics,grad zagreb,1-10,piasevoli.com
croatia,1990,daf-hrvatska,transportation/trucking/railroad,linkedin.com/company/daf-hrvatska,"",daf hrvatska,varaždinska,51-200,dafhrvatska.com
croatia,1993,tand,electrical/electronic manufacturing,linkedin.com/company/tand,zagreb,t.a.n.d.,grad zagreb,1-10,tand.hr
croatia,1999,millenium-promocija,public relations and communications,linkedin.com/company/millenium-promocija,zagreb,millenium promocija,grad zagreb,11-50,mpr.hr
croatia,"",ctsdoo,computer software,linkedin.com/company/ctsdoo,"",c.t.s. d.o.o.,"",1-10,cts.hr
croatia,"",preplam-d-o-o,plastics,linkedin.com/company/preplam-d-o-o,jakovlje,preplam d.o.o.,zagreb county,11-50,preplam.hr
croatia,"",klobuk-travel,"",linkedin.com/company/klobuk-travel,"",klobuk travel,"",1-10,klobuk-travel.hr
croatia,2015,evolutioit,information technology and services,linkedin.com/company/evolutioit,"",evolutio it,"",11-50,evolutio-it.com
croatia,1996,nabla-plus,electrical/electronic manufacturing,linkedin.com/company/nabla-plus,zagreb,nabla plus d.o.o.,grad zagreb,11-50,nabla-plus.hr
croatia,"",studio-3divine-ltd.,design,linkedin.com/company/studio-3divine-ltd.,zagreb,studio 3divine ltd.,grad zagreb,1-10,studio3divine.hr
croatia,2018,codilium,computer software,linkedin.com/company/codilium,sisak,codilium d.o.o.,sisacko-moslavacka,1-10,codilium.com
croatia,2018,verus-villam,real estate,linkedin.com/company/verus-villam,zagreb,verus villam d.o.o.,grad zagreb,1-10,verus-villam.com
croatia,2010,slavonian-oak-wood-cluster,paper & forest products,linkedin.com/company/slavonian-oak-wood-cluster,vinkovci,slavonian oak wood cluster,vukovarsko-srijemska,1001-5000,slavonski-hrast.com
croatia,"",uniline,"leisure, travel & tourism",linkedin.com/company/uniline,pula,uniline,istria,51-200,uniline.hr
croatia,2020,dd-solutions-co,human resources,linkedin.com/company/dd-solutions-co,zagreb,dd solutions.co,grad zagreb,1-10,dd-solutions.co
croatia,"",strukovna-kola-virovitica,professional training & coaching,linkedin.com/company/strukovna-kola-virovitica,virovitica,strukovna škola virovitica,viroviticko-podravska,51-200,ssv.hr
croatia,"",studiomau,architecture & planning,linkedin.com/company/studiomau,umag,mau,istria,51-200,mau.hr
croatia,"",university-of-zagreb-faculty-of-architecture,architecture & planning,linkedin.com/company/university-of-zagreb-faculty-of-architecture,zagreb,"university of zagreb, faculty of architecture",grad zagreb,51-200,""
croatia,2010,luctus-agencija-za-ogla-avanje,marketing and advertising,linkedin.com/company/luctus-agencija-za-ogla-avanje,"",luctus agencija za oglašavanje,"",1-10,osmrtnica.net
croatia,2011,mala-od-lavande,cosmetics,linkedin.com/company/mala-od-lavande,zagreb,mala od lavande,grad zagreb,1-10,malaodlavande.com
croatia,"",pin-arhitekti,architecture & planning,linkedin.com/company/pin-arhitekti,zagreb,p.i.n. arhitekti,grad zagreb,1-10,pin.com.hr
croatia,2015,hs-optimus-engineering,mechanical or industrial engineering,linkedin.com/company/hs-optimus-engineering,"",hs optimus engineering,primorsko-goranska,1-10,hsoe.hr
croatia,2011,mapa-znanja,education management,linkedin.com/company/mapa-znanja,zagreb,mapa znanja,grad zagreb,1-10,mapaznanja.hr
croatia,2000,mojposao-tau-on-line-d-o-o-,internet,linkedin.com/company/mojposao-tau-on-line-d-o-o-,zagreb,mojposao (tau on-line d.o.o.),grad zagreb,51-200,moj-posao.net
croatia,2012,geo-media-d-o-o,civil engineering,linkedin.com/company/geo-media-d-o-o,zagreb,geo media d.o.o.,grad zagreb,1-10,geo-media.hr
croatia,2012,azara,maritime,linkedin.com/company/azara,sibenik,azara,sibensko-kninska,1-10,azara.hr
croatia,1979,faculty-of-electrical-engineering-j.j.-strossmayer-university-osijek,education management,linkedin.com/company/faculty-of-electrical-engineering-j.j.-strossmayer-university-osijek,osijek,faculty of electrical engineering j.j. strossmayer university osijek,osjecko-baranjska,51-200,""
croatia,2018,milenialeu,internet,linkedin.com/company/milenialeu,zagreb,milenial.eu,grad zagreb,1-10,milenial.eu
croatia,1961,institut-za-fiziku-zagreb,research,linkedin.com/company/institut-za-fiziku-zagreb,"",institut za fiziku zagreb,"",51-200,ifs.hr
croatia,2011,egas-air,airlines/aviation,linkedin.com/company/egas-air,zagreb,egas air,grad zagreb,1-10,egasair.eu
croatia,1994,ljekarne-prima-pharme,pharmaceuticals,linkedin.com/company/ljekarne-prima-pharme,zagreb,ljekarne prima pharme,grad zagreb,201-500,primapharme.hr
croatia,1998,proaxis-d-o-o-,computer hardware,linkedin.com/company/proaxis-d-o-o-,zagreb,proaxis d.o.o.,grad zagreb,11-50,proaxis.hr
croatia,1991,pivka-export-import-d-o-o-,food & beverages,linkedin.com/company/pivka-export-import-d-o-o-,"",pivka export-import d.o.o.,"",51-200,pivka.hr
croatia,"",promus-it,computer networking,linkedin.com/company/promus-it,krizevci,promus it,koprivnicko-krizevacka,1-10,promus-hosting.com
croatia,1992,sos-dječje-selo-hrvatska,non-profit organization management,linkedin.com/company/sos-dječje-selo-hrvatska,zagreb,sos dječje selo hrvatska,grad zagreb,51-200,sos-dsh.hr
croatia,2009,itego-element-d.o.o.,information technology and services,linkedin.com/company/itego-element-d.o.o.,zagreb,itego element d.o.o.,grad zagreb,1-10,itego.hr
croatia,"",dizmar-d-o-o-,"",linkedin.com/company/dizmar-d-o-o-,"",dizmar d.o.o.,"",1-10,dizmar.hr
croatia,1991,zagreb-nekretnine---zane,real estate,linkedin.com/company/zagreb-nekretnine---zane,zagreb,zagreb nekretnine - zane,grad zagreb,11-50,zane.hr
croatia,2015,soap-interactive,entertainment,linkedin.com/company/soap-interactive,zagreb,soap interactive,grad zagreb,1-10,soapinteractive.com
croatia,1994,architectural-office-tobis-inzenjering,architecture & planning,linkedin.com/company/architectural-office-tobis-inzenjering,"",architectural office tobis-inzenjering,"",1-10,tobis.hr
croatia,2007,sense-consulting,management consulting,linkedin.com/company/sense-consulting,"",sense consulting,"",1-10,senseconsulting.eu
croatia,2011,upravljanje-projektima,management consulting,linkedin.com/company/upravljanje-projektima,zagreb,upravljanje projektima,grad zagreb,1-10,project-management-srbija.com
croatia,"",hoteli-kolocep-d-d-,hospitality,linkedin.com/company/hoteli-kolocep-d-d-,zagreb,hoteli kolocep d.d.,city of zagreb,11-50,kolocep.com
croatia,"",on-line,marketing and advertising,linkedin.com/company/on-line,"",on-line,"",501-1000,on-line.hr
croatia,1923,atlas_5,"leisure, travel & tourism",linkedin.com/company/atlas_5,dubrovnik,atlas,dubrovacko-neretvanska,201-500,atlas.hr
croatia,1955,croatian-copyright-agency---intellectual-property-center-ltd-,legal services,linkedin.com/company/croatian-copyright-agency---intellectual-property-center-ltd-,"",hrvatska autorska agencija - centar za intelektualno vlasništvo d.o.o,"",1-10,haa.hr
croatia,2017,unitfly,information technology and services,linkedin.com/company/unitfly,zagreb,unitfly,grad zagreb,1-10,unitfly.com
croatia,2003,fima-global-invest,investment management,linkedin.com/company/fima-global-invest,zagreb,global invest d.o.o.,grad zagreb,11-50,fgi.hr
croatia,1996,adriateh,construction,linkedin.com/company/adriateh,zagreb,adriateh,grad zagreb,51-200,adriateh.hr
croatia,"",jatro-d-o-o-,shipbuilding,linkedin.com/company/jatro-d-o-o-,rijeka,jatro d.o.o.,primorsko-goranska,1-10,jatro.hr
croatia,1994,ti-kem-d-o-o-,chemicals,linkedin.com/company/ti-kem-d-o-o-,zagreb,ti kem d.o.o.,grad zagreb,1-10,tikem.hr
croatia,"",abeceda-za-tite-d-o-o-,mechanical or industrial engineering,linkedin.com/company/abeceda-za-tite-d-o-o-,zagreb,abeceda zaštite d.o.o.,grad zagreb,11-50,zastita.eu
