country,founded,id,industry,linkedin_url,locality,name,region,size,website
cyprus,2014,apc-sports-consulting,sports,linkedin.com/company/apc-sports-consulting,"",apc sports consulting,nicosia,1-10,apc-sport.com
cyprus,2016,nest-search-marketing,marketing and advertising,linkedin.com/company/nest-search-marketing,limassol,nest sem agency,limassol,1-10,searchthenest.com
cyprus,2011,the-graphics-agency,graphic design,linkedin.com/company/the-graphics-agency,"",the graphics agency,nicosia,1-10,thegraphicsagency.com
cyprus,1998,softimpact-ltd,information technology and services,linkedin.com/company/softimpact-ltd,"",softimpact ltd,limassol,11-50,soft-impact.com
cyprus,2017,computeracademiacs,primary/secondary education,linkedin.com/company/computeracademiacs,agios dometios,computer academiacs,nicosia,1-10,""
cyprus,2009,international-security-forum,international affairs,linkedin.com/company/international-security-forum,"",international security forum,"",1-10,inter-security-forum.org
cyprus,2012,rreality,online media,linkedin.com/company/rreality,paphos,литературно-философский клуб rreal,pafos,51-200,rreality.club
cyprus,"",cyprus-trading-corporation-plc,mechanical or industrial engineering,linkedin.com/company/cyprus-trading-corporation-plc,"",cyprus trading corporation plc,nicosia,1001-5000,ctcgroup.com
cyprus,"",kallias&associates-limited,accounting,linkedin.com/company/kallias&associates-limited,"",kallias&associates limited,"",11-50,""
cyprus,2016,nagainvesting,financial services,linkedin.com/company/nagainvesting,limassol,naga,limassol,51-200,naga.com
cyprus,"",pantzi-distributors,food & beverages,linkedin.com/company/pantzi-distributors,"",pantzi distributors,"",1-10,pantzi.com
cyprus,1999,aeconomides,printing,linkedin.com/company/aeconomides,limassol,athanasis economides document solutions,limassol,11-50,aeconomides.com.cy
cyprus,2010,gold-services-limited,investment management,linkedin.com/company/gold-services-limited,"",gold services limited,limassol,1-10,goldsvcs.net
cyprus,2006,ksg-enterprises-ltd,automotive,linkedin.com/company/ksg-enterprises-ltd,"",ksg enterprises ltd,nicosia,1-10,ksgenterprises.com
cyprus,2015,vipro-markets,financial services,linkedin.com/company/vipro-markets,lemesos,vipro markets ltd,limassol,11-50,vipromarkets.com
cyprus,2016,bird-aviation-ltd.,airlines/aviation,linkedin.com/company/bird-aviation-ltd.,"",bird aviation ltd.,larnaca,51-200,birdaviation.com
cyprus,1994,parimatch-cyprus,entertainment,linkedin.com/company/parimatch-cyprus,"",parimatch,nicosia,11-50,""
cyprus,"",caramondani-bros-public-company-l.t.d,retail,linkedin.com/company/caramondani-bros-public-company-l.t.d,"",caramondani bros public company l.t.d,nicosia,51-200,""
cyprus,1992,islandoil,maritime,linkedin.com/company/islandoil,"",island oil ltd,limassol,51-200,island-oil.com
cyprus,"",thextrend,financial services,linkedin.com/company/thextrend,limassol,xtrend,limassol,51-200,thextrend.com
cyprus,"",central-bank-of-turkish-republic-of-northern-cyprus,banking,linkedin.com/company/central-bank-of-turkish-republic-of-northern-cyprus,"",central bank of turkish republic of northern cyprus,"",51-200,kktcmerkezbankasi.org
cyprus,2010,h-&-h-accounting-services,accounting,linkedin.com/company/h-&-h-accounting-services,nicosia,h & h accounting services,nicosia,1-10,hhaccounting.com.cy
cyprus,2018,payphonex,public relations and communications,linkedin.com/company/payphonex,larnaca,payphone x,larnaka,11-50,payphone.io
cyprus,1951,generalinsuranceofcyprus,insurance,linkedin.com/company/generalinsuranceofcyprus,nicosia,general insurance of cyprus,nicosia,51-200,gic.com.cy
cyprus,2007,8g-capital-partners-limited,real estate,linkedin.com/company/8g-capital-partners-limited,"",8g capital partners limited,nicosia,11-50,8gcapitalpartners.com
cyprus,2017,whisper-ip,management consulting,linkedin.com/company/whisper-ip,"",whisper ip,"",1-10,whisperip.com
cyprus,2017,gen-pro,maritime,linkedin.com/company/gen-pro,yermasoyia,gp general procurement company limited,limassol,11-50,gen-pro.com
cyprus,2000,greek-villas-4-rent-.-com,"leisure, travel & tourism",linkedin.com/company/greek-villas-4-rent-.-com,"",greek villas 4 rent . com,"",1-10,greekvillas4rent.com
cyprus,"",mekel,environmental services,linkedin.com/company/mekel,mesa geitonia,mekel ltd,limassol,11-50,mekel.com.cy
cyprus,2012,capitalbankcy,banking,linkedin.com/company/capitalbankcy,nicosia,capitalbank - kıbrıs kapitalbank ltd.,nicosia,51-200,capitalbank.com.tr
cyprus,2009,emporiki-stoa,events services,linkedin.com/company/emporiki-stoa,nicosia,stoa lefkosias,nicosia,11-50,stoalefkosias.com
cyprus,1986,pedieos-ivf-center,medical practice,linkedin.com/company/pedieos-ivf-center,nicosia,pedieos ivf center,nicosia,11-50,pedieosivf.com.cy
cyprus,2010,dbsoft-technologies,computer software,linkedin.com/company/dbsoft-technologies,"",dbsoft technologies,nicosia,1-10,dbsofttech.com
cyprus,1930,limassol1930,sports,linkedin.com/company/limassol1930,lemesos,ael limassol fc,limassol,51-200,aelfc.com
cyprus,"",slmarad,maritime,linkedin.com/company/slmarad,"",sierra leone maritime administration - slmarad,limassol,11-50,slmarad.com
cyprus,2007,adscore-marketing-&-events,entertainment,linkedin.com/company/adscore-marketing-&-events,"",adscore marketing & events,larnaca,1-10,adscoremarketing.com
cyprus,1995,interfreight-logistics-ltd,logistics and supply chain,linkedin.com/company/interfreight-logistics-ltd,limassol,interfreight logistics ltd,limassol,51-200,interfreightlogistics.com
cyprus,"",interallis,chemicals,linkedin.com/company/interallis,"",interallis chemical group,"",51-200,interallis.com
cyprus,2013,inshape,online media,linkedin.com/company/inshape,agios dometios,inshape,nicosia,1-10,inshape.com.cy
cyprus,1970,andreas-coucounis-&-co-llc,law practice,linkedin.com/company/andreas-coucounis-&-co-llc,larnaca,andreas coucounis & co llc,larnaka,1-10,coucounis.com
cyprus,2014,ancoria-bank,banking,linkedin.com/company/ancoria-bank,"",ancoria bank,nicosia,51-200,ancoriabank.com
cyprus,1986,joannides-co-ltd,accounting,linkedin.com/company/joannides-co-ltd,nicosia,joannides + co limited,nicosia,51-200,joannides.com.cy
cyprus,"",university-of-zagreb-faculty-of-teacher-education,higher education,linkedin.com/company/university-of-zagreb-faculty-of-teacher-education,"","university of zagreb, faculty of teacher education","",51-200,ufzg.hr
cyprus,"",osmaco,"",linkedin.com/company/osmaco,"",osmaco,"",1-10,osmaco.com.cy
cyprus,2000,entam-ltd-,consumer goods,linkedin.com/company/entam-ltd-,gazimagusa,entam ltd.,famagusta,1-10,entamcyprus.com
cyprus,1998,multilysis-services-limited,accounting,linkedin.com/company/multilysis-services-limited,"",multilysis services limited,limassol,1-10,multilysis.com
cyprus,1978,vitatrace-nutrition-ltd,veterinary,linkedin.com/company/vitatrace-nutrition-ltd,"",vitatrace nutrition ltd (vtn),nicosia,11-50,vitatrace.com
cyprus,2018,cyprusseeds,fund-raising,linkedin.com/company/cyprusseeds,"",cyprus seeds,nicosia,1-10,cyprusseeds.com
cyprus,"",optima-energy,renewables & environment,linkedin.com/company/optima-energy,agios athanasios,optima energy,limassol,1-10,optimaenergy.ca
cyprus,1992,grandresort,hospitality,linkedin.com/company/grandresort,"",grandresort,limassol,201-500,grandresort.com.cy
cyprus,"",tcm-web-art-world,internet,linkedin.com/company/tcm-web-art-world,limassol,web art world,limassol,1-10,webartworld.com
cyprus,2017,together-cyprus,civic & social organization,linkedin.com/company/together-cyprus,"",together cyprus,nicosia,1-10,togethercyprus.org
cyprus,"",bigbang-business,information technology and services,linkedin.com/company/bigbang-business,"",bigbang business,"",1-10,big-bang-business.com
cyprus,2020,legal-resources-centre-cyprus,professional training & coaching,linkedin.com/company/legal-resources-centre-cyprus,"",legal resources centre - cyprus,nicosia,1-10,legalresourcescentre.com
