country,founded,id,industry,linkedin_url,locality,name,region,size,website
czechia,2010,easychange-s-r-o,financial services,linkedin.com/company/easychange-s-r-o,prague,easychange s.r.o.,praha,1-10,easychange.eu
czechia,1997,adane-s.r.o.,information technology and services,linkedin.com/company/adane-s.r.o.,brno,"adane, s.r.o.",jihomoravsky kraj,1-10,adane.cz
czechia,1990,bsc-praha,information technology and services,linkedin.com/company/bsc-praha,"",bsc praha,praha,201-500,bsc-ideas.com
czechia,"",inveo-cz,information technology and services,linkedin.com/company/inveo-cz,prague,inveo.cz,praha,11-50,inveo.cz
czechia,2016,reglendo,program development,linkedin.com/company/reglendo,brno,reglendo,jihomoravsky kraj,1-10,reglendo.cz
czechia,"",hirvi-s-r-o,"health, wellness and fitness",linkedin.com/company/hirvi-s-r-o,brno,hirvi s.r.o.,jihomoravsky kraj,1-10,hirvi.cz
czechia,1994,wamag-spol-s-r-o-,machinery,linkedin.com/company/wamag-spol-s-r-o-,"","wamag, spol. s r.o.","",11-50,wamag.cz
czechia,"",legalio,legal services,linkedin.com/company/legalio,"","legalio, advokátní kancelář, s.r.o.",praha,1-10,legalio.cz
czechia,"",charvát-a-s-,"",linkedin.com/company/charvát-a-s-,"",charvát a.s.,"",11-50,charvat.cz
czechia,1998,ürge-&-černohlávek,legal services,linkedin.com/company/ürge-&-černohlávek,"",ürge & černohlávek,praha,11-50,cer.cz
czechia,1983,gs1-czech-republic,non-profit organization management,linkedin.com/company/gs1-czech-republic,nusle,gs1 czech republic,praha 4,1-10,""
czechia,2012,orlístreettheaterrecordingstudio,music,linkedin.com/company/orlístreettheaterrecordingstudio,brno,orlí street theater recording studio,jihomoravsky kraj,1-10,""
czechia,1993,cheops-s.r.o.,information technology and services,linkedin.com/company/cheops-s.r.o.,"",cheops s.r.o.,praha,11-50,cheops.cz
czechia,1991,automaxgroup,automotive,linkedin.com/company/automaxgroup,"",automax group s.r.o.,praha,11-50,""
czechia,2015,hr-mollo,human resources,linkedin.com/company/hr-mollo,"",hr mollo,"",1-10,hrmollo.cz
czechia,1995,meatfly,apparel & fashion,linkedin.com/company/meatfly,"",meatfly,"",11-50,meatfly.cz
czechia,2014,increative,marketing and advertising,linkedin.com/company/increative,brno,increative,jihomoravsky kraj,11-50,increative.cz
czechia,"",capital-refractories-s-r-o-,"",linkedin.com/company/capital-refractories-s-r-o-,"",capital refractories s.r.o.,"",1-10,capital-refractories.cz
czechia,"",greywolf-it-recruitment,staffing and recruiting,linkedin.com/company/greywolf-it-recruitment,"",greywolf it recruitment,praha,1-10,grey-wolf.cz
czechia,2018,mynemo-planning,real estate,linkedin.com/company/mynemo-planning,nymburk,mynemo planning,stredocesky kraj,1-10,mynemo.cz
czechia,2020,spacereality,real estate,linkedin.com/company/spacereality,"",spacereality,praha,1-10,spacereality.cz
czechia,"",mpl-kauf,internet,linkedin.com/company/mpl-kauf,"",mpl kauf,"",11-50,mplostrava.cz
czechia,2009,crystalite-bohemia-s-r-o-,"glass, ceramics & concrete",linkedin.com/company/crystalite-bohemia-s-r-o-,světlá nad sázavou,crystalite bohemia s.r.o.,vysocina,501-1000,crystalite.org
czechia,2016,ciaopraga,online media,linkedin.com/company/ciaopraga,prague,ciaopraga,praha,11-50,""
