country,founded,id,industry,linkedin_url,locality,name,region,size,website
denmark,1936,bellevue-teatret,performing arts,linkedin.com/company/bellevue-teatret,klampenborg,bellevue teatret,capital region,11-50,bellevueteatret.dk
denmark,1859,copenhagen-zoo,events services,linkedin.com/company/copenhagen-zoo,copenhagen,zoologisk have,capital region,201-500,zoo.dk
denmark,2011,iko-dk,design,linkedin.com/company/iko-dk,"",iko.dk,"",1-10,iko.dk
denmark,1997,mosek-aps,computer software,linkedin.com/company/mosek-aps,"",mosek aps,"",1-10,mosek.com
denmark,2011,baresi,information technology and services,linkedin.com/company/baresi,valby,baresi,hovedstaden,1-10,baresi.dk
denmark,2014,bot-aps,internet,linkedin.com/company/bot-aps,aalborg,bot aps,nordjylland,1-10,bot.dk
denmark,"",win-women-s-inspiration-network,human resources,linkedin.com/company/win-women-s-inspiration-network,horsholm,win - women's inspiration network,hovedstaden,11-50,""
denmark,"",ad-made,marketing and advertising,linkedin.com/company/ad-made,"",ad made,"",1-10,ad-made.dk
denmark,2014,reformcph,design,linkedin.com/company/reformcph,copenhagen,reform (copenhagen),capital region,51-200,reformcph.com
denmark,2012,biltorvet,automotive,linkedin.com/company/biltorvet,taastrup,biltorvet,hovedstaden,51-200,biltorvet.dk
denmark,2007,dansk-overpumpning-aps,environmental services,linkedin.com/company/dansk-overpumpning-aps,slagelse,dansk overpumpning aps,sjelland,1-10,danskoverpumpning.dk
denmark,1946,magnussen-&-speiermann-a-s,electrical/electronic manufacturing,linkedin.com/company/magnussen-&-speiermann-a-s,hvidovre,magnussen & speiermann a/s,capital region,11-50,speiermann.dk
denmark,"",danish-transport-&-logistics,political organization,linkedin.com/company/danish-transport-&-logistics,"",danish transport and logistics (dtl),"",11-50,dtl.eu
denmark,2009,style-crackers,design,linkedin.com/company/style-crackers,"",style crackers,"",1-10,stylecrackers.com
denmark,2015,gelb-kommunikation,marketing and advertising,linkedin.com/company/gelb-kommunikation,kolding,gelb kommunikation,syddanmark,1-10,gelbkommunikation.dk
denmark,2010,leanit,computer software,linkedin.com/company/leanit,frederiksvaerk,leanit,hovedstaden,1-10,leanit.be
denmark,2018,rita-arch,architecture & planning,linkedin.com/company/rita-arch,osterbro,rita arch,capital region,1-10,ritaarch.dk
denmark,2013,student-and-innovation-house,non-profit organization management,linkedin.com/company/student-and-innovation-house,copenhagen,student & innovation house,capital region,51-200,studenthouse.dk
denmark,1959,arne-stubbe-automobiler-a-s,automotive,linkedin.com/company/arne-stubbe-automobiler-a-s,malov,arne stubbe automobiler a/s,hovedstaden,51-200,stubbe.dk
denmark,2009,uiwe-culture-design,architecture & planning,linkedin.com/company/uiwe-culture-design,"",uiwe culture design,"",1-10,uiwe.dk
denmark,2017,eproperty-group,information technology and services,linkedin.com/company/eproperty-group,horsholm,eproperty group,hovedstaden,1-10,eproperty.consulting
denmark,1978,uhrenholt-as,food & beverages,linkedin.com/company/uhrenholt-as,middelfart,uhrenholt,syddanmark,501-1000,uhrenholt.com
denmark,2017,replacedk,design,linkedin.com/company/replacedk,vanlose,replace,capital region,1-10,replace.dk
denmark,2015,nordsjællands-brandvæsen,public safety,linkedin.com/company/nordsjællands-brandvæsen,kokkedal,nordsjællands brandvæsen,capital region,201-500,nsbv.dk
denmark,2015,den-fynske-spilfabrik,education management,linkedin.com/company/den-fynske-spilfabrik,"",den fynske spilfabrik,"",1-10,denfynskespilfabrik.dk
denmark,"",tommerup-efterskole,"",linkedin.com/company/tommerup-efterskole,"",tommerup efterskole,"",51-200,tommerup-efterskole.dk
denmark,2010,the-danish-centre-for-environmental-assessment,environmental services,linkedin.com/company/the-danish-centre-for-environmental-assessment,aalborg,the danish centre for environmental assessment,nordjylland,11-50,dcea.dk
denmark,2015,mundfuld---studio,graphic design,linkedin.com/company/mundfuld---studio,"",mundfuld – studio,"",1-10,mundfuld-studio.dk
