country,founded,id,industry,linkedin_url,locality,name,region,size,website
dominican republic,2008,inmobiliaria-sarasota,commercial real estate,linkedin.com/company/inmobiliaria-sarasota,santo domingo,boyter island,distrito nacional,1-10,boyterisland.com
dominican republic,2015,sidelca,civil engineering,linkedin.com/company/sidelca,punta cana,sidelca,la altagracia,11-50,carpio@sidelcasrl.org
dominican republic,"",grupo-agape---palacio-del-cine-krispy-kreme-papa-johns-pinkberry-wotmeco,restaurants,linkedin.com/company/grupo-agape---palacio-del-cine-krispy-kreme-papa-johns-pinkberry-wotmeco,santo domingo,"grupo agape - palacio del cine, krispy kreme, papa johns, pinkberry, wotmeco",distrito nacional,10001+,papajohns.com.do
dominican republic,2005,gpnetautomation,industrial automation,linkedin.com/company/gpnetautomation,santo domingo oeste,"gpnet soluciones tecnológicas, srl",santo domingo,51-200,gpnetautomation.com
dominican republic,2017,altea-palace,"leisure, travel & tourism",linkedin.com/company/altea-palace,"",altea palace,la altagracia,1-10,""
dominican republic,2017,the-office-digital-agency,marketing and advertising,linkedin.com/company/the-office-digital-agency,distrito nacional,the office digital agency,nacional,11-50,theoffice.do
dominican republic,"",consultores-empresariales-nbhj,security and investigations,linkedin.com/company/consultores-empresariales-nbhj,"",consultores empresariales nbhj,"",1-10,conemp.com
dominican republic,2007,jmmb-dominican-republic,financial services,linkedin.com/company/jmmb-dominican-republic,santo domingo,jmmb república dominicana,distrito nacional,51-200,jmmb.com.do
dominican republic,2018,thrivedr,real estate,linkedin.com/company/thrivedr,"",thrive dominican republic,santo domingo,1-10,thrivedominicanrepublic.com
dominican republic,2014,jobsrd,human resources,linkedin.com/company/jobsrd,santo domingo,jobsrd,distrito nacional,11-50,jobsrd.com
dominican republic,2018,sepadom,automotive,linkedin.com/company/sepadom,santo domingo este,sepadom,santo domingo,1-10,sepa.com.do
dominican republic,2012,personas-grandiosas-srl,professional training & coaching,linkedin.com/company/personas-grandiosas-srl,santo domingo,"personas grandiosas, srl",distrito nacional,11-50,personasgrandiosas.com
dominican republic,2012,viewfinder-s-r-l,entertainment,linkedin.com/company/viewfinder-s-r-l,"",viewfinder s.r.l.,santiago,1-10,viewfindersrl.com
dominican republic,2007,north-star,industrial automation,linkedin.com/company/north-star,santo domingo,north star,distrito nacional,51-200,northstar.com.do
dominican republic,2010,tecnoambiente-engineering-group,civil engineering,linkedin.com/company/tecnoambiente-engineering-group,santo domingo,tecnoambiente engineering group,distrito nacional,1-10,tecnoambiente.com.do
dominican republic,2010,mi-tierra-verde-srl,"leisure, travel & tourism",linkedin.com/company/mi-tierra-verde-srl,santo domingo este,"mi tierra verde, srl",santo domingo,1-10,mitierraverde.com
dominican republic,2016,simlimites,telecommunications,linkedin.com/company/simlimites,santiago de los caballeros,simlimites,santiago,1-10,simlimites.com
dominican republic,1998,trans-diesel-del-caribe,oil & energy,linkedin.com/company/trans-diesel-del-caribe,"",trans-diesel del caribe,"",51-200,transdiesel.com.do
dominican republic,"",blue-orb-s.r.l.,information technology and services,linkedin.com/company/blue-orb-s.r.l.,"","blue orb, s.r.l.","",1-10,blueorbdigital.com
dominican republic,"",hospital-metropolitano-de-santiago,hospital & health care,linkedin.com/company/hospital-metropolitano-de-santiago,"",hospital metropolitano de santiago,"",201-500,homshospital.com
dominican republic,2011,noticias-arecoa,online media,linkedin.com/company/noticias-arecoa,santo domingo,noticias arecoa,distrito nacional,1-10,arecoa.com
dominican republic,"",plexoov,individual & family services,linkedin.com/company/plexoov,"",plexoov,santo domingo,1-10,plexoov.com
dominican republic,2017,baratolado,internet,linkedin.com/company/baratolado,"",baratola.do,santo domingo,1-10,baratola.do
dominican republic,"",topmodel-international-ltd-,entertainment,linkedin.com/company/topmodel-international-ltd-,punta cana,topmodel international ltd.,la altagracia,1-10,""
dominican republic,2003,banco-leon,banking,linkedin.com/company/banco-leon,"",banco león,"",1001-5000,leon.com.do
dominican republic,1963,clinica-canela,hospital & health care,linkedin.com/company/clinica-canela,la romana,clinica canela,la romana,201-500,clinicacanela.com
dominican republic,"",impuesto-fácil,financial services,linkedin.com/company/impuesto-fácil,"",impuestofácil,santo domingo,11-50,impuestofacil.com
dominican republic,"",trans-energeticos,package/freight delivery,linkedin.com/company/trans-energeticos,"",trans-energeticos,pedernales,11-50,""
dominican republic,"",juanmendez-srl,entertainment,linkedin.com/company/juanmendez-srl,santo domingo,"juanmendez, srl",distrito nacional,1-10,juanmendez.net
dominican republic,2010,7elements,environmental services,linkedin.com/company/7elements,"",7elements,espaillat,1-10,7elements.global
dominican republic,"",decolux,"",linkedin.com/company/decolux,"",decolux,"",51-200,decolux.net
dominican republic,2016,igf-asociados,higher education,linkedin.com/company/igf-asociados,santo domingo,igf & asociados,distrito nacional,1-10,igfya.com
dominican republic,"",alerta-c-x-a,security and investigations,linkedin.com/company/alerta-c-x-a,santiago de los caballeros,alerta srl,santiago,51-200,alerta.com.do
dominican republic,1985,piisaindustrialpark,commercial real estate,linkedin.com/company/piisaindustrialpark,"",piisa industrial park,san cristóbal,10001+,piisa.com
dominican republic,2015,agiredom,investment management,linkedin.com/company/agiredom,"",agiredom agencia inmobiliaria república dominicana),samaná,1-10,agiredom.com
dominican republic,2001,sigmaplast-dominicana,plastics,linkedin.com/company/sigmaplast-dominicana,"",sigmaplast dominicana,san cristóbal,51-200,""
dominican republic,2007,transanext,information technology and services,linkedin.com/company/transanext,santo domingo,transanext,distrito nacional,11-50,transanext.com
dominican republic,2015,gsi-food,international trade and development,linkedin.com/company/gsi-food,"",gsi food,santo domingo,11-50,gsi-food.com
dominican republic,1999,atléticopantoja,sports,linkedin.com/company/atléticopantoja,"",club atlético pantoja inc.,santo domingo,51-200,atleticopantoja.com.do
dominican republic,2015,applab-srl,internet,linkedin.com/company/applab-srl,"",applab srl,"",1-10,applab.do
dominican republic,"",nlindr,government relations,linkedin.com/company/nlindr,santo domingo,embajada del reino de los países bajos en la república dominicana,distrito nacional,1-10,""
dominican republic,"",refidomsa,chemicals,linkedin.com/company/refidomsa,"",refidomsa,"",1-10,refidomsa.com.do
dominican republic,1919,ramon-l.-baez-c.-por-a.,printing,linkedin.com/company/ramon-l.-baez-c.-por-a.,"","ramon l. baez, sas","",1-10,ramonlbaez.com
dominican republic,"",confecciones-samys,"",linkedin.com/company/confecciones-samys,"",confecciones samys,"",1-10,csamys.com
