country,founded,id,industry,linkedin_url,locality,name,region,size,website
ecuador,"",globalbusinessconsultants,accounting,linkedin.com/company/globalbusinessconsultants,quito,gbc,pichincha,1-10,gbc.com.ec
ecuador,1972,inproel-s.a.,wholesale,linkedin.com/company/inproel-s.a.,guayaquil,inproel s.a.,guayas,501-1000,inproel.com
ecuador,2012,biznies-s-a-,management consulting,linkedin.com/company/biznies-s-a-,guayaquil,biznies / lacroque s.a.,guayas,1-10,biznies.biz
ecuador,2013,kruger-labs,information technology and services,linkedin.com/company/kruger-labs,quito,krugerlabs,pichincha,1-10,krugerlabs.com.ec
ecuador,1998,fecorsa,machinery,linkedin.com/company/fecorsa,guayaquil,fecorsa comercial y industrial s.a.,guayas,1-10,fecorsa.com
ecuador,1971,james-brown-pharma-c-a-,pharmaceuticals,linkedin.com/company/james-brown-pharma-c-a-,quito,james brown pharma c.a.,pichincha,201-500,jamesbrownpharma.com
ecuador,2011,local-dreamers,non-profit organization management,linkedin.com/company/local-dreamers,quito,local dreamers,pichincha,1-10,localdreamers.org
ecuador,"",utm-porto,higher education,linkedin.com/company/utm-porto,portoviejo,utm universidad técnica de manabí,manabi,501-1000,utm.edu.ec
ecuador,2011,proveta-laboratorio-publicitario,marketing and advertising,linkedin.com/company/proveta-laboratorio-publicitario,quito,proveta laboratorio publicitario,pichincha,1-10,provetalab.com
ecuador,1956,baterias-ecuador,automotive,linkedin.com/company/baterias-ecuador,quito,baterias ecuador,pichincha,51-200,bateriasecuador.com
ecuador,"",sociedad-union-quito-uniclub,food & beverages,linkedin.com/company/sociedad-union-quito-uniclub,"",sociedad union quito uniclub,"",51-200,uniclub.ec
ecuador,"",ipsa-group-latin-america,market research,linkedin.com/company/ipsa-group-latin-america,guayaquil,ipsa group latin america,guayas,51-200,ipsa.com.ec
ecuador,2012,dydactica-fundraising,marketing and advertising,linkedin.com/company/dydactica-fundraising,quito,dydactica internet marketing,pichincha,1-10,dydactica.com
ecuador,"",megasupply,telecommunications,linkedin.com/company/megasupply,quito,megasupply s.a.,pichincha,11-50,megasupply.com.ec
ecuador,"",acl-auditores-y-consultores-latam-ecuador,financial services,linkedin.com/company/acl-auditores-y-consultores-latam-ecuador,quito,acl auditores y consultores latam ecuador,pichincha,11-50,acl.com.ec
ecuador,"",mundinorte,"",linkedin.com/company/mundinorte,"",mundinorte,"",1-10,mundinorte.com.ec
ecuador,2010,artecla,fine art,linkedin.com/company/artecla,"",artecla,"",1-10,artecla.com
ecuador,"",valoratec-ec,accounting,linkedin.com/company/valoratec-ec,guayaquil,valoratec_ec,guayas,11-50,valoratec.com.ec
ecuador,"",grupolanata,logistics and supply chain,linkedin.com/company/grupolanata,guayaquil,grupo lanata,guayas,1-10,grupolanata.com
