country,founded,id,industry,linkedin_url,locality,name,region,size,website
egypt,2013,expandcart,computer software,linkedin.com/company/expandcart,"",expandcart,cairo,11-50,expandcart.com
egypt,1977,alsobahygroup,real estate,linkedin.com/company/alsobahygroup,giza,al sobahy group,giza,201-500,alsobahygroup.com
egypt,1991,safwan-egypt,medical devices,linkedin.com/company/safwan-egypt,giza,safwan egypt,giza,51-200,safwanegypt.com
egypt,1998,logic-training-&-hr-development,professional training & coaching,linkedin.com/company/logic-training-&-hr-development,cairo,logic training & hr development,al qahirah,51-200,logic-training.com
egypt,2013,caironix,computer hardware,linkedin.com/company/caironix,al haram,caironix,giza,11-50,caironix.com
egypt,2013,saludable,food & beverages,linkedin.com/company/saludable,new cairo,saludable,cairo,11-50,saludable.me
egypt,1999,reklam-advertising,marketing and advertising,linkedin.com/company/reklam-advertising,cairo,reklam advertising,cairo,51-200,reklamadv.com
egypt,1996,alkan-cit,telecommunications,linkedin.com/company/alkan-cit,"",alkan cit,cairo,1001-5000,alkancit.com
egypt,2015,lotfy-abdel-aziz,entertainment,linkedin.com/company/lotfy-abdel-aziz,cairo,lotfy abdel aziz,al qahirah,1-10,lotfyabdelaziz.com
egypt,1985,nevrsel-industrial-construction,construction,linkedin.com/company/nevrsel-industrial-construction,"",nevrsel industrial construction,cairo,51-200,nevrsel.com
egypt,2016,iso-tech-water-technology,renewables & environment,linkedin.com/company/iso-tech-water-technology,cairo,iso tech water technology,cairo,11-50,isotechwater.com
egypt,2013,experienced-certified-consultants---ecc,information technology and services,linkedin.com/company/experienced-certified-consultants---ecc,"",ecc experienced certified consulting,cairo,51-200,ecc-eg.com
egypt,2015,iman-saab,apparel & fashion,linkedin.com/company/iman-saab,new cairo,iman saab,cairo,11-50,imansaab.com
egypt,2010,awstreams,marketing and advertising,linkedin.com/company/awstreams,new cairo,awstreams,cairo,51-200,awstreams.com
egypt,2011,steelizer,mechanical or industrial engineering,linkedin.com/company/steelizer,"",steelizer,"",11-50,steelizer.com
egypt,2010,vein-gym,"health, wellness and fitness",linkedin.com/company/vein-gym,new cairo,vein gym,cairo,11-50,veingym.com
egypt,2002,laguna-interiors,design,linkedin.com/company/laguna-interiors,cairo,laguna interiors,cairo,11-50,lagunainteriors.net
egypt,2001,interact-advertising,marketing and advertising,linkedin.com/company/interact-advertising,new cairo,interact advertising,cairo,11-50,interacteg.com
egypt,"",samman-engineering-consulting,construction,linkedin.com/company/samman-engineering-consulting,cairo,samman engineering & consulting,cairo,1001-5000,""
egypt,2008,leadership-coaching-excellence,management consulting,linkedin.com/company/leadership-coaching-excellence,"",lce - life coaching egypt,cairo,1-10,lifecoachingegypt.com
egypt,2005,fmfc-egypt,financial services,linkedin.com/company/fmfc-egypt,"",the first microfinance company - egypt,cairo,201-500,""
egypt,2007,alnamaa-for-consulting-&-trading,"glass, ceramics & concrete",linkedin.com/company/alnamaa-for-consulting-&-trading,"",alnamaa for consulting & trading,giza,11-50,alnamaaco.com
egypt,2019,geoma7fouz,graphic design,linkedin.com/company/geoma7fouz,aswan,mohamed mahfouz (geodes),aswan,1-10,""
egypt,1999,u-turn-menswear,apparel & fashion,linkedin.com/company/u-turn-menswear,cairo,u-turn menswear,cairo,201-500,uturn-store.com
egypt,2018,xtechegy,computer software,linkedin.com/company/xtechegy,giza,xtech,giza,1-10,xtech.ga
egypt,"",lego-real-estate,real estate,linkedin.com/company/lego-real-estate,"",lego real estate,"",11-50,""
egypt,2012,15days-corp,outsourcing/offshoring,linkedin.com/company/15days-corp,"",15days corp global services,"",1-10,15dayscorp.net
egypt,"",arafa-market,"",linkedin.com/company/arafa-market,"",arafa market,"",51-200,arafamarket.com
egypt,2010,mh-housekeeping-consultancy-and-training-services,hospitality,linkedin.com/company/mh-housekeeping-consultancy-and-training-services,cairo,four seasons hospitality services & training,al qahirah,201-500,""
egypt,2014,amwaj-studio---branding-graphic-design-responsive-web-design,graphic design,linkedin.com/company/amwaj-studio---branding-graphic-design-responsive-web-design,new cairo,"amwaj studio - branding, graphic design, responsive web design",cairo,11-50,amwajstudio.com
egypt,2019,errai-agency,marketing and advertising,linkedin.com/company/errai-agency,alexandria,errai agency,alexandria,11-50,errai.co
egypt,1982,unicont-engineering-ltd,construction,linkedin.com/company/unicont-engineering-ltd,cairo,unicont engineering ltd,al qahirah,11-50,uniconteng.com
egypt,"",weber-up,marketing and advertising,linkedin.com/company/weber-up,al mansurah,weber up,ad daqahliyah,11-50,weberup.com
egypt,2013,decor-online-,publishing,linkedin.com/company/decor-online-,giza,decor online ديكور اونلاين,giza,1-10,decoronline.net
egypt,2011,scope-communications-&-advertising,marketing and advertising,linkedin.com/company/scope-communications-&-advertising,cairo,scope communications & advertising,al qahirah,51-200,scope-adv.com
egypt,"",sun&sea-hotel,hospitality,linkedin.com/company/sun&sea-hotel,hurghada,sun&sea hotel hurghada,al bahr al ahmar,51-200,sunandseahurghada.com
egypt,2015,trend-is,information technology and services,linkedin.com/company/trend-is,dokki,trend,giza,11-50,trendecontent.com
egypt,"",lavona-fine-finishing,construction,linkedin.com/company/lavona-fine-finishing,new cairo,lavona fine finishing,cairo,11-50,lavona.net
egypt,2010,pharma-med,translation and localization,linkedin.com/company/pharma-med,cairo,pharma-med,al qahirah,11-50,pharmamed-eg.com
egypt,2008,rma-international-it,professional training & coaching,linkedin.com/company/rma-international-it,"",rma international,"",1-10,rma-international.com
egypt,2020,mebsco,information technology and services,linkedin.com/company/mebsco,"",mebsco,cairo,1-10,mebsco.com
egypt,1999,smart-company-egypt,retail,linkedin.com/company/smart-company-egypt,cairo,smart company,al qahirah,201-500,smart-co.net
egypt,2017,play-c,computer software,linkedin.com/company/play-c,cairo,play(c),cairo,1-10,""
egypt,2013,craft-advertising,marketing and advertising,linkedin.com/company/craft-advertising,cairo,craft advertising,al qahirah,11-50,craft-advertising.com
egypt,2011,serveex,information technology and services,linkedin.com/company/serveex,"",serveex,cairo,51-200,serveex.com
egypt,2017,mariosroof,restaurants,linkedin.com/company/mariosroof,new cairo,mario's lounge,cairo,11-50,mariosroof.com
egypt,2019,almatjar,computer software,linkedin.com/company/almatjar,cairo,al matjar - المتجر,cairo,1-10,almatjar.store
egypt,2017,flowtech-environmental-solutions,machinery,linkedin.com/company/flowtech-environmental-solutions,"",flowtech for environmental solutions,cairo,11-50,flowtech.com.eg
egypt,1995,modern-agricide-company,chemicals,linkedin.com/company/modern-agricide-company,new cairo,modern agricide company,cairo,51-200,mag-eg.com
egypt,2011,acrow-for-integrated-construction-services,construction,linkedin.com/company/acrow-for-integrated-construction-services,cairo,acrow for integrated construction services,al qahirah,51-200,acrowmisr.com
egypt,"",arabic-will-for-trade-and-distribution,import and export,linkedin.com/company/arabic-will-for-trade-and-distribution,"",arabic will for trade and distribution,qalyubia,11-50,""
egypt,1984,systemsengineeringofegypt,information technology and services,linkedin.com/company/systemsengineeringofegypt,"",systems engineering of egypt - see,cairo,201-500,seegypt.com
egypt,1985,maher-milad-iskander-&-co-,legal services,linkedin.com/company/maher-milad-iskander-&-co-,cairo,maher milad iskander & co.,al qahirah,11-50,mahermiladiskander.com
egypt,"",maa-in,media production,linkedin.com/company/maa-in,"",maa/in,"",11-50,""
egypt,"",giza-cables-company,electrical/electronic manufacturing,linkedin.com/company/giza-cables-company,"",giza cables company,"",51-200,""
egypt,"",alarabiya-for-industry-&-trading,machinery,linkedin.com/company/alarabiya-for-industry-&-trading,"",alarabiya for industry & trading,"",11-50,alarabiya-fz.com
egypt,2014,premierealestate,real estate,linkedin.com/company/premierealestate,"",premier brokerage and property management,cairo,11-50,""
egypt,2009,executive-institute,professional training & coaching,linkedin.com/company/executive-institute,"",executive institute,cairo,1-10,exec-inst.com
egypt,"",ministry-of-tourism-in-egypt,government relations,linkedin.com/company/ministry-of-tourism-in-egypt,cairo,ministry of tourism in egypt,cairo governorate,11-50,mint.hr
egypt,"",alrowad-co-,"",linkedin.com/company/alrowad-co-,"",alrowad co.,"",11-50,alrowad-trade.com
egypt,2012,tawasol-center,think tanks,linkedin.com/company/tawasol-center,"",tawasol center,giza,1-10,tawasolcenter.net
egypt,"",el-manar-integrated-solutions,information technology and services,linkedin.com/company/el-manar-integrated-solutions,alexandria,el manar integrated solutions,alexandria,1-10,mis-eg.net
egypt,"",ofokproperties,construction,linkedin.com/company/ofokproperties,cairo,ofokproperties,al qahirah,51-200,ofokproperties.com
egypt,1997,salamastone,building materials,linkedin.com/company/salamastone,new cairo,salama stone,cairo,1-10,""
egypt,1993,darko-constructions-s-a-e,construction,linkedin.com/company/darko-constructions-s-a-e,cairo,darko constructions s.a.e,cairo,51-200,darko-eg.com
