country,founded,id,industry,linkedin_url,locality,name,region,size,website
el salvador,1990,bufete-batlle-portillo,law practice,linkedin.com/company/bufete-batlle-portillo,san salvador,bufete batlle portillo,san salvador,1-10,batlleportillo.com
el salvador,2004,interpack-el-salvador,packaging and containers,linkedin.com/company/interpack-el-salvador,san salvador,interpack el salvador,san salvador,11-50,interpack.com.sv
el salvador,1824,asamblea-legislativa-de-el-salvador,law practice,linkedin.com/company/asamblea-legislativa-de-el-salvador,"",asamblea legislativa de el salvador,"",5001-10000,asamblea.gob.sv
el salvador,2015,skywebplus,program development,linkedin.com/company/skywebplus,san salvador,skywebplus,san salvador,1-10,skywebplus.com
el salvador,2011,hotel-boutique-las-magnolias,hospitality,linkedin.com/company/hotel-boutique-las-magnolias,san salvador,hotel boutique | las magnolias,san salvador,11-50,lasmagnolias.com.sv
el salvador,"",cortesupremasv,judiciary,linkedin.com/company/cortesupremasv,san salvador,corte suprema de justicia / órgano judicial de el salvador,san salvador,5001-10000,csj.gob.sv
el salvador,2013,novosearch-s-a-de-c-v-,human resources,linkedin.com/company/novosearch-s-a-de-c-v-,el salvador,novosearch s.a de c.v.,la union,1-10,novosearchsv.com
el salvador,1960,grupo-fertica-calidad-insuperable,farming,linkedin.com/company/grupo-fertica-calidad-insuperable,san salvador,grupo fertica,san salvador,11-50,fertica.com
el salvador,1978,collegeiaes,higher education,linkedin.com/company/collegeiaes,colonia escalon,american college- el salvador,san salvador,51-200,americancollege.net
el salvador,"",dicho&hecho,marketing and advertising,linkedin.com/company/dicho&hecho,"",dicho&hecho,"",11-50,dyhecho.com
el salvador,"",cactiusa-de-r-l-,"",linkedin.com/company/cactiusa-de-r-l-,"",cactiusa de r.l.,"",51-200,cactiusa.com.sv
el salvador,"",colegio-tomás-alva-edison-nivel-secundaria,primary/secondary education,linkedin.com/company/colegio-tomás-alva-edison-nivel-secundaria,"",colegio tomás alva edison nivel secundaria,san vicente,11-50,""
el salvador,"",almacena,logistics and supply chain,linkedin.com/company/almacena,san juan opico,almacena,la libertad,51-200,almacena.com.sv
el salvador,2004,rethos-reputation-management,public relations and communications,linkedin.com/company/rethos-reputation-management,"",rethos reputation management,"",11-50,rethos-rm.com
el salvador,2009,conexion_sv,information technology and services,linkedin.com/company/conexion_sv,san salvador,conexion el salvador,san salvador,11-50,conexion.sv
el salvador,2004,fiestaparty,events services,linkedin.com/company/fiestaparty,san salvador,fiesta party,san salvador,11-50,grupofiestaparty.com
el salvador,2010,innocom-centroamerica,information technology and services,linkedin.com/company/innocom-centroamerica,san salvador,innocom,san salvador,11-50,innocomla.com
el salvador,1996,salnet-sv,telecommunications,linkedin.com/company/salnet-sv,san salvador,salnet,san salvador,51-200,salnet.net
el salvador,2010,lianan,internet,linkedin.com/company/lianan,ayutuxtepeque,lianan,san salvador,1-10,lianansv.com
el salvador,"",servicios-financieros-s-a-de-c-v-,financial services,linkedin.com/company/servicios-financieros-s-a-de-c-v-,"","servicios financieros, s.a. de c.v.","",11-50,""
el salvador,1994,engineering-company-bim,civil engineering,linkedin.com/company/engineering-company-bim,san salvador,engineering company of central america s.a. / estructuristas consultores (ec),san salvador,51-200,eccentralamerica.com
el salvador,"",excelergy-s-a-de-c-v-,"",linkedin.com/company/excelergy-s-a-de-c-v-,"",excelergy s.a. de c.v.,"",11-50,excelergy.com.sv
el salvador,2010,zanzivar-consulting,information technology and services,linkedin.com/company/zanzivar-consulting,san salvador,zanzivar consulting,san salvador,1-10,zanzivar.com
el salvador,2006,solucionessv,information technology and services,linkedin.com/company/solucionessv,antiguo cuscatlan,solucionessv,la libertad,1-10,solucionessv.net
el salvador,1955,ecasa-panadería-santa-eduvigis-,food & beverages,linkedin.com/company/ecasa-panadería-santa-eduvigis-,san salvador,ecasa (panadería santa eduvigis),san salvador,201-500,santaeduvigis.com
