country,founded,id,industry,linkedin_url,locality,name,region,size,website
estonia,2009,playflame,computer games,linkedin.com/company/playflame,"",playflame,"",1-10,playflame.com
estonia,"",hotell-euroopa,hospitality,linkedin.com/company/hotell-euroopa,"",hotell euroopa,"",11-50,euroopa.ee
estonia,2014,luft-capital-advisory,marketing and advertising,linkedin.com/company/luft-capital-advisory,harju,luft - digital agency,hiiumaa,1-10,luft.tech
estonia,2020,contester,information technology and services,linkedin.com/company/contester,harju,contester,hiiumaa,1-10,contester.net
estonia,1993,decoraas,building materials,linkedin.com/company/decoraas,"",decora as,tartu,201-500,decora.ee
estonia,2014,wizon,information technology and services,linkedin.com/company/wizon,tallinn,wizon,harjumaa,11-50,wizon.ee
estonia,2010,matek-s-r-l-,medical devices,linkedin.com/company/matek-s-r-l-,tallinn,matek s.r.l.,harjumaa,1-10,mateksrl.com
estonia,2018,unicontaeesti,computer software,linkedin.com/company/unicontaeesti,tallinn,uniconta eesti,harjumaa,1-10,uniconta.ee
estonia,1992,rhumveld-baltic-ltd,food production,linkedin.com/company/rhumveld-baltic-ltd,maardu,rhumveld baltic,harjumaa,11-50,""
estonia,2016,bego-solutions-oü,electrical/electronic manufacturing,linkedin.com/company/bego-solutions-oü,tallinn,bego solutions oü,harjumaa,1-10,begosolution.com
estonia,2010,piimameister-otto-rapla-bc,sports,linkedin.com/company/piimameister-otto-rapla-bc,rapla,piimameister otto rapla bc,raplamaa,1-10,""
estonia,2002,revaler,publishing,linkedin.com/company/revaler,tallinn,revaler,harjumaa,1-10,revaler.ee
estonia,1990,fc-flora-tallinn,sports,linkedin.com/company/fc-flora-tallinn,tallinn,fc flora tallinn,harjumaa,51-200,""
estonia,2003,praktik-projektid-mt-,e-learning,linkedin.com/company/praktik-projektid-mt-,"",praktik projektid mtü,"",1-10,praktik.ee
estonia,"",eesti-liikumispuudega-inimeste-liit,information technology and services,linkedin.com/company/eesti-liikumispuudega-inimeste-liit,"",eesti liikumispuudega inimeste liit,"",1-10,elil.ee
estonia,2016,michaelalf,professional training & coaching,linkedin.com/company/michaelalf,tallinn,high performance in the digital age,harjumaa,1-10,michaelalf.com
estonia,"",glasford-international-estonia,staffing and recruiting,linkedin.com/company/glasford-international-estonia,"",glasford international estonia,"",1-10,glasford.ee
