country,founded,id,industry,linkedin_url,locality,name,region,size,website
ethiopia,2013,elilly-international-hotel,hospitality,linkedin.com/company/elilly-international-hotel,addis ababa,elilly international hotel,addis ababa,201-500,elillyhotel.com
ethiopia,2018,reft-real-estate-services-plc,real estate,linkedin.com/company/reft-real-estate-services-plc,"",reft real estate services plc.,addis ababa,51-200,reftrealestate.com
ethiopia,2016,bete-semay-creative-media,marketing and advertising,linkedin.com/company/bete-semay-creative-media,addis ababa,bete-semay creative media,addis ababa,11-50,bete-semay.com
ethiopia,"",citcot,"",linkedin.com/company/citcot,addis ababa,citcot ict consulting plc,addis ababa,1-10,""
ethiopia,2010,one-cent-management-&-marketing-s-c-,investment management,linkedin.com/company/one-cent-management-&-marketing-s-c-,addis abeba,one cent management & marketing s.c.,adis abeba,11-50,ocminvest.com
ethiopia,"",msie,"",linkedin.com/company/msie,"",msie,"",201-500,mariestopes.org.et
ethiopia,2019,royalmarketingagencies,marketing and advertising,linkedin.com/company/royalmarketingagencies,addis ababa,royal marketing agencies,addis ababa,11-50,royalmarketingagencies.co.uk
ethiopia,2004,international-clinical-laboratories,hospital & health care,linkedin.com/company/international-clinical-laboratories,addis ababa,international clinical laboratories icl,addis ababa,201-500,icladdis.com
ethiopia,2015,cred-tech,marketing and advertising,linkedin.com/company/cred-tech,addis ababa,cred.tech,addis ababa,1-10,credtech.net
ethiopia,2008,jazz-amba-school-of-music,higher education,linkedin.com/company/jazz-amba-school-of-music,addis ababa,jazzamba school of music,addis ababa,1-10,jazzambaschoolofmusic.org
ethiopia,1999,unesco-iicba,education management,linkedin.com/company/unesco-iicba,addis abeba,unesco-iicba,adis abeba,11-50,""
ethiopia,2011,midroc-ceo-management-and-leadership-services-plc,management consulting,linkedin.com/company/midroc-ceo-management-and-leadership-services-plc,addis ababa,midroc ceo management and leadership services plc,addis ababa,51-200,midroc-ethiotechgroup.com
ethiopia,2018,enterafrica,civic & social organization,linkedin.com/company/enterafrica,addis ababa,enterafrica,addis ababa,1-10,""
ethiopia,2012,prime-software-plc,information technology and services,linkedin.com/company/prime-software-plc,addis ababa,prime software plc,addis ababa,11-50,primetechplc.com
ethiopia,2009,natran-tour-&-travel-p.l.c,"leisure, travel & tourism",linkedin.com/company/natran-tour-&-travel-p.l.c,addis ababa,natran tour & travel p.l.c,addis ababa,1-10,natrantours.com
ethiopia,"",av-industries-steel-plc,building materials,linkedin.com/company/av-industries-steel-plc,"",av industries steel plc,addis ababa,11-50,av-steel.com
