country,founded,id,industry,linkedin_url,locality,name,region,size,website
finland,1989,kopar-group,mechanical or industrial engineering,linkedin.com/company/kopar-group,"",kopar group,"",51-200,kopar.fi
finland,2001,teknologiakeskus-innopark---technology-centre-innopark,facilities services,linkedin.com/company/teknologiakeskus-innopark---technology-centre-innopark,hameenlinna,teknologiakeskus innopark - technology centre innopark,southern finland,11-50,innopark.fi
finland,"",vp-global-oy,biotechnology,linkedin.com/company/vp-global-oy,joensuu,vp global oy,north karelia,1-10,""
finland,"",pilke-päiväkodit-oy,education management,linkedin.com/company/pilke-päiväkodit-oy,"",pilke päiväkodit oy,"",1001-5000,pilkepaivakodit.fi
finland,1999,voima-kustannus-oy,publishing,linkedin.com/company/voima-kustannus-oy,helsinki,voima kustannus oy,uusimaa,1-10,voima.fi
finland,2016,te3-oy,"health, wellness and fitness",linkedin.com/company/te3-oy,helsinki,te3 oy,southern finland,1-10,te3mobility.com
finland,"",direktmedia-121-oy,marketing and advertising,linkedin.com/company/direktmedia-121-oy,helsinki,bisnode marketing oy,uusimaa,1-10,""
finland,2003,pohjolan-mylly,marketing and advertising,linkedin.com/company/pohjolan-mylly,helsinki,pohjolan mylly,uusimaa,11-50,mylly.fi
finland,"",taito-kymenlaakso-ry,"",linkedin.com/company/taito-kymenlaakso-ry,"",taito kymenlaakso ry,"",1-10,taitokymenlaakso.fi
finland,2013,pohjolasairaala,hospital & health care,linkedin.com/company/pohjolasairaala,helsinki,pohjola sairaala,southern finland,201-500,pohjolasairaala.fi
finland,2015,nepalilainenravintola-imatra,food & beverages,linkedin.com/company/nepalilainenravintola-imatra,imatra,nepalilainen ravintola royal gurkha - imatra,southern finland,1-10,royalgurkha.fi
finland,2001,sigmatic-oy,information technology and services,linkedin.com/company/sigmatic-oy,helsinki,sigmatic oy,uusimaa,11-50,sigmatic.fi
finland,2020,resete,telecommunications,linkedin.com/company/resete,helsinki,resete,southern finland,11-50,resete.fi
finland,"",wartsila-corporation,business supplies and equipment,linkedin.com/company/wartsila-corporation,helsinki,wartsila corporation,uusimaa,51-200,""
finland,2014,mepay,financial services,linkedin.com/company/mepay,espoo,mepay oy,uusimaa,1-10,mepay.fi
finland,2007,lumise,automotive,linkedin.com/company/lumise,lappi,lumise oy,oulu,11-50,lumise.fi
finland,1958,triplex-inc-,wholesale,linkedin.com/company/triplex-inc-,tampere,"triplex, inc.",pirkanmaa,51-200,triplex-inc.com
finland,"",bromance-productions-oy,entertainment,linkedin.com/company/bromance-productions-oy,helsinki,bromance productions oy,southern finland,1-10,bromanceproductions.com
finland,2020,nordic-natural-beauty-awards-ltd,marketing and advertising,linkedin.com/company/nordic-natural-beauty-awards-ltd,jyvaskyla,nordic natural beauty awards ltd,western finland,1-10,nordicnaturalbeautyawards.com
finland,1982,finnfoamoy,building materials,linkedin.com/company/finnfoamoy,salo,finnfoam oy,finland proper,51-200,finnfoam.fi
finland,2006,citywork-oy,staffing and recruiting,linkedin.com/company/citywork-oy,"",citywork oy,"",1001-5000,citywork.fi
finland,1998,rentcenter-tampere-oy,automotive,linkedin.com/company/rentcenter-tampere-oy,tampere,rentcenter tampere oy,pirkanmaa,1-10,rentcenter.net
finland,2007,sauna-from-finland,"health, wellness and fitness",linkedin.com/company/sauna-from-finland,jyvaskyla,sauna from finland,western finland,1-10,saunafromfinland.com
finland,2013,centibel-ltd,internet,linkedin.com/company/centibel-ltd,espoo,centibel,uusimaa,1-10,centibel.com
finland,2008,spraytecoy,mechanical or industrial engineering,linkedin.com/company/spraytecoy,nummela,spraytec oy,uusimaa,1-10,spraytec.fi
finland,"",savon-kuituverkko-oy,telecommunications,linkedin.com/company/savon-kuituverkko-oy,kuopio,savon kuituverkko oy,eastern finland,1-10,savonkuitu.fi
finland,"",autokoulu-smart-driver,education management,linkedin.com/company/autokoulu-smart-driver,turku,autokoulu smart driver,finland proper,1-10,smartdriver.fi
finland,"",kalmariunion-oy,accounting,linkedin.com/company/kalmariunion-oy,turku,kalmariunion oy,finland proper,1-10,kalmaritilintarkastus.fi
finland,2007,mutex-oy,information technology and services,linkedin.com/company/mutex-oy,lappeenranta,mutex oy,south karelia,1-10,muukka.net
finland,2014,agalma-films,media production,linkedin.com/company/agalma-films,"",agalma films,"",1-10,agalmafilms.com
finland,2004,groove-thing-oy,entertainment,linkedin.com/company/groove-thing-oy,oulu,groove thing oy,northern ostrobothnia,1-10,groovething.fi
finland,2016,tee-2-green,sports,linkedin.com/company/tee-2-green,helsinki,tee 2 green oy,uusimaa,1-10,t2g.fi
finland,2018,foreigner-fi,online media,linkedin.com/company/foreigner-fi,espoo,foreigner.fi,uusimaa,11-50,foreigner.fi
finland,2002,arkkitehdit-kirsi-korhonen-ja-mika-penttinen-oy,architecture & planning,linkedin.com/company/arkkitehdit-kirsi-korhonen-ja-mika-penttinen-oy,helsinki,arkkitehdit kirsi korhonen ja mika penttinen oy,southern finland,11-50,kp-ark.fi
finland,2010,fitcomm,public relations and communications,linkedin.com/company/fitcomm,helsinki,fitcomm,southern finland,1-10,fitcomm.fi
finland,"",pohjois-karjalan-kansanterveyden-keskus---north-carelia-center-for-public-health,"health, wellness and fitness",linkedin.com/company/pohjois-karjalan-kansanterveyden-keskus---north-carelia-center-for-public-health,joensuu,pohjois-karjalan kansanterveyden keskus - north carelia center for public health,north karelia,11-50,kansanterveys.info
finland,2017,mevent-oy,events services,linkedin.com/company/mevent-oy,tampere,mevent oy,pirkanmaa,1-10,mevent.fi
finland,2001,quattroservices-oy,mechanical or industrial engineering,linkedin.com/company/quattroservices-oy,espoo,quattroservices oy,uusimaa,51-200,quattroservices.fi
finland,2011,saunayoga-international-ltd,"health, wellness and fitness",linkedin.com/company/saunayoga-international-ltd,helsinki,saunayoga international ltd,uusimaa,1-10,saunayoga.com
finland,2018,gofinance-fi,financial services,linkedin.com/company/gofinance-fi,helsinki,gofinance.fi,uusimaa,1-10,gofinance.fi
finland,"",teohydrauli,wholesale,linkedin.com/company/teohydrauli,espoo,teohydrauli,southern finland,11-50,teohydrauli.fi
finland,"",omago,automotive,linkedin.com/company/omago,helsinki,omago oy,southern finland,1-10,omago.fi
finland,"",metsa-wood,building materials,linkedin.com/company/metsa-wood,espoo,metsä wood,southern finland,1001-5000,metsawood.com
finland,"",binary-solutions,information technology and services,linkedin.com/company/binary-solutions,"",binary solutions,"",1-10,binary.fi
finland,"",ahltronix-oy,electrical/electronic manufacturing,linkedin.com/company/ahltronix-oy,"",ahltronix oy,"",201-500,""
finland,"",luxaflex-scandinavia,"",linkedin.com/company/luxaflex-scandinavia,"",luxaflex scandinavia,"",1-10,luxaflex.fi
finland,2017,kasvuio,fund-raising,linkedin.com/company/kasvuio,"",kasvu.io growth venture oy,"",1-10,kasvu.io
finland,2016,rushfinland,sports,linkedin.com/company/rushfinland,helsinki,rushfinland,uusimaa,11-50,rushfinland.fi
finland,2010,metosin,information technology and services,linkedin.com/company/metosin,tampere,metosin,pirkanmaa,11-50,metosin.fi
finland,2015,vestiarium-oy,apparel & fashion,linkedin.com/company/vestiarium-oy,helsinki,vestiarium oy,southern finland,1-10,vestiarium.net
finland,2012,artsmanagementh,performing arts,linkedin.com/company/artsmanagementh,helsinki,arts management helsinki,uusimaa,1-10,artsmanagement.fi
finland,2020,ankaafinland,textiles,linkedin.com/company/ankaafinland,tampere,ankaa finland,pirkanmaa,1-10,ankaa-store.com
finland,2002,ahooycreative,marketing and advertising,linkedin.com/company/ahooycreative,savo,ahooy creative,western finland,11-50,ahooy.fi
finland,1904,tampereen-teatteri,performing arts,linkedin.com/company/tampereen-teatteri,tampere,tampereen teatteri,pirkanmaa,51-200,tampereenteatteri.fi
finland,2017,turhat-oy,entertainment,linkedin.com/company/turhat-oy,"",turhat oy,"",1-10,turhat.com
finland,2009,cinnamon-graphics,graphic design,linkedin.com/company/cinnamon-graphics,kiiminki,cinnamon graphics,northern ostrobothnia,1-10,cinnamon.fi
finland,"",nammo-vihtavuori-oy,defense & space,linkedin.com/company/nammo-vihtavuori-oy,laukaa,nammo vihtavuori oy,central finland,51-200,vihtavuori.com
finland,2015,halie-oy,marketing and advertising,linkedin.com/company/halie-oy,espoo,halie oy,uusimaa,1-10,halie.fi
finland,2014,hervanta-consulting-group-hcg-,management consulting,linkedin.com/company/hervanta-consulting-group-hcg-,tampere,hervanta consulting group (hcg),pirkanmaa,1-10,hervantaconsulting.com
finland,2003,probis-solutions-oy,information technology and services,linkedin.com/company/probis-solutions-oy,jyvaskyla,probis solutions oy,western finland,11-50,probissolutions.fi
finland,2015,fineq-international-oy,consumer goods,linkedin.com/company/fineq-international-oy,kontiolahti,fineq international oy,eastern finland,1-10,fineq.fi
finland,2010,variantti-oy,management consulting,linkedin.com/company/variantti-oy,lohja,variantti oy,uusimaa,1-10,variantti.fi
finland,2015,shrifinland,telecommunications,linkedin.com/company/shrifinland,turku,moitele.com,finland proper,1-10,moitele.com
finland,2002,ac-oulu,sports,linkedin.com/company/ac-oulu,"",ac oulu,oulu,11-50,acoulu.fi
finland,1995,uudistunet-oy,management consulting,linkedin.com/company/uudistunet-oy,lahti,uudistunet oy,päijänne tavastia,1-10,uudistu.net
finland,2010,educluster-finland,education management,linkedin.com/company/educluster-finland,jyvaskyla,educluster finland,western finland,51-200,educlusterfinland.fi
finland,2013,vakuutusvahti-oy,insurance,linkedin.com/company/vakuutusvahti-oy,helsinki,vakuutusvahti oy,southern finland,1-10,vakuutusvahti.fi
finland,2007,syfo-oy,management consulting,linkedin.com/company/syfo-oy,helsinki,syfo oy,uusimaa,1-10,syfo.fi
finland,2010,rehakka-group,automotive,linkedin.com/company/rehakka-group,pirkkala,rehakka group oy,pirkanmaa,1-10,rehakkagroup.com
finland,1987,havi-oy,consumer goods,linkedin.com/company/havi-oy,imatra,havi oy,southern finland,51-200,havipro.fi
finland,2013,design-via-liivika,design,linkedin.com/company/design-via-liivika,helsinki,design via liivika,uusimaa,1-10,dvl.fi
finland,2015,inia-solutions,information technology and services,linkedin.com/company/inia-solutions,helsinki,inia solutions,uusimaa,1-10,inia.fi
