country,founded,id,industry,linkedin_url,locality,name,region,size,website
france,1967,gedimat-favre-d-anne,wholesale,linkedin.com/company/gedimat-favre-d-anne,thones,gedimat favre d'anne,haute-savoie,11-50,""
france,2014,couleur-velvet-communication,marketing and advertising,linkedin.com/company/couleur-velvet-communication,cannes,couleur velvet communication,provence-alpes-cote d'azur,11-50,couleurvelvet.com
france,"",hn-ingenierie-sa,architecture & planning,linkedin.com/company/hn-ingenierie-sa,hoenheim,hn ingenierie sa,alsace,11-50,""
france,"",ami-yoga,sports,linkedin.com/company/ami-yoga,fouesnant,ami yoga,bretagne,1-10,""
france,"",magasin-vert,retail,linkedin.com/company/magasin-vert,marseille,magasin vert,provence-alpes-cote d'azur,51-200,""
france,2011,dr-works,architecture & planning,linkedin.com/company/dr-works,suresnes,dr works,ile-de-france,11-50,drworks.fr
france,2006,complexio,research,linkedin.com/company/complexio,paris,complexio,ile-de-france,1-10,complexio.eu
france,"",cabinet-berson-et-associés,accounting,linkedin.com/company/cabinet-berson-et-associés,soissons,cabinet berson et associés,hauts-de-france,1-10,""
france,2008,clardim,real estate,linkedin.com/company/clardim,chatillon,cabinet clardim,ile-de-france,1-10,clardim.fr
france,"",ja-trade,retail,linkedin.com/company/ja-trade,haguenau,ja trade,grand est,11-50,jatrade.fr
france,2002,protiviti-france,management consulting,linkedin.com/company/protiviti-france,france,protiviti france,aquitaine,51-200,protiviti.fr
france,"",sorti,restaurants,linkedin.com/company/sorti,nice,sorti,provence-alpes-cote d'azur,11-50,""
france,1937,canon-france,consumer electronics,linkedin.com/company/canon-france,"",canon france,"",1001-5000,canon.fr
france,2007,agri-sud-ouest-innovation,food production,linkedin.com/company/agri-sud-ouest-innovation,"",agri sud-ouest innovation,"",11-50,agrisudouest.com
france,"",lycee-henri-becquerel,primary/secondary education,linkedin.com/company/lycee-henri-becquerel,nangis,lycee henri becquerel,ile-de-france,51-200,""
france,1993,le-bowl,"leisure, travel & tourism",linkedin.com/company/le-bowl,annecy,le bowl,rhone-alpes,11-50,le-bowl.com
france,"",lyonnaise-de-salaison,food production,linkedin.com/company/lyonnaise-de-salaison,duerne,lyonnaise de salaison,rhone-alpes,1-10,""
france,2010,shop-leader-in-paris,commercial real estate,linkedin.com/company/shop-leader-in-paris,france,shop leader in paris,aquitaine,1-10,shop-leader-in-paris.com
france,"",lataste,financial services,linkedin.com/company/lataste,cerons,lataste,aquitaine,11-50,""
france,1999,lohr-service,automotive,linkedin.com/company/lohr-service,duppigheim,lohr service,alsace,51-200,lohrservice.com
france,1985,champagne-thienot,wine and spirits,linkedin.com/company/champagne-thienot,reims,champagne thiénot,grand est,11-50,thienot.com
france,"",optimisme-23,management consulting,linkedin.com/company/optimisme-23,paris,optimisme 23,ile-de-france,1-10,optimisme23.com
france,"",sn-smtm,transportation/trucking/railroad,linkedin.com/company/sn-smtm,"",sn smtm,"",11-50,snsmtm.fr
france,2006,adiate,transportation/trucking/railroad,linkedin.com/company/adiate,france,adiate,aquitaine,1001-5000,adiate.fr
france,"",dataservices,wholesale,linkedin.com/company/dataservices,courtry,dataservices,ile-de-france,11-50,dataservices.fr
france,"",mercure-grenoble-centre-alpotel,hospitality,linkedin.com/company/mercure-grenoble-centre-alpotel,grenoble,mercure grenoble centre alpotel,auvergne-rhône-alpes,1-10,""
france,2007,la-lettre-de-galilée,government administration,linkedin.com/company/la-lettre-de-galilée,grabels,la lettre de galilée,occitanie,1-10,lalettredegalilee.fr
france,1988,plebac,construction,linkedin.com/company/plebac,merignac,plebac,aquitaine,11-50,plebac.com
