country,founded,id,industry,linkedin_url,locality,name,region,size,website
georgia,2019,monograph-freedom-square,hospitality,linkedin.com/company/monograph-freedom-square,tbilisi,monograph freedom square,t'bilisi,51-200,monographtbilisi.com
georgia,2010,georgian-earth-travel,"leisure, travel & tourism",linkedin.com/company/georgian-earth-travel,vake,georgian earth travel,goris raioni,1-10,georgianearthtravel.com
georgia,2016,laituri,food & beverages,linkedin.com/company/laituri,ozurgeti,laituri - tea export company,guria,1-10,greengold.com.ge
georgia,2003,british-centre-llc-,education management,linkedin.com/company/british-centre-llc-,"",british centre llc / ბრიტანული ცენტრი,t'bilisi,51-200,britishcentre.ge
georgia,"",bauweg,building materials,linkedin.com/company/bauweg,"",bauweg,t'bilisi,11-50,bauweg.ge
georgia,2008,nutrimax-ნუტრიმაქსი,food production,linkedin.com/company/nutrimax-ნუტრიმაქსი,tbilisi,nutrimax/ნუტრიმაქსი,t'bilisi,11-50,nutrimax.ge
georgia,2016,hand4help,biotechnology,linkedin.com/company/hand4help,"",hand4help,t'bilisi,1-10,hand4help.com
georgia,2002,enterprisegeorgia,investment management,linkedin.com/company/enterprisegeorgia,tbilisi,georgian national investment agency,t'bilisi,11-50,investingeorgia.org
georgia,2015,2x2,real estate,linkedin.com/company/2x2,"","",t'bilisi,11-50,2x2.ge
georgia,2007,gsg_2007,outsourcing/offshoring,linkedin.com/company/gsg_2007,"",gsg_2007,t'bilisi,201-500,gsg.ge
georgia,2012,leader-cement-llc,building materials,linkedin.com/company/leader-cement-llc,tbilisi,"leader cement, llc",dushet'is raioni,11-50,leadercement.ge
georgia,1994,საია-gyla,non-profit organization management,linkedin.com/company/საია-gyla,"",საია/gyla,t'bilisi,51-200,gyla.ge
georgia,1996,jsc-ues-sakrusenergo,oil & energy,linkedin.com/company/jsc-ues-sakrusenergo,mukhiani,jsc ues sakrusenergo,tsalkis raioni,201-500,sakrusenergo.ge
georgia,2020,onxllc,information technology and services,linkedin.com/company/onxllc,"",onx llc,t'bilisi,1-10,onx.ge
georgia,2010,swisscapital,financial services,linkedin.com/company/swisscapital,"",jsc mfo swiss capital,t'bilisi,201-500,swisscapital.ge
georgia,2014,jsc-panex,building materials,linkedin.com/company/jsc-panex,rust’avi,jsc panex,kvemo kartli,51-200,panex.ge
georgia,2002,icc-georgia,public policy,linkedin.com/company/icc-georgia,tbilisi,icc georgia,dushet'is raioni,11-50,""
georgia,"",cosmo-freight-llc,transportation/trucking/railroad,linkedin.com/company/cosmo-freight-llc,tbilisi,cosmo freight llc,t'bilisi,1-10,cosmofreight.ge
georgia,2015,beneficaba,venture capital & private equity,linkedin.com/company/beneficaba,tbilisi,alphacapital,t'bilisi,1-10,investments.ge
georgia,2013,protravel-georgia,"leisure, travel & tourism",linkedin.com/company/protravel-georgia,tbilisi,protravel georgia,dushet'is raioni,1-10,protravelgeorgia.com
georgia,"",ავერსის-კლინიკა-•-aversi-clinic,hospital & health care,linkedin.com/company/ავერსის-კლინიკა-•-aversi-clinic,tbilisi,ავერსის კლინიკა • aversi clinic,t'bilisi,1001-5000,aversiclinic.ge
georgia,2014,tissuepaper-ltd,paper & forest products,linkedin.com/company/tissuepaper-ltd,tbilisi,tissuepaper ltd,t'bilisi,51-200,tissuepaper.ge
georgia,2018,upspot-ge,management consulting,linkedin.com/company/upspot-ge,tbilisi,upspot.ge,t'bilisi,11-50,upspot.ge
georgia,"",euro-business-consulting-llc,management consulting,linkedin.com/company/euro-business-consulting-llc,"",euro business consulting llc,t'bilisi,11-50,eurobusiness.ge
georgia,"",insurance-group-of-georgia-igg,insurance,linkedin.com/company/insurance-group-of-georgia-igg,tbilisi,insurance group of georgia - igg,t'bilisi,11-50,igg.ge
georgia,2019,raninatours,"leisure, travel & tourism",linkedin.com/company/raninatours,"",ranina tours,t'bilisi,11-50,raninatours.com
georgia,2016,caspian-inspection-company-llc,public safety,linkedin.com/company/caspian-inspection-company-llc,"",caspian inspection company llc,t'bilisi,11-50,cic.com.az
georgia,2013,csk-logistics,transportation/trucking/railroad,linkedin.com/company/csk-logistics,tbilisi,csk logistics,dushet'is raioni,1-10,csk.ge
georgia,2013,audit-and-legal-service,legal services,linkedin.com/company/audit-and-legal-service,tbilisi,audit and legal service,dushet'is raioni,11-50,alservice.ge
georgia,2013,tourinvestllc,real estate,linkedin.com/company/tourinvestllc,batumi,tour invest,ajaria,501-1000,bellevuebatumi.com
georgia,2018,georgian-retailers-association,civic & social organization,linkedin.com/company/georgian-retailers-association,tbilisi,georgian retailers association,t'bilisi,1-10,""
georgia,2007,hualingtbilisiseaplaza,commercial real estate,linkedin.com/company/hualingtbilisiseaplaza,vazisubani,hualing • tbilisi sea plaza,sagarejos raioni,501-1000,""
georgia,2014,ltd-cresco-consulting,financial services,linkedin.com/company/ltd-cresco-consulting,tbilisi,cresco consulting,t'bilisi,1-10,cresco.ge
georgia,2015,educationhub-ge,education management,linkedin.com/company/educationhub-ge,tbilisi,education hub,t'bilisi,11-50,""
georgia,2015,private-banker-wealth-management,financial services,linkedin.com/company/private-banker-wealth-management,"",private banker | wealth management,t'bilisi,1-10,banker.com.ge
georgia,2001,mrcheveli---european-limbach-diagnostic-group,medical practice,linkedin.com/company/mrcheveli---european-limbach-diagnostic-group,"",mrcheveli - european limbach diagnostic group,t'bilisi,51-200,mrcheveli.com
georgia,2001,ktw-group-ltd,wine and spirits,linkedin.com/company/ktw-group-ltd,"",kakhetian traditional winemaking (ktw group),t'bilisi,201-500,ktwgroup.ge
