country,founded,id,industry,linkedin_url,locality,name,region,size,website
germany,2017,greenrock-management-gmbh-co-kg,real estate,linkedin.com/company/greenrock-management-gmbh-co-kg,traunstein,greenrock management gmbh,bayern,11-50,greenrock.by
germany,2001,bsn-medical,medical devices,linkedin.com/company/bsn-medical,hamburg,bsn medical,hamburg,5001-10000,bsnmedical.com
germany,"",us-heffingen,sports,linkedin.com/company/us-heffingen,frankfurt am main,us heffingen,hesse,11-50,""
germany,2014,prothelisgmbh,information technology and services,linkedin.com/company/prothelisgmbh,"",prothelis gmbh,"",11-50,prothelis.de
germany,"",werbeagentur-rotmedia,marketing and advertising,linkedin.com/company/werbeagentur-rotmedia,zweibrücken,werbeagentur rotmedia,rheinland-pfalz,1-10,rotmedia.de
germany,"",wenvestcapital,venture capital & private equity,linkedin.com/company/wenvestcapital,munich,wenvest capital gmbh,bavaria,1-10,wenvest.capital
germany,2002,synex-consulting-ltd,hospital & health care,linkedin.com/company/synex-consulting-ltd,hilden,synex consulting ltd (korea),nordrhein-westfalen,51-200,synex.co.kr
germany,1992,af-data-systems-gmbh,information technology and services,linkedin.com/company/af-data-systems-gmbh,bayern,af data systems gmbh,bayern,1-10,afdata.de
germany,"",kita-kiwi,civic & social organization,linkedin.com/company/kita-kiwi,brandenburg an der havel,kita kiwi,brandenburg,1-10,wir-ev-brb.de
germany,"",berufskolleg,"",linkedin.com/company/berufskolleg,waldenburg,berufskolleg,baden-württemberg region,501-1000,berufskolleg-waldenburg.de
germany,"",viccon-gmbh,building materials,linkedin.com/company/viccon-gmbh,"",viccon gmbh,"",11-50,viccon.de
germany,1965,kem-küppers-elektromechanik-gmbh,mechanical or industrial engineering,linkedin.com/company/kem-küppers-elektromechanik-gmbh,karlsfeld,kem küppers elektromechanik gmbh,bayern,51-200,kem-kueppers.com
germany,"",mas-kältetechnik,machinery,linkedin.com/company/mas-kältetechnik,rosslau,mas-kältetechnik,sachsen-anhalt,1-10,mas-kaeltetechnik.de
germany,"",bernecker-rohrbefestigungstechnik-gmbh,construction,linkedin.com/company/bernecker-rohrbefestigungstechnik-gmbh,"",bernecker rohrbefestigungstechnik gmbh,"",11-50,bernecker-gmbh.com
germany,"",damo,"",linkedin.com/company/damo,"",damo,"",11-50,damo-feinmechanik.de
germany,"",macoweda-institut-berlin,alternative medicine,linkedin.com/company/macoweda-institut-berlin,"",macoweda institut berlin,"",1-10,macoweda.de
germany,"",bioworks-verfahrenstechnik,environmental services,linkedin.com/company/bioworks-verfahrenstechnik,"",bioworks verfahrenstechnik,"",51-200,bioworks-gmbh.de
germany,"",organic-society,"",linkedin.com/company/organic-society,augsburg,organic society,bavaria,1-10,twoday.net
germany,"",kreisverwaltung-des-westerwaldkreises,computer & network security,linkedin.com/company/kreisverwaltung-des-westerwaldkreises,montabaur,kreisverwaltung des westerwaldkreises,rheinland-pfalz,1-10,westerwald-kreis.de
germany,"",spiegels-gmbh-u.-co-kg,furniture,linkedin.com/company/spiegels-gmbh-u.-co-kg,nettetal,spiegels gmbh u. co kg,nordrhein-westfalen,11-50,spiegels.de
germany,1907,paulkoester,machinery,linkedin.com/company/paulkoester,medebach,paul köster gmbh,north rhine-westphalia,201-500,paul-koester.de
germany,"",einguterverlag,publishing,linkedin.com/company/einguterverlag,berlin,ein guter verlag,berlin,1-10,einguterplan.de
