country,founded,id,industry,linkedin_url,locality,name,region,size,website
ghana,"",koranteng-koranteng-legal-advisors,law practice,linkedin.com/company/koranteng-koranteng-legal-advisors,accra,koranteng & koranteng legal advisors,greater accra,1-10,korantenglaw.com
ghana,"",richsy-consult,staffing and recruiting,linkedin.com/company/richsy-consult,"",richsy consult,"",1-10,richsyconsult.com
ghana,"",magsen-limited,electrical/electronic manufacturing,linkedin.com/company/magsen-limited,"",magsen limited,"",11-50,magsenltd.com
ghana,"",arvive,computer software,linkedin.com/company/arvive,accra,arvive,greater accra,1-10,arvive.com
ghana,1998,staroilgh,oil & energy,linkedin.com/company/staroilgh,accra,staroil,greater accra,501-1000,staroil.com.gh
ghana,2013,rad-communications-llcgh,public relations and communications,linkedin.com/company/rad-communications-llcgh,accra,rad communications llc,greater accra,11-50,radcommllc.com
ghana,2015,crowdfrica,internet,linkedin.com/company/crowdfrica,accra,crowdfrica,greater accra,1-10,crowdfrica.org
ghana,2016,voyagesafriq-media-ltd,media production,linkedin.com/company/voyagesafriq-media-ltd,accra,voyagesafriq travel media,greater accra,1-10,voyagesafriq.com
ghana,"",african-gemo-resources-ltd-,management consulting,linkedin.com/company/african-gemo-resources-ltd-,"",african gemo resources ltd.,"",1-10,""
ghana,"",blueroselimited,real estate,linkedin.com/company/blueroselimited,accra,blue rose limited,greater accra,51-200,blueroselimited.com
ghana,2020,theafricanexporter-com,internet,linkedin.com/company/theafricanexporter-com,accra,theafricanexporter.com,greater accra,1-10,theafricanexporter.com
ghana,2006,ntiamoah-foundation,non-profit organization management,linkedin.com/company/ntiamoah-foundation,accra,ntiamoah foundation,greater accra,1-10,ntiamoahfoundation.org
ghana,2016,micaisoft,computer software,linkedin.com/company/micaisoft,"",micaisoft,eastern,1-10,micaisoft.com
ghana,"",steemrepublic,computer software,linkedin.com/company/steemrepublic,accra,steem republic,greater accra,1-10,steemrepublic.com
ghana,1991,regimanuel-gray-limited,real estate,linkedin.com/company/regimanuel-gray-limited,accra,regimanuel gray limited,greater accra,51-200,""
ghana,2013,mcabe-solutions,information technology and services,linkedin.com/company/mcabe-solutions,accra,mcabe solutions,greater accra,11-50,mcabesolutions.com
ghana,2002,ashesi-career-services-centre,higher education,linkedin.com/company/ashesi-career-services-centre,"",ashesi career services centre,eastern,1-10,""
ghana,2010,salvation-junior-youth-organization,non-profit organization management,linkedin.com/company/salvation-junior-youth-organization,"",salvation junior youth organization,central,51-200,sajyorg.com
ghana,2013,african-independent-feeder-ghana-limited-aifeeder-,maritime,linkedin.com/company/african-independent-feeder-ghana-limited-aifeeder-,tema,african independent feeder ghana limited (aifeeder),volta,1-10,aifeeder.com
ghana,2018,233-street-law,media production,linkedin.com/company/233-street-law,accra,233 street law,greater accra,1-10,""
ghana,2018,vantage-reach,professional training & coaching,linkedin.com/company/vantage-reach,accra,prorite consulting,greater accra,1-10,""
ghana,2005,sunny-acres,accounting,linkedin.com/company/sunny-acres,nsawam,sunny acres,eastern,11-50,sunnyacresca.com
ghana,2019,nativetemple,information technology and services,linkedin.com/company/nativetemple,kumasi,nativetemple,ashanti,11-50,nativetemple.net
ghana,2001,west-african-monetary-institute,financial services,linkedin.com/company/west-african-monetary-institute,accra,west african monetary institute,greater accra,11-50,wami-imao.org
ghana,2012,newsghana,online media,linkedin.com/company/newsghana,wa,news ghana,upper west,1-10,newsghana.com.gh
ghana,"",complete-car-care-ccc-,automotive,linkedin.com/company/complete-car-care-ccc-,accra,complete car care (ccc),greater accra,11-50,cccghana.net
ghana,1953,gcbbank,banking,linkedin.com/company/gcbbank,accra,gcb bank limited,greater accra,1001-5000,gcb.com.gh
ghana,2019,youth-legacy-ghana,non-profit organization management,linkedin.com/company/youth-legacy-ghana,winneba,youth legacy ghana,central,1-10,youthlegacyghana.org
ghana,2015,center-for-integrated-rural-and-child-development,non-profit organization management,linkedin.com/company/center-for-integrated-rural-and-child-development,kumasi,center for integrated rural and child development (circdev),ashanti,11-50,circdev.org
ghana,2013,wineloya-digital-advertising,marketing and advertising,linkedin.com/company/wineloya-digital-advertising,accra,wineloya digital advertising,greater accra,11-50,wineloya.com
ghana,2005,macro-shipping-limited,logistics and supply chain,linkedin.com/company/macro-shipping-limited,accra,macro shipping limited,greater accra,51-200,macroshipping.com.gh
ghana,"",american-chamber-of-commerce-in-ghana,non-profit organization management,linkedin.com/company/american-chamber-of-commerce-in-ghana,accra,american chamber of commerce in ghana,greater accra,1-10,""
ghana,"",damco-rigworld-ghana-ltd,oil & energy,linkedin.com/company/damco-rigworld-ghana-ltd,accra,damco rigworld ghana ltd,greater accra,11-50,""
ghana,2015,sai-wine-and-champagne-café,food & beverages,linkedin.com/company/sai-wine-and-champagne-café,accra,sai wine and champagne café,greater accra,1-10,sai-ghana.com
ghana,2002,web-&-software-limited,information technology and services,linkedin.com/company/web-&-software-limited,tema,web & software limited,volta,51-200,webandsoftware.com
ghana,"",ghlisting,marketing and advertising,linkedin.com/company/ghlisting,"",ghlisting,"",11-50,ghlisting.com
ghana,2004,colandefghana,non-profit organization management,linkedin.com/company/colandefghana,accra,colandef,greater accra,11-50,colandef.org
ghana,2018,excel-hr-consult,human resources,linkedin.com/company/excel-hr-consult,accra,excel hr consult,greater accra,1-10,excelhrconsult.com
ghana,"",ahg-properties,real estate,linkedin.com/company/ahg-properties,accra,ahg properties,greater accra,1-10,ahgproperty.com
ghana,2017,fncee-consultgh,management consulting,linkedin.com/company/fncee-consultgh,accra,fncee consult,greater accra,51-200,fnceeconsult.com
ghana,2018,africa-business-bureau,venture capital & private equity,linkedin.com/company/africa-business-bureau,tema,africa business bureau,volta,1-10,africabusinessbureau.com
ghana,2014,leadership-aid-board,civic & social organization,linkedin.com/company/leadership-aid-board,"",leadership aid board,greater accra,11-50,leadershipaid.org
ghana,2019,restho-hospitality,hospitality,linkedin.com/company/restho-hospitality,accra,restho hospitality,greater accra,11-50,resthohospitality.com
ghana,2010,prime-logistics-property-management-services,business supplies and equipment,linkedin.com/company/prime-logistics-property-management-services,accra,prime logistics property management services,greater accra,1-10,primelogisticsgh.com
ghana,2013,africa-new-media,marketing and advertising,linkedin.com/company/africa-new-media,"",africa new media,"",1-10,africanewmedia.org
ghana,"",overseas-commerce-ghana-limited,warehousing,linkedin.com/company/overseas-commerce-ghana-limited,tema,overseas commerce ghana limited,greater accra,201-500,overseascommercegh.com
ghana,2005,uboss-ghana-limited,mechanical or industrial engineering,linkedin.com/company/uboss-ghana-limited,takoradi,uboss ghana,western,1-10,ubossghana.com
ghana,2013,sheltermart,real estate,linkedin.com/company/sheltermart,accra,shelter mart ghana ltd,greater accra,51-200,sheltermartgh.com
