country,founded,id,industry,linkedin_url,locality,name,region,size,website
greece,2012,inab-certh,research,linkedin.com/company/inab-certh,"",inab - institute of applied biosciences,central macedonia,51-200,""
greece,2006,comquent-mepe,information technology and services,linkedin.com/company/comquent-mepe,thermi,comquent gmbh,thessaloniki,11-50,comquent.de
greece,"",nanophos-sa,nanotechnology,linkedin.com/company/nanophos-sa,"",nanophos sa,"",1-10,""
greece,2006,euromedica-rhodes-euromedica-general-hospital-of-rhodes,hospital & health care,linkedin.com/company/euromedica-rhodes-euromedica-general-hospital-of-rhodes,rhodes,euromedica rhodes/euromedica general hospital of rhodes,dodecanese,51-200,euromedica-rhodes.gr
greece,2007,waveblue,maritime,linkedin.com/company/waveblue,piraeus,waveblue,attica,1-10,waveblue.co.uk
greece,2002,pasiphae-lab,research,linkedin.com/company/pasiphae-lab,iraklion,"research & development of telecommunications systems laboratory "pasiphae "",iraklion,11-50,pasiphae.eu
greece,1993,xrisi-efkeria,internet,linkedin.com/company/xrisi-efkeria,athens,xrisi efkeria group,attica,51-200,xe.gr
greece,1969,kalivis-sa,building materials,linkedin.com/company/kalivis-sa,athens,kalivis sa,attiki,11-50,kalivis.gr
greece,2010,tekmon-geomatics,information technology and services,linkedin.com/company/tekmon-geomatics,"",tekmon geomatics,ioannina,1-10,tekmon.eu
greece,1980,olympia-group-of-companies,investment management,linkedin.com/company/olympia-group-of-companies,athens,olympia group of companies,attica,5001-10000,olympiagroup.gr
greece,"",que-technologies,information technology and services,linkedin.com/company/que-technologies,athens,que technologies,attiki,1-10,que-tech.com
greece,1996,teleresponse-s-a-,logistics and supply chain,linkedin.com/company/teleresponse-s-a-,athens,teleresponse s.a.,attiki,11-50,teleresponse.gr
greece,1960,rigas-cucine,furniture,linkedin.com/company/rigas-cucine,kalamaria,rigas cucine,thessaloniki,1-10,rigas-cucine.gr
greece,"",the-secret-place,"",linkedin.com/company/the-secret-place,"",the secret place,"",51-200,thesecretplace.gr
greece,2015,bernard's-corporate-financial-consultancy,financial services,linkedin.com/company/bernard's-corporate-financial-consultancy,athens,bernard's corporate financial consultancy,attiki,11-50,bernardscfc.com
greece,"",pvk-group-comp,international trade and development,linkedin.com/company/pvk-group-comp,piraeus,pvk group of companies,attica,1-10,pvkcompany.gr
greece,2016,astralon,internet,linkedin.com/company/astralon,athens,astralón,attiki,1-10,astralon.gr
greece,1978,woodworks-dianellos,furniture,linkedin.com/company/woodworks-dianellos,"",woodworks dianellos,"",1-10,dianellos.com
greece,2015,3dlife.gr,design,linkedin.com/company/3dlife.gr,marousi,3d life s.a. greece,attica,1-10,3dlife.gr
greece,2013,eulambia,semiconductors,linkedin.com/company/eulambia,moschato,eulambia,nomos kardhitsas,1-10,""
greece,2017,oramaplus,graphic design,linkedin.com/company/oramaplus,rhodes,orama  plus creative services,dodecanese,1-10,oramaplus.com
greece,2008,eyde-etak-mia-rtdi-,government administration,linkedin.com/company/eyde-etak-mia-rtdi-,"",ευδε-ετακ (mia-rtdi),"",11-50,eyde-etak.gr
greece,"",diamesos,"",linkedin.com/company/diamesos,"",diamesos,"",11-50,diamesos.gr
greece,2016,digitalacesgr,marketing and advertising,linkedin.com/company/digitalacesgr,thessaloniki,digital aces,thessaloniki,1-10,""
greece,2018,dukes-exclusive-fitness-services,"health, wellness and fitness",linkedin.com/company/dukes-exclusive-fitness-services,athens,dukes exclusive fitness services,attica,1-10,dukesfitness.gr
greece,2012,mobiplus,information technology and services,linkedin.com/company/mobiplus,athens,mobiplus,attiki,11-50,mobiplus.co
greece,1990,poriotis-fair-faced-concrete,construction,linkedin.com/company/poriotis-fair-faced-concrete,kifisia,poriotis fair faced concrete,attiki,11-50,poriotis.gr
greece,2007,irida-labs,semiconductors,linkedin.com/company/irida-labs,"",irida labs,"",11-50,iridalabs.gr
greece,1998,directed-greece,consumer electronics,linkedin.com/company/directed-greece,thessaloniki,directed greece,thessaloniki,1-10,directed.gr
greece,2012,exelixis-software,computer software,linkedin.com/company/exelixis-software,thessaloniki,exelixis software,thessaloniki,1-10,exelixis-software.gr
greece,"",greek-national-opera,performing arts,linkedin.com/company/greek-national-opera,athens,greek national opera,attiki,201-500,nationalopera.gr
greece,"",hellenic-anti-money-laundering-commission,government administration,linkedin.com/company/hellenic-anti-money-laundering-commission,"",hellenic anti money laundering commission,"",11-50,hellenic-fiu.gr
greece,"",qrpatrol---the-smartest-guard-tour-patrol-system,security and investigations,linkedin.com/company/qrpatrol---the-smartest-guard-tour-patrol-system,ioannina,qrpatrol - the smartest guard tour patrol system,ioannina,11-50,qrpatrol.com
greece,2018,euro-club-yachts-in-greece-lp,maritime,linkedin.com/company/euro-club-yachts-in-greece-lp,athens,euro club yachts in greece lp,attiki,1-10,euroyachtsrental.com
