country,founded,id,industry,linkedin_url,locality,name,region,size,website
guatemala,"",terra-inmuebles-s-a,"",linkedin.com/company/terra-inmuebles-s-a,"",terra inmuebles s.a,"",1-10,terrainmuebles.net
guatemala,"",unitexguatemala,textiles,linkedin.com/company/unitexguatemala,"",unitex guatemala,guatemala,11-50,unitexgt.com
guatemala,1995,arkinsa,construction,linkedin.com/company/arkinsa,"",arkinsa,guatemala,11-50,arkinsa.com
guatemala,"",mayan-zone,"",linkedin.com/company/mayan-zone,"",mayan zone,"",11-50,mayan-zone.com
guatemala,"",inspecciones-globales,information services,linkedin.com/company/inspecciones-globales,"",inspecciones globales,"",11-50,inspecciones-globales.com
guatemala,"",estrategias-contables-y-tributarias-s-a-,"",linkedin.com/company/estrategias-contables-y-tributarias-s-a-,"",estrategias contables y tributarias s.a.,"",1-10,econtrisa.com
guatemala,"",sertinsa,"",linkedin.com/company/sertinsa,"",sertinsa,"",11-50,sertinsa.com
guatemala,"",j-c-niemann,"",linkedin.com/company/j-c-niemann,"",j.c.niemann,"",11-50,jcniemann.com
guatemala,2013,matsegt,marketing and advertising,linkedin.com/company/matsegt,"",matse,guatemala,1-10,matse.la
guatemala,2007,escuela-bancaria-de-guatemala,higher education,linkedin.com/company/escuela-bancaria-de-guatemala,"",escuela bancaria de guatemala,guatemala,1-10,ebg.edu.gt
guatemala,1989,smicanafe,food & beverages,linkedin.com/company/smicanafe,"",sai blackaller,guatemala,1-10,""
guatemala,1996,cfceantigua,professional training & coaching,linkedin.com/company/cfceantigua,antigua guatemala,centro de formación de la cooperación española en la antigua,sacatepequez,1-10,aecid-cf.org.gt
guatemala,"",aikoa,consumer goods,linkedin.com/company/aikoa,"",aikoa,"",1-10,aikoa.com
guatemala,"",academia-de-arte-ars-artis,arts and crafts,linkedin.com/company/academia-de-arte-ars-artis,"",academia de arte ars artis,"",1-10,walterpeter.com
guatemala,2009,ideacentralgt,real estate,linkedin.com/company/ideacentralgt,"",idea central gt,guatemala,11-50,ideacentral.gt
guatemala,2015,zebra-coworking,marketing and advertising,linkedin.com/company/zebra-coworking,"",zebra creative network,guatemala,11-50,zebracoworking.com
guatemala,2010,aquaclean-guatemala-s-a-,environmental services,linkedin.com/company/aquaclean-guatemala-s-a-,"",aquaclean guatemala s.a.,guatemala,1-10,""
guatemala,2014,la-guanaba,marketing and advertising,linkedin.com/company/la-guanaba,quetzaltenango,la guanaba,quetzaltenango,1-10,laguanaba.com
guatemala,2004,procienciagt,import and export,linkedin.com/company/procienciagt,"",proquimica,guatemala,1-10,balanzasguatemala.com
guatemala,"",megaoutlet,"",linkedin.com/company/megaoutlet,"",megaoutlet,"",11-50,megaoutletgt.com
guatemala,"",productos-alimenticios-yaesta-s-a-,food production,linkedin.com/company/productos-alimenticios-yaesta-s-a-,"",productos alimenticios yaesta s.a.,"",201-500,yaesta.com.gt
guatemala,2017,sar-latin-america,information technology and services,linkedin.com/company/sar-latin-america,guatemala city,sar latin america,guatemala,51-200,sarlatam.com
guatemala,1967,hoteles-de-petén,hospitality,linkedin.com/company/hoteles-de-petén,"",hoteles de petén,guatemala,51-200,hotelesdepeten.com
guatemala,"",aristai,architecture & planning,linkedin.com/company/aristai,guatemala city,arista,guatemala,1-10,""
guatemala,1999,prisma-servicios,information technology and services,linkedin.com/company/prisma-servicios,"",prisma servicios,"",11-50,prisma.com.gt
guatemala,2015,trek-guatemala,"leisure, travel & tourism",linkedin.com/company/trek-guatemala,"",trek guatemala,sacatepequez,1-10,trekguatemala.com
guatemala,2001,agora-ventas-por-catálogo,consumer goods,linkedin.com/company/agora-ventas-por-catálogo,"",agora ventas por catálogo,guatemala,501-1000,agora.com.gt
guatemala,1987,grupo-printer,information technology and services,linkedin.com/company/grupo-printer,"",grupo printer,"",51-200,grupoprinter.com
guatemala,2007,c&s-logística,logistics and supply chain,linkedin.com/company/c&s-logística,"",c&s logística,guatemala,11-50,cslogistica.com
guatemala,"",sadasa,construction,linkedin.com/company/sadasa,"",sadasa,"",11-50,sadasaguatemala.com
guatemala,"",banco-agromercantil-de-guatemala-s-a,financial services,linkedin.com/company/banco-agromercantil-de-guatemala-s-a,"","banco agromercantil de guatemala, s.a.",guatemala,10001+,bam.com.gt
guatemala,1961,deutsche-schule-guatemala,primary/secondary education,linkedin.com/company/deutsche-schule-guatemala,"",deutsche schule guatemala,guatemala,51-200,dsguatemala.edu.gt
guatemala,"",siproal,"",linkedin.com/company/siproal,"",siproal,"",11-50,siproal.com
