country,founded,id,industry,linkedin_url,locality,name,region,size,website
hungary,"",naszálytej,paper & forest products,linkedin.com/company/naszálytej,vac,naszálytej,pest,1-10,naszalytej.hu
hungary,1995,different-business-applications,information technology and services,linkedin.com/company/different-business-applications,gyor,different development ltd.,gyor,11-50,different.hu
hungary,"",europapier-budapest,"",linkedin.com/company/europapier-budapest,"",europapier budapest,budapest,1-10,europapier.hu
hungary,"",cerlux-kft.,"",linkedin.com/company/cerlux-kft.,oroshaza,cerlux kft.,bekes,11-50,cerlux.hu
hungary,2004,dp-sport-ltd,apparel & fashion,linkedin.com/company/dp-sport-ltd,"",dp sport ltd,pest,1-10,dfc-sportswear.com
hungary,1990,seed-foundation-hungary,civic & social organization,linkedin.com/company/seed-foundation-hungary,"",seed foundation hungary,budapest,1-10,seed.hu
hungary,1875,glenglassaugh-distillery,food & beverages,linkedin.com/company/glenglassaugh-distillery,budapest,glenglassaugh distillery,budapest,1-10,glenglassaugh.com
hungary,1998,pezomed-ltd,pharmaceuticals,linkedin.com/company/pezomed-ltd,budapest,pezomed ltd,budapest,11-50,pezomed.com
hungary,2014,3d-most,printing,linkedin.com/company/3d-most,budapest,3d. most,budapest,1-10,3dmost.hu
hungary,"",pdsvis-kft.,information technology and services,linkedin.com/company/pdsvis-kft.,"",pdsvis kft.,"",1-10,pdsvis.hu
hungary,2011,360dmc,hospitality,linkedin.com/company/360dmc,"",racz hotel & thermal spa,budapest,1-10,raczhotel.com
hungary,2007,kitekinto.hu,online media,linkedin.com/company/kitekinto.hu,"",kitekinto.hu,"",1-10,kitekinto.hu
hungary,"",hübner---h-kft.,"",linkedin.com/company/hübner---h-kft.,nyíregyháza,hübner - h kft.,szabolcs-szatmar-bereg,11-50,hubner-hungary.com
hungary,1995,sixay-furniture,furniture,linkedin.com/company/sixay-furniture,"",sixay furniture,sopron,1-10,""
hungary,"",wonderline,information technology and services,linkedin.com/company/wonderline,budapest,wonderline,budapest,51-200,wonderline.eu
hungary,1995,integrity-ltd,information technology and services,linkedin.com/company/integrity-ltd,budapest,integrity ltd,budapest,11-50,integrity.hu
hungary,"",img-solution,hospital & health care,linkedin.com/company/img-solution,"",img solution,budapest,1-10,imgsolution.eu
hungary,2006,barathegyi-guide-dog-school4,civic & social organization,linkedin.com/company/barathegyi-guide-dog-school4,"",barathegyi guide dog school hungary,miskolc,11-50,barathegyi.org
hungary,2012,miksz,machinery,linkedin.com/company/miksz,vargesztes,magyar ipari karbantartók szervezete,komarom-esztergom,51-200,miksz.org
hungary,2005,boda-&-partners-ltd.,management consulting,linkedin.com/company/boda-&-partners-ltd.,budapest,boda & partners ltd.,budapest,1-10,bodaandpartners.com
hungary,2019,ddfplusplus,computer software,linkedin.com/company/ddfplusplus,gyor,ddf plus plus,gyor,1-10,ddf.hu
hungary,2011,win-store-media-consulting-ltd-,marketing and advertising,linkedin.com/company/win-store-media-consulting-ltd-,budapest,win-store media ltd.,budapest,1-10,win-store.hu
hungary,2013,solutionseed,management consulting,linkedin.com/company/solutionseed,"",solutionseed,budapest,1-10,solutionseed.com
hungary,1995,eu-bottle,printing,linkedin.com/company/eu-bottle,budapest,eu-bottle,budapest,11-50,eubottle.eu
hungary,2016,defenders-s-r-o,professional training & coaching,linkedin.com/company/defenders-s-r-o,"",defenders s.r.o.,pest,1-10,defenderssro.com
hungary,2013,do3d-innovations,mechanical or industrial engineering,linkedin.com/company/do3d-innovations,"",do3d innovations,pest,1-10,do3d.eu
