country,founded,id,industry,linkedin_url,locality,name,region,size,website
iceland,2017,lavacentre,"leisure, travel & tourism",linkedin.com/company/lavacentre,reykjavik,lava centre volcano and earthquake exhibition in iceland,gullbringusysla,11-50,lavacentre.is
iceland,"",trs-ehf,information technology and services,linkedin.com/company/trs-ehf,kopavogur,trs ehf,gullbringusysla,11-50,trs.is
iceland,"",norfisk,"",linkedin.com/company/norfisk,"",norfisk,"",11-50,norfisk.is
iceland,"",áslandsskóli,"",linkedin.com/company/áslandsskóli,"",áslandsskóli,"",11-50,aslandsskoli.is
iceland,2015,monerium,computer software,linkedin.com/company/monerium,reykjavik,monerium,gullbringusysla,1-10,monerium.com
iceland,"",ax-business-intelligence,information technology and services,linkedin.com/company/ax-business-intelligence,"",ax business intelligence,"",11-50,""
iceland,"",on-the-rocks-productions,entertainment,linkedin.com/company/on-the-rocks-productions,garðabær,on the rocks productions,capital region,1-10,otr.is
iceland,2016,reykjavík-sightseeing,"leisure, travel & tourism",linkedin.com/company/reykjavík-sightseeing,reykjavik,reykjavík sightseeing,gullbringusysla,11-50,reykjaviksightseeing.is
iceland,2009,icelandic-institute-for-intelligent-machines,research,linkedin.com/company/icelandic-institute-for-intelligent-machines,reykjavik,icelandic institute for intelligent machines,gullbringusysla,1-10,iiim.is
iceland,1959,va-arkitektar,architecture & planning,linkedin.com/company/va-arkitektar,reykjavik,va arkitektar,gullbringusysla,11-50,vaarkitektar.is
iceland,1999,job-is,marketing and advertising,linkedin.com/company/job-is,reykjavik,job.is,gullbringusysla,1-10,job.is
iceland,1938,reykjalundur,hospital & health care,linkedin.com/company/reykjalundur,"",reykjalundur,capital region,51-200,reykjalundur.is
iceland,2003,b-lageirinn-ehf,automotive,linkedin.com/company/b-lageirinn-ehf,reykjanesbær,bílageirinn ehf,southern peninsula,1-10,bilageirinn.is
iceland,2011,kapall,marketing and advertising,linkedin.com/company/kapall,reykjavik,kapall marketing consultancy,gullbringusysla,1-10,kapall.is
iceland,2017,eyland-spirits,wine and spirits,linkedin.com/company/eyland-spirits,reykjavik,eyland spirits,gullbringusysla,1-10,eylandspirits.is
iceland,2013,giosk,facilities services,linkedin.com/company/giosk,reykjavik,giosk,gullbringusysla,1-10,giosk.com
iceland,2003,iceland-express,airlines/aviation,linkedin.com/company/iceland-express,"",iceland express,"",51-200,icelandexpress.com
iceland,"",10-11,"",linkedin.com/company/10-11,"",10-11 supermarket,"",51-200,10-11.is
