country,founded,id,industry,linkedin_url,locality,name,region,size,website
india,2020,farm2fork-consulting,food & beverages,linkedin.com/company/farm2fork-consulting,srinagar,farm2fork consulting,jammu and kashmir,1-10,""
india,"",legal-utility,legal services,linkedin.com/company/legal-utility,noida,legal utility,uttar pradesh,11-50,legalutility.com
india,"",triveni-school-of-dance---india,education management,linkedin.com/company/triveni-school-of-dance---india,"",triveni school of dance - india,"",1-10,""
india,"",sakas-milk,consumer goods,linkedin.com/company/sakas-milk,satara,sakas milk,maharashtra,201-500,sakasmilk.com
india,"",waterways-shipyard-pvt-ltd,shipbuilding,linkedin.com/company/waterways-shipyard-pvt-ltd,"",waterways shipyard pvt ltd,goa,11-50,waterwaysgoa.com
india,"",seven-seas-paints-pvt-ltd,chemicals,linkedin.com/company/seven-seas-paints-pvt-ltd,"",seven seas paints pvt ltd,"",51-200,7seaspaint.com
india,"",shah-coal-private-limited,"",linkedin.com/company/shah-coal-private-limited,mumbai,shah coal private limited,maharashtra,11-50,""
india,2015,sck-engineering-services-india-pvt.-ltd.,mechanical or industrial engineering,linkedin.com/company/sck-engineering-services-india-pvt.-ltd.,pune,sck engineering services india pvt. ltd.,maharashtra,1-10,sck.de
india,"",simplyvacations,hospitality,linkedin.com/company/simplyvacations,"",simplyvacations,"",1-10,mysimplyvacations.com
india,2016,digipointdelhi,information services,linkedin.com/company/digipointdelhi,noida,digipoint technologies pvt. ltd.,uttar pradesh,1-10,digipoint.co.in
india,"",amiya-commerce-&-construction-co.-pvt.-ltd.,"",linkedin.com/company/amiya-commerce-&-construction-co.-pvt.-ltd.,"",amiya commerce & construction co. pvt. ltd.,west bengal,51-200,""
india,1983,shri-kailash-logistics-chennai,warehousing,linkedin.com/company/shri-kailash-logistics-chennai,chennai,shri kailash logistics (chennai) limited,tamil nadu,11-50,shrikailashindustrialparks.com
india,2015,s-s-bhansali-&-co,research,linkedin.com/company/s-s-bhansali-&-co,ahmedabad,s s bhansali & co,gujarat,11-50,ssbhansalico.com
india,"",jayashree-advertising---india,marketing and advertising,linkedin.com/company/jayashree-advertising---india,"",jayashree advertising - india,"",1-10,jayashreeadvertising.com
india,"",pixel-code-works,"",linkedin.com/company/pixel-code-works,"",pixel code works,uttar pradesh,1-10,""
india,2013,www-freelansir-com,internet,linkedin.com/company/www-freelansir-com,mumbai,www.freelansir.com,maharashtra,1-10,freelansir.com
india,2016,sthapak,management consulting,linkedin.com/company/sthapak,"",sthapak india private limited,gujarat,1-10,sthapak.com
india,2016,new-way-tourism,"leisure, travel & tourism",linkedin.com/company/new-way-tourism,ahmedabad,new way tourism,gujarat,1-10,newwaytourism.com
india,"",jpr-balaji-pavers-private-limited,civil engineering,linkedin.com/company/jpr-balaji-pavers-private-limited,new delhi,jpr balaji pavers private limited,delhi,51-200,jprbalaji.com
india,2014,black-and-yellow,broadcast media,linkedin.com/company/black-and-yellow,mumbai,black and yellow,maharashtra,11-50,blackandyellow.in
india,2009,ietlaa-institute-of-engineering-&-technology-lucknow-alumni-association-,individual & family services,linkedin.com/company/ietlaa-institute-of-engineering-&-technology-lucknow-alumni-association-,lucknow,ietlaa ( institute of engineering & technology lucknow alumni association ),uttar pradesh,1-10,ietalumni.org
india,"",spire-automation-&-innovation-india,electrical/electronic manufacturing,linkedin.com/company/spire-automation-&-innovation-india,pune,"spire automation & innovation, india",maharashtra,51-200,""
india,2011,envista-mindmap-services-pvt-ltd,education management,linkedin.com/company/envista-mindmap-services-pvt-ltd,"",envista mindmap services pvt ltd,jharkhand,11-50,envistamindmap.com
india,"",skillbell,entertainment,linkedin.com/company/skillbell,hyderabad,skillbell,andhra pradesh,51-200,skillbell.com
india,2005,gyantech-synergies,design,linkedin.com/company/gyantech-synergies,new delhi,gyantech synergies,delhi,11-50,gyantech.net
india,"",om-vaishnavi-telecomp-solution-private-limited,retail,linkedin.com/company/om-vaishnavi-telecomp-solution-private-limited,bangalore,om vaishnavi telecomp solution private limited,karnataka,51-200,""
india,2011,valezco-technologies,design,linkedin.com/company/valezco-technologies,jaipur,valezco,rajasthan,1-10,valezco.com
india,2009,nexustech-interactive-services-pvt-ltd,information technology and services,linkedin.com/company/nexustech-interactive-services-pvt-ltd,"",nexustech interactive services pvt ltd,"",11-50,nexustechinteractive.com
india,2020,d-lat-ship-management-trading-llp,maritime,linkedin.com/company/d-lat-ship-management-trading-llp,mumbai,d'lat ship management & trading llp.,maharashtra,11-50,dlatshipmanagement.com
india,"",dpb-antibiotics,pharmaceuticals,linkedin.com/company/dpb-antibiotics,bombay,dpb antibiotics,maharashtra,11-50,dpbantibiotics.com
india,"",turno-mech-engineers,mechanical or industrial engineering,linkedin.com/company/turno-mech-engineers,rajkot,turno mech engineers,gujarat,11-50,turnomecheng.in
india,2020,bee-hivee,marketing and advertising,linkedin.com/company/bee-hivee,"",bee hive,karnataka,1-10,""
india,"",mittal-brothers-pvt-ltd,construction,linkedin.com/company/mittal-brothers-pvt-ltd,"",mittal brothers pvt ltd,"",51-200,mittalbrothers.com
india,2014,labinapp,computer software,linkedin.com/company/labinapp,hubli,labinapp,karnataka,11-50,labinapp.com
india,2011,hema-s-kothari,luxury goods & jewelry,linkedin.com/company/hema-s-kothari,"",hema s. kothari,"",11-50,hsk.in
india,"",routes-inc,events services,linkedin.com/company/routes-inc,"",routes inc,"",1-10,routesinc.com
india,"",polycon-industries-pvt-ltd-,plastics,linkedin.com/company/polycon-industries-pvt-ltd-,guwahati,polycon industries pvt. ltd.,assam,201-500,polyconindustries.in
india,2014,uniserved,information technology and services,linkedin.com/company/uniserved,mumbai,uniserved - growth. crowdsourced.,maharashtra,11-50,uniserved.com
india,"",bombay-iron-works---india,"",linkedin.com/company/bombay-iron-works---india,"",bombay iron works - india,"",1-10,""
india,2008,spiher,education management,linkedin.com/company/spiher,chennai,st.peter's institute of higher education and research (spiher),tamil nadu,501-1000,""
india,2018,motorbuddy,automotive,linkedin.com/company/motorbuddy,mumbai,motorbuddy,maharashtra,1-10,motorbuddy.in
india,"",gkb-hi-tech-lences-limited,electrical/electronic manufacturing,linkedin.com/company/gkb-hi-tech-lences-limited,"",gkb hi tech lences limited,tamil nadu,1001-5000,gkbhitech.com
india,"",pt-invent-india-private-limited,"",linkedin.com/company/pt-invent-india-private-limited,mumbai,pt invent india private limited,maharashtra,11-50,""
