country,founded,id,industry,linkedin_url,locality,name,region,size,website
indonesia,"",pt-trayagantha-pinasthika,maritime,linkedin.com/company/pt-trayagantha-pinasthika,"",pt. trayagantha pinasthika,jakarta,11-50,trayagantha.com
indonesia,2011,motopit,automotive,linkedin.com/company/motopit,"",motopit,jakarta,1-10,motopit.com.tr
indonesia,2013,iliadi,oil & energy,linkedin.com/company/iliadi,"",pt iliadi cipta energi,jakarta,51-200,iliadi.com
indonesia,"",upt-bikk-karangsambung-lipi,information technology and services,linkedin.com/company/upt-bikk-karangsambung-lipi,"",upt bikk karangsambung lipi,"",11-50,""
indonesia,2011,indodeveloper-com,information technology and services,linkedin.com/company/indodeveloper-com,"",indodeveloper.com,jakarta,11-50,indodeveloper.com
indonesia,"",smk-negeri-5-bandung,education management,linkedin.com/company/smk-negeri-5-bandung,bandung,smk negeri 5 bandung,west java,51-200,""
indonesia,2006,pt-gj-international,civil engineering,linkedin.com/company/pt-gj-international,jakarta,pt. gj international,jakarta raya,11-50,pt-gji.com
indonesia,"",pt-sarana-artha-lestari,"",linkedin.com/company/pt-sarana-artha-lestari,"",pt. sarana artha lestari,"",11-50,sarana-arthalestari.com
indonesia,"",stt-sapta-taruna,"",linkedin.com/company/stt-sapta-taruna,"",sekolah tinggi teknologi sapta taruna,jakarta,11-50,""
indonesia,"",pt-wira-imaji-nyata,information technology and services,linkedin.com/company/pt-wira-imaji-nyata,"",pt wira imaji nyata,"",11-50,""
indonesia,1974,rispublawugm,publishing,linkedin.com/company/rispublawugm,"",unit riset dan publikasi fakultas hukum universitas gadjah mada,yogyakarta,11-50,""
indonesia,"",roda-lintas-khatulistiwa-cv,retail,linkedin.com/company/roda-lintas-khatulistiwa-cv,sidoarjo,"roda lintas khatulistiwa, cv",east java,11-50,""
indonesia,1988,satyagama-university,education management,linkedin.com/company/satyagama-university,cengkareng,satyagama university,jakarta,201-500,satyagama.ac.id
indonesia,2015,dropicts,outsourcing/offshoring,linkedin.com/company/dropicts,jakarta,dropicts,jakarta raya,1-10,""
indonesia,2015,pt.biopsagroteknoindonesia,electrical/electronic manufacturing,linkedin.com/company/pt.biopsagroteknoindonesia,bandung,pt. biops agrotekno indonesia,west java,11-50,biopsagrotekno.co.id
indonesia,2016,wiwe,information technology and services,linkedin.com/company/wiwe,"",wiwe,jakarta,11-50,wifiarewe.com
indonesia,2019,risequarters,marketing and advertising,linkedin.com/company/risequarters,bandung,rise quarters,west java,11-50,risequarters.com
indonesia,"",wanindo-prima-pt,marketing and advertising,linkedin.com/company/wanindo-prima-pt,jakarta,wanindo prima pt,jakarta raya,51-200,indoprima.com
indonesia,"",pt-indosurya-asset-management,"",linkedin.com/company/pt-indosurya-asset-management,"",pt. indosurya asset management,"",51-200,indosurya-assetmanagement.com
indonesia,"",pt-sadua-indo,"",linkedin.com/company/pt-sadua-indo,"",pt sadua indo,"",51-200,nurisadu.co.id
indonesia,"",sahid-batam-center-hotel-&-convention,hospitality,linkedin.com/company/sahid-batam-center-hotel-&-convention,"",sahid batam center hotel & convention,"",51-200,sahidbatamcenter.com
indonesia,"",pt-briscor-horizon,"",linkedin.com/company/pt-briscor-horizon,"",pt. briscor horizon,"",51-200,briscorhorizon.com
indonesia,"",cyronium,financial services,linkedin.com/company/cyronium,kebayoran baru,cyronium,jakarta,11-50,cyronium.com
indonesia,2013,ebl-icbb,farming,linkedin.com/company/ebl-icbb,bogor,ebl-icbb,jawa barat,11-50,ebl-icbb.com
indonesia,2016,faylinkhospitality,hospitality,linkedin.com/company/faylinkhospitality,"",faylink hospitality,"",1-10,faylinkhospitality.com
indonesia,2018,insun-power1,renewables & environment,linkedin.com/company/insun-power1,klaten,insun power,central java,11-50,insun-power.co.id
indonesia,"",pt-seiwa-indonesia,building materials,linkedin.com/company/pt-seiwa-indonesia,"",pt seiwa indonesia,"",51-200,""
indonesia,"",pt-tekno-klop-indonesia,business supplies and equipment,linkedin.com/company/pt-tekno-klop-indonesia,sidoarjo,pt tekno klop indonesia,east java,1-10,teknoklop.com
indonesia,"",pt-pertagas,oil & energy,linkedin.com/company/pt-pertagas,jakarta,pt pertagas,jakarta raya,201-500,""
indonesia,2009,insightgroupid,human resources,linkedin.com/company/insightgroupid,"",insight indonesia consulting,"",11-50,insightgroup.co.id
indonesia,2020,akkarindonesia,food & beverages,linkedin.com/company/akkarindonesia,"",akkar,yogyakarta,1-10,""
indonesia,2013,samawitravel,"leisure, travel & tourism",linkedin.com/company/samawitravel,"",saghara mahabbatain wisata (samawi travel),banten,1-10,samawitravel.com
indonesia,2008,canopy-art-bali,construction,linkedin.com/company/canopy-art-bali,sanur,canopy art bali,bali,11-50,canopyartbali.com
indonesia,2007,restoran-sederhana-jatiwaringin,restaurants,linkedin.com/company/restoran-sederhana-jatiwaringin,"",restoran sederhana jatiwaringin,jakarta,11-50,""
indonesia,2015,pt-hengyang-indonesia,luxury goods & jewelry,linkedin.com/company/pt-hengyang-indonesia,"",pt hengyang indonesia,"",1-10,hengyang.co.id
indonesia,1991,21-express,package/freight delivery,linkedin.com/company/21-express,jakarta,pt. globalindo dua satu ekspres (21express),jakarta raya,51-200,21express.co.id
