country,founded,id,industry,linkedin_url,locality,name,region,size,website
iraq,2017,clic-learning,education management,linkedin.com/company/clic-learning,baghdad,clic-learning,baghdad,11-50,clic-learning.com
iraq,2012,goizha,real estate,linkedin.com/company/goizha,sulaimani,goizha,diyala,11-50,goizha.com
iraq,2011,abprosoft,computer software,linkedin.com/company/abprosoft,"",abprosoft,"",51-200,abprosoft.com
iraq,2016,talabatey,food & beverages,linkedin.com/company/talabatey,baghdad,talabatey,baghdad,201-500,talabatey.com
iraq,2016,kurdrobotic,information technology and services,linkedin.com/company/kurdrobotic,"",kurdrobotics,"",11-50,kurdrobotic.com
iraq,2014,the-american-university-of-kurdistan,higher education,linkedin.com/company/the-american-university-of-kurdistan,"",the american university of kurdistan,"",51-200,auk.edu.krd
iraq,2016,4c.creative,marketing and advertising,linkedin.com/company/4c.creative,"",4 corners for marketing and advertising (4cma),"",1-10,4corners.media
iraq,"",amchamiraq,"",linkedin.com/company/amchamiraq,baghdad,amcham iraq,baghdad,1-10,""
iraq,2009,iraqixchange,capital markets,linkedin.com/company/iraqixchange,baghdad,iraqixchange,baghdad,1-10,iraqixchange.ca
iraq,2011,samaiq,retail,linkedin.com/company/samaiq,baghdad,sama mall,baghdad,51-200,""
iraq,2005,technical-towers-co.,business supplies and equipment,linkedin.com/company/technical-towers-co.,baghdad,technical towers co. شركة الابراج التقنية,baghdad,11-50,ttciraq.com
iraq,"",infomall,"",linkedin.com/company/infomall,"",infomall,"",51-200,infomalls.com
iraq,2016,freeone-space,information technology and services,linkedin.com/company/freeone-space,baghdad,freeone space,baghdad,51-200,freeone.space
iraq,"",aldelma,oil & energy,linkedin.com/company/aldelma,baghdad,al delma for general contracting and training services,baghdad,11-50,aldelma.com
iraq,2000,almurbat,environmental services,linkedin.com/company/almurbat,"",almurbat,"",51-200,almurbat.com
iraq,1994,ocean-pearl-co,logistics and supply chain,linkedin.com/company/ocean-pearl-co,erbil,ocean pearl co.,arbil,201-500,oceanpearl-iq.com
