country,founded,id,industry,linkedin_url,locality,name,region,size,website
ireland,"",mc-carthys-bar-&-guesthouse,marketing and advertising,linkedin.com/company/mc-carthys-bar-&-guesthouse,"",mc carthys bar & guesthouse,"",1-10,mccarthyslodge.com
ireland,2001,ipoptions-limited,computer & network security,linkedin.com/company/ipoptions-limited,dublin,ipoptions limited,dublin,11-50,ipoptions.ie
ireland,1984,fitzgerald-solicitors,law practice,linkedin.com/company/fitzgerald-solicitors,cork,fitzgerald solicitors,munster,11-50,fitzsols.com
ireland,2006,owner-at-genesis-club,entertainment,linkedin.com/company/owner-at-genesis-club,dublin,owner at genesis club,leinster,1-10,genesisclub.ie
ireland,2012,connemara-programme,civic & social organization,linkedin.com/company/connemara-programme,"",connemara programme,galway,1-10,connemaraprogramme.com
ireland,"",russell-will-limited,wholesale,linkedin.com/company/russell-will-limited,"",russell will limited,"",1-10,russellwill.ie
ireland,2002,stageco-ireland,events services,linkedin.com/company/stageco-ireland,dublin,stageco ireland,dublin,11-50,stagecoireland.com
ireland,1997,box-architecture,architecture & planning,linkedin.com/company/box-architecture,dublin,box architecture,dublin,1-10,box.ie
ireland,"",whitebarn-consulting,non-profit organization management,linkedin.com/company/whitebarn-consulting,"",whitebarn consulting,"",1-10,whitebarn.info
ireland,2013,sound-light-stage,events services,linkedin.com/company/sound-light-stage,roscommon,sound light stage,connaught,1-10,soundlightstage.ie
ireland,2001,rainbow-engineering-zetor-dealer,farming,linkedin.com/company/rainbow-engineering-zetor-dealer,an fear ban,rainbow engineering / zetor dealer,offaly,1-10,rainbowengineering.ie
ireland,1995,momentum-financial-services,financial services,linkedin.com/company/momentum-financial-services,ashford,momentum financial services,leinster,1-10,momentum.ie
ireland,"",high-speed-data-solutions-ltd.,computer networking,linkedin.com/company/high-speed-data-solutions-ltd.,"",high speed data solutions ltd.,"",1-10,hsdatasolutions.com
ireland,2011,getbulb.com,design,linkedin.com/company/getbulb.com,dublin,getbulb,dublin,1-10,getbulb.com
ireland,"",boxworks-cowork-space,executive office,linkedin.com/company/boxworks-cowork-space,waterford,boxworks cowork space,waterford,1-10,boxworks.ie
ireland,2007,cult-drinks,food & beverages,linkedin.com/company/cult-drinks,dublin,cult drinks,dublin,1-10,cult-drinks.com
ireland,"",troymarketinglimerick,marketing and advertising,linkedin.com/company/troymarketinglimerick,limerick,troy marketing,limerick,1-10,troymarketing.ie
ireland,"",cavan-county-council,government administration,linkedin.com/company/cavan-county-council,cavan,cavan county council,monaghan,201-500,cavancoco.ie
ireland,2010,hauste-group,information technology and services,linkedin.com/company/hauste-group,"",hauste group,cork,1-10,hauste.com
ireland,1945,the-fkm-group,construction,linkedin.com/company/the-fkm-group,dublin,the fkm group,dublin,11-50,fkm.com
ireland,2011,velabri,internet,linkedin.com/company/velabri,listowel,velabri,kerry,1-10,velabri.co
ireland,"",jnc-fencing,building materials,linkedin.com/company/jnc-fencing,tipperary,jnc fencing,munster,1-10,jncfence.com
ireland,"",absolute-dental-care,"health, wellness and fitness",linkedin.com/company/absolute-dental-care,"",absolute dental care,"",1-10,absolutedental.ie
ireland,1963,credit-union-plus-ltd.,financial services,linkedin.com/company/credit-union-plus-ltd.,"",credit union plus ltd.,meath,51-200,creditunionplus.ie
ireland,2003,the-elbowroom,"health, wellness and fitness",linkedin.com/company/the-elbowroom,dublin,the elbowroom,dublin,11-50,the-elbowroom.com
ireland,1997,leo-scarff-design,design,linkedin.com/company/leo-scarff-design,leitrim,leo scarff design,county monaghan,1-10,leoscarffdesign.com
ireland,2016,katie-harrington-communications-content,public relations and communications,linkedin.com/company/katie-harrington-communications-content,dublin,wilde words,leinster,1-10,wildewords.ie
ireland,"",danone-wexford,food production,linkedin.com/company/danone-wexford,wexford,danone wexford,wexford,201-500,""
ireland,1868,umdasch-the-store-makers,architecture & planning,linkedin.com/company/umdasch-the-store-makers,louth,umdasch the store makers,leinster,1001-5000,umdasch.com
ireland,"",longford-county-enterprise-board,government administration,linkedin.com/company/longford-county-enterprise-board,"",longford county enterprise board,longford,1-10,longfordceb.ie
ireland,"",christ-church-dublin,religious institutions,linkedin.com/company/christ-church-dublin,dublin,christ church cathedral dublin,dublin,11-50,christchurchcathedral.ie
ireland,"",site-ireland,"leisure, travel & tourism",linkedin.com/company/site-ireland,dublin,site ireland | society for incentive travel excellence,dublin,11-50,""
ireland,"",tennisireland,sports,linkedin.com/company/tennisireland,"",tennisireland,"",1-10,""
ireland,2006,xeon-financial-services,banking,linkedin.com/company/xeon-financial-services,"",xeon financial services,"",11-50,xeonfs.com
ireland,2015,world-experience-campus-wec-,education management,linkedin.com/company/world-experience-campus-wec-,dublin,world experience campus (wec),dublin,11-50,wechub.org
ireland,2018,coffee-district-cafe,food & beverages,linkedin.com/company/coffee-district-cafe,dublin,coffee district,dublin,1-10,""
ireland,2018,sparta-aero,aviation & aerospace,linkedin.com/company/sparta-aero,dublin,sparta,dublin,51-200,sparta.aero
ireland,2007,mdk-style,apparel & fashion,linkedin.com/company/mdk-style,"",etcetera modus,"",1-10,etceteramodus.com
ireland,2016,the-healthy-fox,"health, wellness and fitness",linkedin.com/company/the-healthy-fox,"",the healthy fox,"",1-10,thehealthyfox.ie
ireland,"",ft-trading,real estate,linkedin.com/company/ft-trading,"",ft trading,"",11-50,""
ireland,2001,buildingteams,staffing and recruiting,linkedin.com/company/buildingteams,cork,employability west cork,munster,1-10,empservice.org
ireland,2019,indigitalirl,marketing and advertising,linkedin.com/company/indigitalirl,dublin,indigital,dublin,1-10,indigital.ie
ireland,2017,xdigital-research-network,research,linkedin.com/company/xdigital-research-network,clane,xdigital research network,kildare,1-10,xdigitalresearch.com
ireland,2019,opoplan-proptech,architecture & planning,linkedin.com/company/opoplan-proptech,dublin,opoplan,dublin,1-10,opoplan.com
ireland,1859,arvum-group-ireland,farming,linkedin.com/company/arvum-group-ireland,waterford,arvum group,munster,51-200,""
ireland,1905,irish-independent,newspapers,linkedin.com/company/irish-independent,dublin,irish independent,leinster,201-500,independent.ie
ireland,2018,digeo-productions,media production,linkedin.com/company/digeo-productions,dublin,digeo productions,dublin,1-10,digeoproductions.com
ireland,2012,emcg-pr,public relations and communications,linkedin.com/company/emcg-pr,dublin,emcg pr,dublin,1-10,emcgpr.com
ireland,2018,candyflixvideos,design,linkedin.com/company/candyflixvideos,naas,candyflix videos,leinster,1-10,candyflixvideos.com
ireland,2000,ncba-network,marketing and advertising,linkedin.com/company/ncba-network,mallow,ncba network,munster,11-50,ncbanetwork.ie
ireland,"",airfibre-limited,wireless,linkedin.com/company/airfibre-limited,dublin,airfibre limited,dublin,1-10,airfibre.ie
ireland,1977,cahill-trautt-&-co.,accounting,linkedin.com/company/cahill-trautt-&-co.,"",cahill trautt & co.,"",11-50,cahilltrautt.com
ireland,1995,euro-gas-ltd.,mechanical or industrial engineering,linkedin.com/company/euro-gas-ltd.,bray,euro gas ltd.,wicklow,11-50,eurogas.ie
ireland,2006,seakel-fire-&-security,construction,linkedin.com/company/seakel-fire-&-security,limerick,seakel fire & security,limerick,11-50,seakel.ie
ireland,2010,panelduct,mechanical or industrial engineering,linkedin.com/company/panelduct,castlebar,panelduct,mayo,11-50,panelduct.ie
ireland,2016,associationforkeyaccountmanagement,non-profit organization management,linkedin.com/company/associationforkeyaccountmanagement,dublin,association for key account management,dublin,1-10,a4kam.org
ireland,"",ox-business-systems,information technology and services,linkedin.com/company/ox-business-systems,"",ox business systems,sligo,1-10,oxbusinesssystems.com
ireland,2001,genesis-business-college,higher education,linkedin.com/company/genesis-business-college,"",genesis business college,carlow,11-50,genesisbusinesscollege.net
ireland,1954,european-movement-ireland,civic & social organization,linkedin.com/company/european-movement-ireland,dublin,european movement ireland,dublin,1-10,europeanmovement.ie
ireland,2009,luxavo1,architecture & planning,linkedin.com/company/luxavo1,dublin,luxavo,dublin,11-50,luxavo.ie
ireland,2015,fortismet,mining & metals,linkedin.com/company/fortismet,athlone,fortismet ltd,county westmeath,1-10,fortismet.ie
ireland,2002,sherwin-o'riordan,law practice,linkedin.com/company/sherwin-o'riordan,dublin,sherwin o'riordan,dublin,11-50,sor.ie
ireland,2006,ronan-campbell-jewellers,design,linkedin.com/company/ronan-campbell-jewellers,donnybrook,campbell jewellers dublin,dublin,1-10,campbelljewellers.com
ireland,1934,mealy's-fine-art,fine art,linkedin.com/company/mealy's-fine-art,castlecomer,mealy's,kilkenny,1-10,mealys.ie
ireland,1986,openingminds-ie-school-books,retail,linkedin.com/company/openingminds-ie-school-books,ashbourne,opening minds educational,meath,11-50,openingminds.ie
ireland,"",the-360-co.,internet,linkedin.com/company/the-360-co.,dublin,the 360 co.,leinster,1-10,the360co.com
ireland,2016,cara-global-education-group,education management,linkedin.com/company/cara-global-education-group,dublin,cara global education group,dublin,1-10,caraglobaleducation.com
ireland,2003,airspeed-telecom,telecommunications,linkedin.com/company/airspeed-telecom,dublin,airspeed telecom,dublin,11-50,airspeed.ie
