country,founded,id,industry,linkedin_url,locality,name,region,size,website
israel,2019,kemtai,computer software,linkedin.com/company/kemtai,"",kemtai,tel aviv,11-50,kemtai.com
israel,2009,tara-strategic-consulting,management consulting,linkedin.com/company/tara-strategic-consulting,"",tara strategic consulting,tel aviv,11-50,tara-il.com
israel,2014,dr-agile,management consulting,linkedin.com/company/dr-agile,jaffa,dr agile,tel aviv,11-50,dr-agile.com
israel,2008,quadx,information technology and services,linkedin.com/company/quadx,"",quadx,"",1-10,quadxsystems.com
israel,2014,insulog,medical devices,linkedin.com/company/insulog,ramat gan,insulog,tel aviv,1-10,insulog.life
israel,"",tamor,defense & space,linkedin.com/company/tamor,"",tamor,"",1-10,tamor.co.il
israel,"",dan-el-technologies-ltd.,information technology and services,linkedin.com/company/dan-el-technologies-ltd.,"","dan-el technologies, ltd.","",11-50,""
israel,"",starkist-tuna,computer software,linkedin.com/company/starkist-tuna,ramat gan,starkist tuna,tel aviv,1-10,starkist.co.il
israel,2000,arad-technologies-ltd-,wireless,linkedin.com/company/arad-technologies-ltd-,"",arad technologies ltd.,"",51-200,""
israel,1989,sapo-group,electrical/electronic manufacturing,linkedin.com/company/sapo-group,ẖolon,sapo group,tel aviv,11-50,sapo-group.com
israel,2018,varte,information technology and services,linkedin.com/company/varte,ramat gan,varte ltd.,tel aviv,1-10,varte-group.com
israel,2008,platinum-capital-co.,management consulting,linkedin.com/company/platinum-capital-co.,jaffa,platinum capital co.,tel aviv,1-10,p-capital.co
israel,"",griin-roasting,food & beverages,linkedin.com/company/griin-roasting,"",griin,tel aviv,1-10,griin.coffee
israel,1931,petroleum-&-energy-infrastructures-ltd.,oil & energy,linkedin.com/company/petroleum-&-energy-infrastructures-ltd.,"",petroleum & energy infrastructures ltd.,"",51-200,pei.co.il
israel,1972,consist,management consulting,linkedin.com/company/consist,"",consist,"",1001-5000,consist.co.il
israel,2011,dconnect,real estate,linkedin.com/company/dconnect,dan,dconnect,hazafon,1-10,dconnect.co
israel,2016,wass-media,marketing and advertising,linkedin.com/company/wass-media,dan,wass media,hazafon,1-10,wassmedia.com
israel,2016,adkeyz-technologies-ltd,"",linkedin.com/company/adkeyz-technologies-ltd,tel aviv,adkeyz technologies ltd,tel aviv,1-10,adkeyztechnologies.com
israel,"",proftit,information technology and services,linkedin.com/company/proftit,ramat gan,proftit,tel aviv,11-50,proftit.com
israel,1984,israel-asia-chamber-of-commerce,international trade and development,linkedin.com/company/israel-asia-chamber-of-commerce,"",israel-asia chamber of commerce,tel aviv,51-200,israel-asia.org
israel,2013,iforexlive,financial services,linkedin.com/company/iforexlive,"",iforexlive,"",11-50,iforexlive.com
israel,1997,icsc---israeli-customer-solution-center,consumer services,linkedin.com/company/icsc---israeli-customer-solution-center,"",icsc - israeli customer solution center,"",11-50,icsc.co.il
israel,2019,soltell,renewables & environment,linkedin.com/company/soltell,herzliya,soltell systems,tel aviv,1-10,soltell.com
israel,2018,subzee,information technology and services,linkedin.com/company/subzee,tel aviv,subzee,tel aviv,1-10,subzee.io
israel,"",bizdesign,architecture & planning,linkedin.com/company/bizdesign,"",bizdesign,"",1-10,""
israel,"",karakal-media,internet,linkedin.com/company/karakal-media,"",karakal media,"",1-10,karakalmedia.com
israel,"",atidim-alumni-association-aaa,non-profit organization management,linkedin.com/company/atidim-alumni-association-aaa,herzliya,atidim alumni association - ארגון בוגרי עתידים,tel aviv,5001-10000,bogrim.org.il
israel,2003,3gsolar-photovoltaics,renewables & environment,linkedin.com/company/3gsolar-photovoltaics,jerusalem,3gsolar photovoltaics,yerushalayim,11-50,3gsolar.com
