country,founded,id,industry,linkedin_url,locality,name,region,size,website
jamaica,"",the-stationery-depot-limited,business supplies and equipment,linkedin.com/company/the-stationery-depot-limited,"",the stationery depot limited,westmoreland,11-50,thestationerydepot.com
jamaica,"",forsyth-farms-limited,farming,linkedin.com/company/forsyth-farms-limited,"",forsyth farms limited,westmoreland,1-10,""
jamaica,"",benz-limited,financial services,linkedin.com/company/benz-limited,berkshire,benz limited,westmoreland,1-10,""
jamaica,"",d-i-f-construction-management-limited,"",linkedin.com/company/d-i-f-construction-management-limited,"",d.i.f construction management limited,"",11-50,difconstruction.com
jamaica,2007,epic-technologies-limited,information technology and services,linkedin.com/company/epic-technologies-limited,kingston,epic technologies jamaica,saint andrew,11-50,etechja.com
jamaica,"",kmf-precision-sheet-metal-limited,mining & metals,linkedin.com/company/kmf-precision-sheet-metal-limited,"",kmf precision sheet metal limited,st ann,11-50,""
jamaica,2016,doctors-social-media,marketing and advertising,linkedin.com/company/doctors-social-media,"",doctors social media,st. mary,1-10,doctorssocialmedia.com
jamaica,2012,jamaica-culinary-tours,"leisure, travel & tourism",linkedin.com/company/jamaica-culinary-tours,falmouth,jamaica culinary tours,trelawny,1-10,jamaicaculinarytours.com
jamaica,2014,theautovive,automotive,linkedin.com/company/theautovive,kingston,autovive,kingston,1-10,theautovive.com
jamaica,"",reliant-enterprise-communications-limited,telecommunications,linkedin.com/company/reliant-enterprise-communications-limited,"",reliant enterprise communications limited,"",11-50,""
jamaica,"",halliwell-jones-chester-limited,automotive,linkedin.com/company/halliwell-jones-chester-limited,"",halliwell jones (chester) limited,st ann,1-10,halliwelljoneschesterbmw.co.uk
jamaica,2012,netronics-solutions,computer networking,linkedin.com/company/netronics-solutions,montego bay,netronics solutions,st. james,1-10,netronicssolutions.com
jamaica,"",berkshire-investments-limited,insurance,linkedin.com/company/berkshire-investments-limited,berkshire,berkshire investments limited,westmoreland,11-50,""
jamaica,"",ensure-health-care-limited,marketing and advertising,linkedin.com/company/ensure-health-care-limited,"",ensure health care limited,westmoreland,1-10,""
jamaica,1968,cesco-limited,business supplies and equipment,linkedin.com/company/cesco-limited,kingston,cesco limited,kingston,51-200,cescoja.com
jamaica,2018,idmaps-intl,information technology and services,linkedin.com/company/idmaps-intl,kingston,innovative data mining & advanced analytics partners (idmaps),kingston,11-50,""
jamaica,"",ssmc-xpress-intl,"",linkedin.com/company/ssmc-xpress-intl,"",ssmc xpress intl,"",51-200,xpress-intl.com
jamaica,2000,firstrockcap,investment management,linkedin.com/company/firstrockcap,kingston,firstrock capital,kingston,201-500,firstrockcap.com
jamaica,"",reliable-software-solutions,information technology and services,linkedin.com/company/reliable-software-solutions,"",reliable software solutions,st. andrew,1-10,reliablesoftjm.com
jamaica,2008,leapro,environmental services,linkedin.com/company/leapro,kingston,leapro group ltd.,saint andrew,1-10,leapro.net
jamaica,1984,planning-institute-of-jamaica,government administration,linkedin.com/company/planning-institute-of-jamaica,kingston,planning institute of jamaica,kingston,201-500,""
jamaica,"",clarendon-alumina-production-limited,law enforcement,linkedin.com/company/clarendon-alumina-production-limited,"",clarendon alumina production limited,"",11-50,""
jamaica,2016,riverside-medical-supplies-ltd,medical devices,linkedin.com/company/riverside-medical-supplies-ltd,kingston,"riverside medical supplies, ltd.",kingston,1-10,rsmedic.com
jamaica,2019,rbtstone,construction,linkedin.com/company/rbtstone,kingston,rbt stone,kingston,11-50,rbtstone.com
jamaica,"",art-and-image-limited,graphic design,linkedin.com/company/art-and-image-limited,berkshire,art and image limited,westmoreland,1-10,artimageltd.com
jamaica,2007,chilitos-jamexican,restaurants,linkedin.com/company/chilitos-jamexican,kingston,chilitos jamexican,kingston,11-50,chilitosjamexican.com
jamaica,2011,journeys-end-wine-co-ltd,wine and spirits,linkedin.com/company/journeys-end-wine-co-ltd,kingston,journey's end wine company limited,kingston,1-10,journeysendwine.com
jamaica,"",matthews-clarke-ltd,construction,linkedin.com/company/matthews-clarke-ltd,mandeville,matthews & clarke ltd,manchester,11-50,matthewsandclarke.com
jamaica,1997,shur-power-generators,electrical/electronic manufacturing,linkedin.com/company/shur-power-generators,kingston,shur power generators,kingston,11-50,shurpower.com
jamaica,"",john-knott-associates-limited,research,linkedin.com/company/john-knott-associates-limited,"",john knott associates limited,westmoreland,1-10,""
jamaica,"",quality-care-providers-limited,"health, wellness and fitness",linkedin.com/company/quality-care-providers-limited,"",quality care providers limited,westmoreland,1-10,qualitycareproviders.co.uk
jamaica,2009,gdm-associates-ltd.,civil engineering,linkedin.com/company/gdm-associates-ltd.,kingston,gdm associates limited,kingston,11-50,gdmassociates.com
