country,founded,id,industry,linkedin_url,locality,name,region,size,website
japan,2017,three-rocks-communications,public relations and communications,linkedin.com/company/three-rocks-communications,"",three rocks communications,"",1-10,threerocks.net
japan,2004,vsn,staffing and recruiting,linkedin.com/company/vsn,"","vsn, inc.","",1001-5000,vsn.co.jp
japan,1994,japanpartnership,marketing and advertising,linkedin.com/company/japanpartnership,"",japan partnership inc.,"",11-50,japanpartnership.com
japan,2011,es-communications,marketing and advertising,linkedin.com/company/es-communications,"",es communications,"",1-10,escommunication.com
japan,2014,growing-up-inc-,staffing and recruiting,linkedin.com/company/growing-up-inc-,"",growing up inc.,"",1-10,gr-up.jp
japan,"",japan-science-and-technology-agency,public policy,linkedin.com/company/japan-science-and-technology-agency,"",japan science and technology agency,"",1001-5000,""
japan,"",self-employed-web-designer-creator,internet,linkedin.com/company/self-employed-web-designer-creator,yokohama,self employed web designer / creator,kanagawa,11-50,tomoyamada.com
japan,2001,a.c.o.,design,linkedin.com/company/a.c.o.,"",a.c.o. inc. | global design consulting firm,"",11-50,aco-tokyo.com
japan,"",nanaroq-inc-,"",linkedin.com/company/nanaroq-inc-,"",nanaroq inc.,"",1-10,nanaroq.com
japan,"",dreamer,consumer electronics,linkedin.com/company/dreamer,"",dreamer,kochi,1-10,elecskin.com
japan,2000,maru-sports,marketing and advertising,linkedin.com/company/maru-sports,kashihara,maru,nara,11-50,maru-world.com
japan,1998,the-association-of-pharmaceutical-students'---japan,non-profit organization management,linkedin.com/company/the-association-of-pharmaceutical-students'---japan,"",the association of pharmaceutical students' - japan,"",501-1000,apsjapan.org
japan,"",kyoto-magnetics,research,linkedin.com/company/kyoto-magnetics,"",kyoto magnetics,"",1-10,kyoto-magnetics.co.jp
japan,"",nihon-sekkei-international,architecture & planning,linkedin.com/company/nihon-sekkei-international,"",nihon sekkei international,"",51-200,""
japan,"",dual-innovation,wholesale,linkedin.com/company/dual-innovation,"",dual innovation,tokyo,1-10,dualinnovation.com
japan,2010,agreed,consumer services,linkedin.com/company/agreed,hiroshima,agreed,hiroshima,1-10,agreed.com
japan,"",dksh-japan-k-k-,consumer services,linkedin.com/company/dksh-japan-k-k-,tokyo,dksh japan k.k.,tokyo,11-50,dksh.jp
japan,2003,atlas-partners-japan-ltd.,real estate,linkedin.com/company/atlas-partners-japan-ltd.,"",atlas partners japan ltd.,"",11-50,atlaspj.com
japan,"",nihon-veeco-k-k-,machinery,linkedin.com/company/nihon-veeco-k-k-,tokyo,nihon veeco k.k.,tokyo,1-10,veeco.co.jp
japan,"",center-for-embedded-computing-systems-graduate-school-of-information-science-nagoya-university,computer software,linkedin.com/company/center-for-embedded-computing-systems-graduate-school-of-information-science-nagoya-university,ai,"center for embedded computing systems, graduate school of information science, nagoya university",shimane,11-50,""
japan,"",onkyo-digital-solutions-corporation,electrical/electronic manufacturing,linkedin.com/company/onkyo-digital-solutions-corporation,tokyo,onkyo digital solutions corporation,tokyo,11-50,""
japan,2018,ichosystems,medical practice,linkedin.com/company/ichosystems,hitoyoshi,ichó,kumamoto,1-10,icho-system.de
japan,2013,hotmob-japan,marketing and advertising,linkedin.com/company/hotmob-japan,"",hotmob japan,"",11-50,hot-mob.co.jp
japan,"",jgc-pharma-services-co-ltd-,outsourcing/offshoring,linkedin.com/company/jgc-pharma-services-co-ltd-,tokyo,"jgc pharma services co., ltd.",tokyo,1-10,jgc-psc.com
japan,"",kyushu-university-of-nursing-and-social-welfare,research,linkedin.com/company/kyushu-university-of-nursing-and-social-welfare,"",kyushu university of nursing and social welfare,"",1-10,kyushu-ns.ac.jp
japan,2015,royal-chemicals-ltd,chemicals,linkedin.com/company/royal-chemicals-ltd,kuwana,royal chemicals ltd,mie,51-200,""
japan,1987,ba-net.co.jp,information technology and services,linkedin.com/company/ba-net.co.jp,hachiōji,business associates k.k.,tokyo,51-200,ba-net.co.jp
japan,"",technopia-co-jp,information technology and services,linkedin.com/company/technopia-co-jp,"",technopia.co.jp,"",1-10,""
japan,2016,prismadd-japan,machinery,linkedin.com/company/prismadd-japan,ai,prismadd japan,shimane,1-10,prismadd.jp
japan,2012,-eigyoubu-,management consulting,linkedin.com/company/-eigyoubu-,"",営業部株式会社（eigyoubu inc.）,"",1-10,eigyoubu.com
japan,2008,micronic-technologies,environmental services,linkedin.com/company/micronic-technologies,chofu,micronic technologies,tokyo,1-10,micronictechnologies.com
japan,2001,株式会社クオリアシステムズ,information technology and services,linkedin.com/company/株式会社クオリアシステムズ,"","","",1-10,qualias.jp
japan,"",sbic,"",linkedin.com/company/sbic,"",sbic,"",201-500,s-bic.co.jp
japan,1999,marutec,internet,linkedin.com/company/marutec,ishinomaki,marutec,miyagi,1-10,marutec.nl
japan,"",qualityjapaninc.,wholesale,linkedin.com/company/qualityjapaninc.,"",qualityjapaninc.,"",1-10,qualityjapaninc.com
japan,2007,b-b-design-studio,design,linkedin.com/company/b-b-design-studio,osaka,b.b. design studio,ōsaka,1-10,bbdesign-studio.com
japan,"",yazaki-corporation,automotive,linkedin.com/company/yazaki-corporation,"",yazaki corporation,"",10001+,yazaki-group.com
japan,"",mtech-co-,information technology and services,linkedin.com/company/mtech-co-,"",mtech co.,tokyo,1-10,mtech.ly
japan,1994,k.k.-nichiai,graphic design,linkedin.com/company/k.k.-nichiai,"",k.k. nichiai,"",51-200,nichiai.com
japan,"",boutique-femme,insurance,linkedin.com/company/boutique-femme,yokosuka,boutique femme,kanagawa,11-50,""
japan,"",japan-systems-engineering-corporation,information technology and services,linkedin.com/company/japan-systems-engineering-corporation,"",japan systems engineering corporation,"",11-50,jse.co.jp
japan,2010,vico-llc,information technology and services,linkedin.com/company/vico-llc,"",vico llc,"",1-10,vico.jp
japan,"",jcb-co.-ltd.,financial services,linkedin.com/company/jcb-co.-ltd.,"","jcb co., ltd.","",1001-5000,jcb.co.jp
japan,2014,creative-directions-llc,marketing and advertising,linkedin.com/company/creative-directions-llc,"","creative directions, llc",toyama,1-10,""
japan,1985,human-value.-inc-,human resources,linkedin.com/company/human-value.-inc-,"","human value. inc,","",11-50,""
japan,"",viscas-corporation,electrical/electronic manufacturing,linkedin.com/company/viscas-corporation,"",viscas corporation,"",201-500,viscas.com
japan,"",cscout-japan,market research,linkedin.com/company/cscout-japan,"",cscout japan,"",1-10,cscoutjapan.com
japan,2009,eggworm-k.k.,events services,linkedin.com/company/eggworm-k.k.,"",eggworm k.k.,"",1-10,eggworm.jp
japan,"",kyoto-design-lab-kit,design,linkedin.com/company/kyoto-design-lab-kit,"","kyoto design lab, kyoto institute of technology",kyoto,201-500,""
japan,"",scient-japan,information technology and services,linkedin.com/company/scient-japan,"",scient japan,"",11-50,""
japan,"",maki-textile-studio,"",linkedin.com/company/maki-textile-studio,"",maki textile studio,"",1-10,parpar.jp
japan,"",japan-information-processing-service-co-ltd-,computer & network security,linkedin.com/company/japan-information-processing-service-co-ltd-,tokyo,"japan information processing service co., ltd.",tokyo,1-10,jip.co.jp
japan,2017,axion-technologies,internet,linkedin.com/company/axion-technologies,"",axion technologies,"",1-10,axion.zone
japan,"",shimada-shoji-co-ltd-,apparel & fashion,linkedin.com/company/shimada-shoji-co-ltd-,"","shimada shoji co., ltd.","",1-10,hi-g2.jp
japan,2009,ns-tech,telecommunications,linkedin.com/company/ns-tech,"",ns tech,"",1-10,nstech.fr
japan,"",kusco,non-profit organization management,linkedin.com/company/kusco,kurume,kusco,fukuoka,51-200,kusco.org
japan,2015,healtheeone,information technology and services,linkedin.com/company/healtheeone,iwaki,healtheeone,fukushima,11-50,healtheeone.com
japan,2008,ys-trading-ltd,financial services,linkedin.com/company/ys-trading-ltd,"",ys trading ltd,kyoto,11-50,yoursuccesstrading.com
