country,founded,id,industry,linkedin_url,locality,name,region,size,website
jersey,2008,marbral-advisory,management consulting,linkedin.com/company/marbral-advisory,"",marbral advisory,st helier,11-50,marbraladvisory.com
jersey,1997,e-scape-interactive-limited,internet,linkedin.com/company/e-scape-interactive-limited,"",e-scape interactive limited,st helier,11-50,e-scape.co.uk
jersey,2011,trident-cms,computer software,linkedin.com/company/trident-cms,"",trident suite,st helier,51-200,tridentcms.com
jersey,"",voisin-hunter-ltd,"",linkedin.com/company/voisin-hunter-ltd,"",voisin-hunter ltd,"",1-10,voisinhunter.com
jersey,"",northolt-glass-company-limited,construction,linkedin.com/company/northolt-glass-company-limited,"",northolt glass company limited,st peter,1-10,""
jersey,2008,place-estate-agents-buckinhamshire,real estate,linkedin.com/company/place-estate-agents-buckinhamshire,"",place estate agents buckinghamshire,st peter,1-10,a-place.co.uk
jersey,1945,troy's-property-management-ltd,real estate,linkedin.com/company/troy's-property-management-ltd,"",troy lettings,st helier,1-10,troylettings.com
jersey,"",les-quennevais-school,education management,linkedin.com/company/les-quennevais-school,"",les quennevais school,st lawrence,11-50,sch.je
jersey,1985,result-customer-communications,marketing and advertising,linkedin.com/company/result-customer-communications,"",result customer communications,st helier,11-50,weareresult.com
jersey,"",deirdre-taylor,consumer electronics,linkedin.com/company/deirdre-taylor,"",deirdre taylor,st peter,1-10,deirdretaylor.co.uk
jersey,2010,blue-llama-web-design,marketing and advertising,linkedin.com/company/blue-llama-web-design,"",blue llama web design,st. brelade,1-10,bluellama.co.uk
