country,founded,id,industry,linkedin_url,locality,name,region,size,website
jordan,1996,zoritalingerie,apparel & fashion,linkedin.com/company/zoritalingerie,"",zorita lingerie,amman,11-50,zoritalingerie.com
jordan,1996,royal-wings,airlines/aviation,linkedin.com/company/royal-wings,"",royal wings,amman,201-500,royalwings.com.jo
jordan,2011,esli-aqualine-me-company,mechanical or industrial engineering,linkedin.com/company/esli-aqualine-me-company,"",esli aqualine me,amman,1-10,aqualine-me.com
jordan,1995,natural-dead-sea-cosmetics-inc,cosmetics,linkedin.com/company/natural-dead-sea-cosmetics-inc,amman,jordan integrated for manufacturing mineral dead sea products,amman,11-50,deadseaofjordan.com
jordan,2010,4-directions---distribution-&-advertising-agency,marketing and advertising,linkedin.com/company/4-directions---distribution-&-advertising-agency,"",4 directions - distribution & advertising agency,amman,1-10,4directions-jo.com
jordan,1968,acorjordan,research,linkedin.com/company/acorjordan,amman,the american center of oriental research (acor),amman,11-50,acorjordan.org
jordan,2008,pioneer-for-recruitment-&-headhunting,staffing and recruiting,linkedin.com/company/pioneer-for-recruitment-&-headhunting,amman,pioneer for recruitment & headhunting,amman,11-50,pioneerjo.com
jordan,2013,zero-day-it-solution,computer software,linkedin.com/company/zero-day-it-solution,zarqa,innovation leaders it solution,zarqa,11-50,""
jordan,1999,theconroyboutiquehotel,hospitality,linkedin.com/company/theconroyboutiquehotel,amman,the conroy boutique hotel,amman,51-200,theconroyboutiquehotel.com
jordan,"",freddy-for-music,music,linkedin.com/company/freddy-for-music,"",freddy for music,"",51-200,freddyformusic.com
jordan,2005,mutah-contracting-company,construction,linkedin.com/company/mutah-contracting-company,"",mutah contracting company,amman,11-50,mutahcc.com
jordan,2017,kaizen365-technology,information technology and services,linkedin.com/company/kaizen365-technology,amman,kaizen365 technology,amman,1-10,kaizen365-tech.com
jordan,2009,hamzet-wasel,civic & social organization,linkedin.com/company/hamzet-wasel,amman,hamzet wasel,amman,1-10,hamzetwasel.com
jordan,1980,al-bayrouty,food production,linkedin.com/company/al-bayrouty,"",al bayrouty,amman,51-200,al-bayrouty.com
jordan,"",digitalat,marketing and advertising,linkedin.com/company/digitalat,"",digitalat,amman,11-50,digitalat.net
