country,founded,id,industry,linkedin_url,locality,name,region,size,website
kazakhstan,"",bankexpocredit,banking,linkedin.com/company/bankexpocredit,almaty,bank expocredit,almaty qalasy,51-200,expocredit.kz
kazakhstan,2003,institute-of-world-economics-and-politics,think tanks,linkedin.com/company/institute-of-world-economics-and-politics,akmola,institute of world economics and politics,south kazakhstan,11-50,iwep.kz
kazakhstan,"",esauda,"",linkedin.com/company/esauda,"",esauda,"",1-10,esauda.kz
kazakhstan,2013,тоо-вседвери-,building materials,linkedin.com/company/тоо-вседвери-,"","","",1-10,vsedveri.kz
kazakhstan,2006,open-technologies-group,internet,linkedin.com/company/open-technologies-group,"",open technologies group,"",51-200,otgroup.kz
kazakhstan,2013,b-apps,information technology and services,linkedin.com/company/b-apps,almaty,разработчики b-apps,almaty qalasy,1-10,bapps.kz
kazakhstan,"",on-clinic-ммц,"",linkedin.com/company/on-clinic-ммц,"",on clinic ммц,"",11-50,onclinic.kz
kazakhstan,"",qhse-akbarys,oil & energy,linkedin.com/company/qhse-akbarys,"",qhse akbarys,"",201-500,akbarys.kz
kazakhstan,2008,представительство-в-казахстане-лэнд-гранд-,wholesale,linkedin.com/company/представительство-в-казахстане-лэнд-гранд-,"","","",1-10,china-tea.kz
kazakhstan,2016,atlas-media-group,marketing and advertising,linkedin.com/company/atlas-media-group,almaty,atlas media group,almaty qalasy,1-10,atlasmedia.uz
kazakhstan,2004,kazartdesign,civil engineering,linkedin.com/company/kazartdesign,astana,kazartdesign,astana,51-200,kazartdesign.kz
kazakhstan,"",estau-company,"",linkedin.com/company/estau-company,"",estau company,"",11-50,esentai-gourmet.kz
kazakhstan,"",npr-tech,program development,linkedin.com/company/npr-tech,sultan,npr tech llp,west kazakhstan,1-10,anpr.kz
kazakhstan,"",bbcg-kazakhstan,marketing and advertising,linkedin.com/company/bbcg-kazakhstan,"",bbcg kazakhstan,"",1-10,bbcg.kz
kazakhstan,2012,информационно-спортивный-портал-vesti-kz,newspapers,linkedin.com/company/информационно-спортивный-портал-vesti-kz,"",информационно-спортивный портал vesti.kz,"",11-50,vesti.kz
kazakhstan,1993,alangroup,logistics and supply chain,linkedin.com/company/alangroup,almaty,alan group,almaty qalasy,51-200,alan.kz
kazakhstan,"",bolashaq-investments-ltd,investment management,linkedin.com/company/bolashaq-investments-ltd,kazakhstan,private company bolashaq investments ltd,aqmola,1-10,""
kazakhstan,2012,таможенно-брокерский-центр-жибек-жолы-,warehousing,linkedin.com/company/таможенно-брокерский-центр-жибек-жолы-,"","","",51-200,tbccustoms.com
kazakhstan,"",тоо-nexen-oilgas-service,oil & energy,linkedin.com/company/тоо-nexen-oilgas-service,"",тоо nexen oilgas service,"",1-10,nexenoilgasservice.kz
kazakhstan,2014,tti-si-kz,management consulting,linkedin.com/company/tti-si-kz,"",tti success insights kazakhstan,"",1-10,ttisuccessinsights.kz
kazakhstan,2007,nurorda-international-school,education management,linkedin.com/company/nurorda-international-school,"",nurorda international schools,"",201-500,nurorda.kz
kazakhstan,"",тоо-protrade-central-asia,"",linkedin.com/company/тоо-protrade-central-asia,"",тоо protrade central asia,"",11-50,protradeca.com
kazakhstan,1976,kaztranscom,telecommunications,linkedin.com/company/kaztranscom,almaty,kaztranscom,almaty qalasy,1001-5000,kaztranscom.kz
kazakhstan,"",glotur-jsc,information technology and services,linkedin.com/company/glotur-jsc,almaty,glotur jsc,almaty qalasy,11-50,""
kazakhstan,2016,tulip-distribution-llc,wholesale,linkedin.com/company/tulip-distribution-llc,"",tulip distribution llc,"",1-10,tulipdistribution.com
kazakhstan,"",alabs-team,information technology and services,linkedin.com/company/alabs-team,almaty,alabs.team,almaty qalasy,51-200,alabs.team
kazakhstan,"",jsc-altel,telecommunications,linkedin.com/company/jsc-altel,"",jsc altel,"",11-50,""
kazakhstan,"",тоо-omnicomm-central-asia,"",linkedin.com/company/тоо-omnicomm-central-asia,"",тоо omnicomm central asia,"",11-50,omnicomm.kz
kazakhstan,"",aluminium-of-kazakhstan,"",linkedin.com/company/aluminium-of-kazakhstan,"",aluminium of kazakhstan,"",11-50,apcinvest.kz
kazakhstan,2009,cushman-&-wakefield-kazakhstan,real estate,linkedin.com/company/cushman-&-wakefield-kazakhstan,almaty,cushman & wakefield kazakhstan,almaty qalasy,11-50,cushmanwakefield.kz
kazakhstan,2008,jannatour,airlines/aviation,linkedin.com/company/jannatour,"",jannatour,"",1-10,jannatour.kz
