country,founded,id,industry,linkedin_url,locality,name,region,size,website
kenya,"",ministry-of-mining-kenya,"",linkedin.com/company/ministry-of-mining-kenya,"",ministry of mining kenya,"",51-200,""
kenya,2019,kijani-solutions,renewables & environment,linkedin.com/company/kijani-solutions,kisumu,kijani testing ltd,kisumu,11-50,kijanitesting.com
kenya,"",milicons-ltd,"",linkedin.com/company/milicons-ltd,"",milicons ltd,"",51-200,milicons.com
kenya,"",kenya-institute-of-supplies-management,professional training & coaching,linkedin.com/company/kenya-institute-of-supplies-management,"",kenya institute of supplies management,"",51-200,""
kenya,"",rusinga-island-lodge,hospitality,linkedin.com/company/rusinga-island-lodge,"",rusinga island lodge,"",11-50,rusinga.com
kenya,"",considr,research,linkedin.com/company/considr,nairobi,considr,nairobi area,1-10,considr.in
kenya,"",airtraffic-ltd.,airlines/aviation,linkedin.com/company/airtraffic-ltd.,"",airtraffic ltd.,"",51-200,""
kenya,"",aplus-interiors.design,design,linkedin.com/company/aplus-interiors.design,nairobi,aplus interiors,nairobi area,1-10,aplusinteriors.design
kenya,2014,dragonfly-ea,marketing and advertising,linkedin.com/company/dragonfly-ea,nairobi,dragonfly ea,nairobi area,51-200,""
kenya,"",drummond-investment-bank-limited-research-division,financial services,linkedin.com/company/drummond-investment-bank-limited-research-division,nairobi,"drummond investment bank limited, research division",nairobi area,1-10,""
kenya,2012,telagen-group-of-companies,wireless,linkedin.com/company/telagen-group-of-companies,nairobi,cosco 2,nairobi area,1-10,""
kenya,2017,statefarm-insurance-agency,insurance,linkedin.com/company/statefarm-insurance-agency,nairobi,statefarm insurance agency,nairobi area,1-10,""
kenya,1989,capital-markets-authority,capital markets,linkedin.com/company/capital-markets-authority,nairobi,capital markets authority,nairobi area,51-200,""
kenya,2015,simbatrails,"leisure, travel & tourism",linkedin.com/company/simbatrails,nairobi,simba trails expeditions,nairobi area,1-10,simbatrails.com
kenya,"",daystar-university,education management,linkedin.com/company/daystar-university,nairobi,daystar university,nairobi area,501-1000,""
kenya,2017,recor-design-studio,design,linkedin.com/company/recor-design-studio,nairobi,j-homes&office fitout ltd,nairobi area,1-10,jhomeofficedesign.com
kenya,1995,linksoft-integrated-services-east-africa-limited,telecommunications,linkedin.com/company/linksoft-integrated-services-east-africa-limited,nairobi,linksoft integrated services (east africa) limited,nairobi area,201-500,""
kenya,2016,business-club-fsk,international affairs,linkedin.com/company/business-club-fsk,nairobi,french chamber of commerce kenya,nairobi area,1-10,""
kenya,2013,elegance-designers-printers-ltd,printing,linkedin.com/company/elegance-designers-printers-ltd,nairobi,elegance designers & printers ltd,nairobi area,11-50,elegancedesigners.com
kenya,1975,real-management-services-2002-limited,real estate,linkedin.com/company/real-management-services-2002-limited,nairobi,real management services (2002) limited,nairobi area,51-200,""
kenya,"",national-transport-and-safety-authority,"",linkedin.com/company/national-transport-and-safety-authority,"",national transport and safety authority,"",201-500,""
kenya,2010,taswachallenge-safaris,"leisure, travel & tourism",linkedin.com/company/taswachallenge-safaris,nairobi,taswachallenge safaris,nairobi area,1-10,taswachallenge.com
kenya,"",tamarix-company-ltd,information technology and services,linkedin.com/company/tamarix-company-ltd,nairobi,tamarix company ltd,nairobi area,1-10,""
kenya,2009,madiba-tours-&-travel,"leisure, travel & tourism",linkedin.com/company/madiba-tours-&-travel,nairobi,madiba tours & travel,nairobi area,1-10,madibatours.com
kenya,"",comztech-ltd,information technology and services,linkedin.com/company/comztech-ltd,nairobi,comztech,nairobi area,1-10,""
kenya,2010,dualpix-communications-ltd,printing,linkedin.com/company/dualpix-communications-ltd,nairobi,dualpix communications ltd,nairobi area,1-10,""
kenya,"",kenya-water-institute,professional training & coaching,linkedin.com/company/kenya-water-institute,"",kenya water institute,"",51-200,""
kenya,1999,central-depository-settlement-corporation,capital markets,linkedin.com/company/central-depository-settlement-corporation,nairobi,central depository & settlement corporation,nairobi area,11-50,cdsckenya.com
kenya,2007,african-asset-management,investment management,linkedin.com/company/african-asset-management,nairobi,african asset management,nairobi area,1-10,africanassetmanagement.com
kenya,2015,happy-times-events-entertainment,entertainment,linkedin.com/company/happy-times-events-entertainment,nairobi,happy times,nairobi area,1-10,""
kenya,"",car-general,machinery,linkedin.com/company/car-general,nairobi,car & general ltd,nairobi area,201-500,cargen.com
kenya,2015,amanda's-kitchen,food & beverages,linkedin.com/company/amanda's-kitchen,nairobi,amanda's kitchen™,nairobi area,1-10,amandas-kitchen.com
kenya,2005,chariot-tours-&-car-hire,hospitality,linkedin.com/company/chariot-tours-&-car-hire,nairobi,chariot tours & car hire,nairobi area,11-50,""
kenya,2012,rams-global,hospital & health care,linkedin.com/company/rams-global,nairobi,rams global,nairobi area,1-10,"www,ramsglobal.org"
kenya,1946,the-united-kenya-club,hospitality,linkedin.com/company/the-united-kenya-club,nairobi,the united kenya club,nairobi area,11-50,unitedkenyaclub.com
kenya,2013,ashfin-consultants,food production,linkedin.com/company/ashfin-consultants,voi,ashfin consultants,taita taveta,1-10,""
kenya,2012,talent-first-limited,human resources,linkedin.com/company/talent-first-limited,nairobi,talent first limited,nairobi area,1-10,""
kenya,2002,st-lukes-orthopaedics-and-trauma-hospital,hospital & health care,linkedin.com/company/st-lukes-orthopaedics-and-trauma-hospital,eldoret,st lukes orthopaedics and trauma hospital,uasin gishu,201-500,stlukesorthopaedics.com
kenya,"",rimpa-estates-ltd,farming,linkedin.com/company/rimpa-estates-ltd,kiserian,rimpa estates ltd,rift valley,11-50,rimpaestates.com
kenya,2016,solitech-it-marketing,computer & network security,linkedin.com/company/solitech-it-marketing,nairobi,solitech it & marketing,nairobi area,1-10,solitechsolutions.com
kenya,1923,veterinary-laboratory-sports-club,sports,linkedin.com/company/veterinary-laboratory-sports-club,nairobi,veterinary laboratory sports club,nairobi area,51-200,vetlabsc.com
kenya,2011,tener-exito,industrial automation,linkedin.com/company/tener-exito,nairobi,tener exito,nairobi area,11-50,tener-exito.com
kenya,2016,interior-perspective-studio,construction,linkedin.com/company/interior-perspective-studio,nairobi,interior perspective studio,nairobi area,1-10,""
kenya,"",rorene-limited,"",linkedin.com/company/rorene-limited,"",rorene limited,"",1-10,roreneltd.com
kenya,2014,modern-customer-service,consumer services,linkedin.com/company/modern-customer-service,nairobi,modern customer service - moderncs,nairobi area,11-50,""
kenya,2016,lambertcolemanphotography,media production,linkedin.com/company/lambertcolemanphotography,nairobi,transborder communication,nairobi area,1-10,transbordercommunication.com
kenya,2014,dclmarketing,marketing and advertising,linkedin.com/company/dclmarketing,nairobi,dcl-marketing,nairobi area,1-10,""
kenya,"",magnum-car-&-allied-services,transportation/trucking/railroad,linkedin.com/company/magnum-car-&-allied-services,nairobi,magnum car & allied services,nairobi area,10001+,""
kenya,2008,egis-kenya,civil engineering,linkedin.com/company/egis-kenya,nairobi,egis kenya,nairobi area,11-50,""
kenya,1997,innscor-kenya-limited,food & beverages,linkedin.com/company/innscor-kenya-limited,nairobi,innscor kenya limited,nairobi area,501-1000,""
kenya,2017,simpauls,graphic design,linkedin.com/company/simpauls,nairobi,simpauls,nairobi area,1-10,simpauls.com
kenya,2010,gencad-international,non-profit organization management,linkedin.com/company/gencad-international,mandera,gencad international,mandera,1-10,gencad.org
