country,founded,id,industry,linkedin_url,locality,name,region,size,website
kuwait,"",seas-&-deserts-group-general-trading-company,consumer electronics,linkedin.com/company/seas-&-deserts-group-general-trading-company,safat,seas & deserts group general trading company,al asimah,1-10,""
kuwait,"",grand-real-estate-projects-co-k-s-c-closed-,law practice,linkedin.com/company/grand-real-estate-projects-co-k-s-c-closed-,"",grand real estate projects co. k.s.c. (closed),"",1-10,grandq8.com
kuwait,2016,armada-delivery-solutions,information technology and services,linkedin.com/company/armada-delivery-solutions,kuwait city,armada delivery solutions,al asimah,1-10,armadadelivery.com
kuwait,"",house-of-development-for-agricultural-cont-company,veterinary,linkedin.com/company/house-of-development-for-agricultural-cont-company,safat,house of development for agricultural cont. company,al asimah,1-10,hodagri.com
kuwait,2015,raiyansoft,program development,linkedin.com/company/raiyansoft,"",raiyansoft,hawalli,1-10,raiyansoft.com
kuwait,"",diyar-al-kuwait-real-estate-company,real estate,linkedin.com/company/diyar-al-kuwait-real-estate-company,safat,diyar al-kuwait real estate company,al asimah,11-50,""
kuwait,1983,kuwait-petroleum-international,oil & energy,linkedin.com/company/kuwait-petroleum-international,safat,kuwait petroleum international,al asimah,1001-5000,""
kuwait,2015,public-authority-for-youth,government administration,linkedin.com/company/public-authority-for-youth,kuwait city,public authority for youth,al asimah,1-10,""
kuwait,2017,concrete-foundation,architecture & planning,linkedin.com/company/concrete-foundation,kuwait city,concrete foundation architects & interiors,al asimah,1-10,concrete-foundation.com
kuwait,"",qirdala,retail,linkedin.com/company/qirdala,kuwait city,qirdala,al asimah,1-10,qirdala.com
kuwait,1959,mutawa-al-kazi-company-ltd-,automotive,linkedin.com/company/mutawa-al-kazi-company-ltd-,safat,"mutawa alkazi company, ltd.",al asimah,201-500,mutawaalkazi.com
kuwait,"",armediakw,marketing and advertising,linkedin.com/company/armediakw,kuwait city,ar media agency,al asimah,1-10,""
kuwait,2008,envoy-interiors,architecture & planning,linkedin.com/company/envoy-interiors,safat,envoy interiors,al asimah,51-200,envoyinteriors.com
kuwait,2012,doneinterior,architecture & planning,linkedin.com/company/doneinterior,kuwait city,done interior company w.l.l,al asimah,51-200,doneinterior.com
kuwait,1988,kuwaithr,non-profit organization management,linkedin.com/company/kuwaithr,"",kuwait society for human rights,"",1-10,kuwaithr.org
kuwait,"",kuwait-united-construction-management,civil engineering,linkedin.com/company/kuwait-united-construction-management,safat,kuwait united construction management,al asimah,11-50,kucm.com
kuwait,2016,3-creative-studio,design,linkedin.com/company/3-creative-studio,kuwait city,3 creative studio,al asimah,1-10,3thalath.com
kuwait,1999,simplex-interactive,information technology and services,linkedin.com/company/simplex-interactive,al kuwait,simplex interactive,al kuwayt,11-50,simplexinteractive.com
kuwait,2010,noorcm,capital markets,linkedin.com/company/noorcm,"",noor capital markets,"",51-200,""
kuwait,1977,total-fit-out-llc,construction,linkedin.com/company/total-fit-out-llc,"",total fit out llc,hawalli,11-50,total-fitout.com
kuwait,1977,district-estates,real estate,linkedin.com/company/district-estates,kuwait city,district estates,al asimah,11-50,districtestates.com
kuwait,2010,fusion-shipping-&-logistics-co--w-l-l,logistics and supply chain,linkedin.com/company/fusion-shipping-&-logistics-co--w-l-l,al kuwait,fusion shipping worldwide,al kuwayt,201-500,fusionshipping.com
kuwait,2015,festivitykw,entertainment,linkedin.com/company/festivitykw,kuwait city,festivity.com.kw,al asimah,1-10,""
kuwait,2009,eternity-int'l-travels-&-tourism,"leisure, travel & tourism",linkedin.com/company/eternity-int'l-travels-&-tourism,"",eternity int'l travels & tourism,"",51-200,eternity-travels.com
kuwait,2001,sama-catering-co-,food & beverages,linkedin.com/company/sama-catering-co-,al shuwaikh,sama catering co.,al kuwayt,201-500,samaku.com
