country,founded,id,industry,linkedin_url,locality,name,region,size,website
latvia,2018,ico-manager,information technology and services,linkedin.com/company/ico-manager,"",ico manager,riga,1-10,icomanager.tech
latvia,1994,as-ventbunkers-,oil & energy,linkedin.com/company/as-ventbunkers-,"",as ventbunkers,ventspils,201-500,ventbunkers.lv
latvia,2013,sia-enterfeelance,information technology and services,linkedin.com/company/sia-enterfeelance,riga,sia enterfeelance,riga,1-10,enterfreelance.com
latvia,2002,fidea-sia,management consulting,linkedin.com/company/fidea-sia,"",fidea sia,riga,1-10,fidea.lv
latvia,2012,stratcom-lv,information technology and services,linkedin.com/company/stratcom-lv,riga,stratcom lv,riga,1-10,stratcom.lv
latvia,"",association-of-memorial-museums,arts and crafts,linkedin.com/company/association-of-memorial-museums,"",association of memorial museums,riga,51-200,memorialiemuzeji.lv
latvia,"",regionala-investiciju-banka-a-s-,banking,linkedin.com/company/regionala-investiciju-banka-a-s-,"",regionala investiciju banka a.s.,"",11-50,rib.lv
latvia,2010,omnilab-baltic,wholesale,linkedin.com/company/omnilab-baltic,"",omnilab baltic,mārupe,1-10,""
latvia,2008,jpd-sia,business supplies and equipment,linkedin.com/company/jpd-sia,"",jpd sia,"",51-200,jpd.lv
latvia,2015,amberstudios,gambling & casinos,linkedin.com/company/amberstudios,"",amber studios,riga,201-500,amber-studios.com
latvia,"",greenterra-ltd-,wholesale,linkedin.com/company/greenterra-ltd-,"",greenterra ltd.,riga,11-50,greenterra.lv
latvia,"",nostress,sports,linkedin.com/company/nostress,"",nostress,"",1-10,nostress.lv
latvia,2017,vincit-union,accounting,linkedin.com/company/vincit-union,riga,vincit union,riga,51-200,vincitunion.com
latvia,2018,yield-gazette,media production,linkedin.com/company/yield-gazette,"",yield gazette,riga,1-10,yieldgazette.com
latvia,2014,era-esthetic-latvia-laser-dermatology-clinic,medical practice,linkedin.com/company/era-esthetic-latvia-laser-dermatology-clinic,"",era esthetic latvia | laser dermatology clinic,riga,11-50,eraesthetic.lv
latvia,2014,teamleadlv,professional training & coaching,linkedin.com/company/teamleadlv,riga,teamlead,riga,1-10,teamlead.lv
latvia,1999,tourism-agency-mandarina-travel,"leisure, travel & tourism",linkedin.com/company/tourism-agency-mandarina-travel,"",tourism agency mandarina travel,"",1-10,mandarinatravel.lv
latvia,2018,cwise,information technology and services,linkedin.com/company/cwise,riga,cwise,riga,11-50,cwise.eu
latvia,1992,rd-electronics,retail,linkedin.com/company/rd-electronics,rīga,rd electronics,riga,51-200,rdveikals.lv
latvia,"",m.a.r.i.d.i,information technology and services,linkedin.com/company/m.a.r.i.d.i,"",m.a.r.i.d.i,"",11-50,quickteacher.eu
latvia,"",unecos,information technology and services,linkedin.com/company/unecos,"",unecos solutions,riga,11-50,unecos.com
latvia,2017,truesix,marketing and advertising,linkedin.com/company/truesix,"",truesix,riga,1-10,truesix.co
latvia,2015,orklafoodslatvija,food & beverages,linkedin.com/company/orklafoodslatvija,"",orkla foods latvija,"",11-50,""
latvia,1999,оператор-дата-центров-deac,information technology and services,linkedin.com/company/оператор-дата-центров-deac,"",оператор дата-центров deac,"",51-200,""
latvia,"",baltic-taxi,transportation/trucking/railroad,linkedin.com/company/baltic-taxi,riga,baltic taxi,riga,1-10,baltictaxi.lv
latvia,2001,luna-latvia,retail,linkedin.com/company/luna-latvia,"",luna group latvia,riga,11-50,luna.lv
latvia,"",carnikavas-pamatskola,sports,linkedin.com/company/carnikavas-pamatskola,"",carnikavas pamatskola,"",11-50,carnikava.lv
latvia,2015,by-ftp-form-the-picture,media production,linkedin.com/company/by-ftp-form-the-picture,"",by ftp / form the picture,riga,1-10,byftp.lv
latvia,1998,kolumbs,"leisure, travel & tourism",linkedin.com/company/kolumbs,riga,kolumbs,riga,51-200,""
latvia,2012,hypnosis-fashion,apparel & fashion,linkedin.com/company/hypnosis-fashion,"",one wolf,riga,1-10,onewolf.eu
latvia,"",preco-grain-handling-equipment,mechanical or industrial engineering,linkedin.com/company/preco-grain-handling-equipment,"",preco grain handling equipment,ogre,51-200,preco.lv
latvia,"",siacdi,information technology and services,linkedin.com/company/siacdi,"",cdi ltd,riga,1-10,cdi.lv
latvia,2018,alto40,computer software,linkedin.com/company/alto40,"",alto 4.0,riga,11-50,altoerp.com
latvia,2010,viesistaba,events services,linkedin.com/company/viesistaba,"",viesistaba,"",1-10,viesistaba.lv
latvia,"",d-dupleks-defence,defense & space,linkedin.com/company/d-dupleks-defence,riga,d dupleks defence,riga,51-200,ddupleks-defence.com
latvia,1999,xsports,sporting goods,linkedin.com/company/xsports,"",xsports,riga,11-50,xsports.lv
latvia,2017,lv-spiritanimal,human resources,linkedin.com/company/lv-spiritanimal,"",hr1,riga,1-10,""
latvia,2009,adventurelab-latvia,sports,linkedin.com/company/adventurelab-latvia,"",adventurelab lv,jelgava,1-10,adventurelab.lv
latvia,2011,mechanika-engineering,mechanical or industrial engineering,linkedin.com/company/mechanika-engineering,"",mechanika engineering,riga,1-10,mehanika.lv
