country,founded,id,industry,linkedin_url,locality,name,region,size,website
libya,"",majeri-law-office-libyan-law-firm-,legal services,linkedin.com/company/majeri-law-office-libyan-law-firm-,"",majeri law office ( libyan law firm),"",1-10,majeri.com
libya,"",benina-international-airport,aviation & aerospace,linkedin.com/company/benina-international-airport,"",benina international airport,"",1-10,flyhere.com
libya,"",hudhud-worldwide-logistics,transportation/trucking/railroad,linkedin.com/company/hudhud-worldwide-logistics,"",hudhud worldwide logistics,"",11-50,hudhudlogistics.com
libya,"",loloa-alhassna,retail,linkedin.com/company/loloa-alhassna,tripoli,loloa alhassna perfumes & cosmetics co.,tripoli,11-50,loloa-alhassna.com
libya,2014,almuhtarif-addouli,consumer services,linkedin.com/company/almuhtarif-addouli,tripoli,almuhtarif addouli,tripoli,1-10,almuhtarif.ly
libya,2008,backend-admin,information technology and services,linkedin.com/company/backend-admin,tripoli,backend admin,tarabulus,11-50,backendadmin.com
libya,2011,libya-design,design,linkedin.com/company/libya-design,"",libya design cultural design centre,tripoli,11-50,libya-design.com
libya,"",tripoli-carpet-factory,"",linkedin.com/company/tripoli-carpet-factory,"",tripoli carpet factory,"",11-50,tcf.ly
libya,"",tafawoek,medical devices,linkedin.com/company/tafawoek,"",tafawoek,"",11-50,tmc.com.ly
libya,"",futureguide-company,"",linkedin.com/company/futureguide-company,"",futureguide company,"",1-10,futureguide.ly
libya,2012,dandi.co,investment management,linkedin.com/company/dandi.co,"",dandi holding co.,tripoli,501-1000,dandi.ly
