country,founded,id,industry,linkedin_url,locality,name,region,size,website
lithuania,2015,entrelegal,legal services,linkedin.com/company/entrelegal,"",entrelegal,vilnius,1-10,entrelegal.in
lithuania,2012,strategy-labs,management consulting,linkedin.com/company/strategy-labs,vilnius,strategy labs,vilniaus apskritis,11-50,strategylabs.lt
lithuania,2012,arslibri,translation and localization,linkedin.com/company/arslibri,"",ars libri,vilnius,1-10,arslibri.lt
lithuania,1997,sofa-travel,"leisure, travel & tourism",linkedin.com/company/sofa-travel,vilnius,sofa travel,vilniaus apskritis,11-50,sofatravel.lt
lithuania,2009,baltic-concierge-agency,"leisure, travel & tourism",linkedin.com/company/baltic-concierge-agency,"",baltic concierge agency,vilnius,1-10,balticconcierge.com
lithuania,2012,uab-iterato,information technology and services,linkedin.com/company/uab-iterato,vilnius,uab iterato,vilniaus apskritis,11-50,iterato.lt
lithuania,2015,make-it-happen-production-house,media production,linkedin.com/company/make-it-happen-production-house,vilnius,make it happen production house,vilniaus apskritis,1-10,makeithappen.lt
lithuania,"",human-industry,human resources,linkedin.com/company/human-industry,"",human industry,"",1-10,humanindustry.lt
lithuania,2002,klaipeda-free-economic-zone-management-company,real estate,linkedin.com/company/klaipeda-free-economic-zone-management-company,klaipeda,klaipeda free economic zone management company,klaipedos apskritis,1-10,fez.lt
lithuania,1999,tichewater,food & beverages,linkedin.com/company/tichewater,"",baltic mineral water company (tiche),"",11-50,tiche.lt
lithuania,2009,blue-solutions_4,information technology and services,linkedin.com/company/blue-solutions_4,"",blue solutions,"",51-200,blue-s.eu
lithuania,"",kauno-gr-dai-ab,food production,linkedin.com/company/kauno-gr-dai-ab,"",kauno grūdai ab,"",201-500,kauno-grudai.lt
lithuania,2015,aksera-uab,computer software,linkedin.com/company/aksera-uab,"","aksera, jsc","",1-10,aksera.eu
lithuania,1994,uab-naresta-,construction,linkedin.com/company/uab-naresta-,vilnius,"uab "naresta"​",vilniaus apskritis,201-500,naresta.lt
lithuania,"",uab-listada,"",linkedin.com/company/uab-listada,"",uab listada,"",1-10,listada.lt
lithuania,2006,talkbasket,sports,linkedin.com/company/talkbasket,"",talkbasket.net,vilnius,11-50,talkbasket.net
lithuania,2003,buhalterijos-centras,accounting,linkedin.com/company/buhalterijos-centras,kaunas,buhalterijos centras,kauno apskritis,1-10,buhalterijoscentras.lt
lithuania,2009,klaipėdos-valstybinė-kolegija,education management,linkedin.com/company/klaipėdos-valstybinė-kolegija,klaipeda,klaipėdos valstybinė kolegija,klaipedos apskritis,201-500,""
lithuania,2000,lietuvos-komunikacijos-asociacija,public relations and communications,linkedin.com/company/lietuvos-komunikacijos-asociacija,"",lietuvos ryšių su visuomene specialistų sąjunga,vilnius,201-500,lrvs.lt
lithuania,2007,workshop-of-photonics,nanotechnology,linkedin.com/company/workshop-of-photonics,"",workshop of photonics,"",11-50,""
lithuania,2014,fertagon™,farming,linkedin.com/company/fertagon™,vilnius,fertagon™ - organic fertilizer,vilniaus apskritis,1-10,""
lithuania,2018,cbsgroup-eu,investment management,linkedin.com/company/cbsgroup-eu,vilnius,cbs,vilniaus apskritis,1-10,cbsgroup.eu
lithuania,2016,motusvita,medical practice,linkedin.com/company/motusvita,"",motus vita physical therapy kaunas,kaunas,1-10,motusvita.lt
lithuania,2019,kernolab,information technology and services,linkedin.com/company/kernolab,vilnius,kernolab,vilniaus apskritis,11-50,kernolab.com
lithuania,2016,uab-easy-debt-services,legal services,linkedin.com/company/uab-easy-debt-services,"",uab easy debt service,vilnius,1-10,easydebtservice.com
lithuania,2017,gipfel-europe,wholesale,linkedin.com/company/gipfel-europe,klaipeda,gipfel europa,klaipedos apskritis,1-10,""
lithuania,"",reactive-labs,computer software,linkedin.com/company/reactive-labs,"",reactive labs,vilnius,11-50,reactive-labs.com
lithuania,2008,uab-si-femto,semiconductors,linkedin.com/company/uab-si-femto,kaunas,uab si femto,kaunas,11-50,sifemto.com
lithuania,2014,auresa,automotive,linkedin.com/company/auresa,"",auresa - toyota atstovybė,panevėžys,11-50,auresa.lt
lithuania,1579,vilnius-university,higher education,linkedin.com/company/vilnius-university,"",vilnius university,"",1001-5000,vu.lt
lithuania,2014,dealoyal,retail,linkedin.com/company/dealoyal,vilnius,dealoyal,vilniaus apskritis,1-10,dealoyal.com
lithuania,2014,farmis,computer software,linkedin.com/company/farmis,"",farmis,kaunas,1-10,farmis.lt
lithuania,2016,design-by-a-s,design,linkedin.com/company/design-by-a-s,vilnius,aivaras simonis studio,vilniaus apskritis,1-10,aivarassimonis.com
lithuania,"",kursiu-nerija-national-park-administration,environmental services,linkedin.com/company/kursiu-nerija-national-park-administration,"",kursiu nerija national park administration,"",51-200,nerija.lt
lithuania,"",mediafon-datapro,information technology and services,linkedin.com/company/mediafon-datapro,"",mediafon datapro,vilnius,11-50,datapro.lt
