country,founded,id,industry,linkedin_url,locality,name,region,size,website
luxembourg,2015,wildgen-4-innovation,legal services,linkedin.com/company/wildgen-4-innovation,"",wildgen 4 innovation,"",11-50,w4innovation.lu
luxembourg,2017,eday,online media,linkedin.com/company/eday,luxembourg,election day - supports politicians to win election by data science worldwide,luxembourg,1-10,eday.lu
luxembourg,2019,safety-firepro,business supplies and equipment,linkedin.com/company/safety-firepro,"",safety fire pro,esch-sur-alzette,1-10,safety-firepro.lu
luxembourg,"",csb-bull-luxembourg,information technology and services,linkedin.com/company/csb-bull-luxembourg,"",csb / bull luxembourg,"",51-200,""
luxembourg,1920,wallenborn-transports-sa,transportation/trucking/railroad,linkedin.com/company/wallenborn-transports-sa,munsbach,wallenborn transports sa,luxembourg,201-500,wallenborn.com
luxembourg,"",dharma-holdings-sa,computer software,linkedin.com/company/dharma-holdings-sa,"",dharma holdings sa,luxembourg,1-10,dharma.lu
luxembourg,"",w-b-s,business supplies and equipment,linkedin.com/company/w-b-s,dickt,wagner building systems,diekirch,51-200,w-b-s.lu
luxembourg,1995,concept-factory-s-a-,marketing and advertising,linkedin.com/company/concept-factory-s-a-,"",concept factory s.a.,"",11-50,conceptfactory.lu
luxembourg,2015,lionstarter-gmbh,"health, wellness and fitness",linkedin.com/company/lionstarter-gmbh,clausen,lionstarter group se,luxembourg,1-10,""
luxembourg,"",alexsys-consulting,information technology and services,linkedin.com/company/alexsys-consulting,"",alexsys consulting,luxembourg,51-200,""
luxembourg,"",luxembourg-health-directorate,hospital & health care,linkedin.com/company/luxembourg-health-directorate,luxembourg,luxembourg health directorate - direction de la santé,luxembourg,201-500,""
luxembourg,2011,aramis-services,information technology and services,linkedin.com/company/aramis-services,windhof,aramis services,capellen,1-10,aramis-lux.com
luxembourg,2008,cantine-catering-windsor,restaurants,linkedin.com/company/cantine-catering-windsor,bertrange,l'atelier du windsor et catering windsor,luxembourg,11-50,windsor.lu
luxembourg,2017,karma-produce-international,farming,linkedin.com/company/karma-produce-international,luxembourg,karma produce international,luxembourg,11-50,""
